word,level
magnificent,B2
yacht,BEYOND
steam,B2
speed,B2
strong,A1
breeze,BEYOND
blow,B2
fly,A2
mizzen,BEYOND
mast,BEYOND
blue,A1
standard,B1
bear,B2
initial,B2
embroider,BEYOND
gold,A2
surmount,BEYOND
ducal,BEYOND
coronet,BEYOND
float,B2
topgallant,BEYOND
head,B1
main,A1
owner,A2
sixteen,A1
peer,B2
sit,A1
distinguished,BEYOND
member,A1
famous,A1
board,B1
young,B1
wife,A1
cousin,A1
newly,B2
build,A1
make,B2
trial,B2
trip,B2
mile,A1
outside,A2
return,A1
loom,C1
distance,A2
sailor,B1
watch,A1
catch,B2
sight,B1
enormous,A2
fish,A2
sport,A1
wake,A1
ship,B2
immediately,A2
apprise,BEYOND
fact,A1
come,A1
poop,BEYOND
minute,C1
ask,A1
captain,B1
sort,B1
animal,A1
think,A1
lordship,BEYOND
opinion,A1
say,C1
shark,BEYOND
fine,C1
large,A1
shore,B2
improbable,BEYOND
belong,A2
species,B2
find,A1
latitude,BEYOND
sea,A1
balance,B1
hammer,BEYOND
headed,BEYOND
mistaken,BEYOND
objection,C1
small,A1
pleasure,B1
novelty,BEYOND
way,B2
fishing,A2
soon,A1
haul,BEYOND
monster,B2
shall,A2
try,B2
like,B1
cool,B1
reply,A2
terrible,A1
creature,B2
kill,A2
well,C1
event,A1
let,A1
seize,C1
chance,A2
little,A2
diversion,BEYOND
good,A2
action,A1
set,B1
work,A1
join,A1
husband,A1
deck,B2
charmed,BEYOND
prospect,B2
exciting,A1
splendid,BEYOND
movement,A2
distinctly,BEYOND
visible,B2
obedience,BEYOND
order,A1
throw,A2
rope,B1
starboard,BEYOND
big,A1
hook,C1
end,A1
conceal,C1
thick,A2
lump,BEYOND
bacon,BEYOND
bait,BEYOND
take,A1
yard,B1
distant,B2
begin,A1
rapidly,B2
beat,B2
wave,B1
violently,BEYOND
fin,BEYOND
keep,A1
tail,B1
perfectly,B1
straight,A2
line,B2
get,A1
near,A1
great,A1
project,B2
eye,A1
see,A1
inflame,BEYOND
greed,BEYOND
gape,BEYOND
jaw,BEYOND
quadruple,BEYOND
row,B1
tooth,A1
shape,B2
double,B1
handle,B2
right,A1
evidently,BEYOND
voracious,BEYOND
specie,BEYOND
passenger,A2
lively,B2
interest,A1
reach,B2
turn,A1
dart,BEYOND
second,A2
content,C1
disappear,A2
tremendous,C1
jerk,BEYOND
give,A1
cable,B2
prove,B1
mean,A1
tackle,C1
attach,B1
mainyard,BEYOND
struggle,B2
desperately,B2
captor,BEYOND
prepared,B1
violence,B2
long,A1
ready,A1
slip,B2
knot,BEYOND
render,C1
powerless,BEYOND
hoist,BEYOND
man,A1
forward,B2
hatchet,BEYOND
hand,B1
approach,B2
cautiously,BEYOND
powerful,B1
stroke,B2
cut,B1
business,A1
fear,B1
vengeance,BEYOND
satisfy,B2
curiosity,C1
know,A1
brute,BEYOND
delicate,C1
appetite,C1
stomach,A2
worth,B1
investigation,B2
common,A1
practice,A1
capture,B2
decline,B2
present,A2
disgusting,BEYOND
exploration,B2
withdraw,B2
cabin,B2
breathe,B1
measure,B1
foot,A1
length,B1
weigh,B1
pound,A1
extraordinary,B2
class,A1
gigantic,BEYOND
reckon,B2
formidable,BEYOND
huge,A2
rip,C1
unceremonious,BEYOND
fashion,A2
fix,B2
absolutely,B1
disappointed,B1
go,B1
remain,B1
overboard,BEYOND
boatswain,BEYOND
attention,A2
attract,B1
object,B2
stick,B1
fast,A1
viscera,BEYOND
exclaim,BEYOND
piece,A1
rock,C1
beast,C1
swallow,B2
ballast,BEYOND
bottle,A1
fellow,B2
inside,A2
digest,BEYOND
crew,B2
hold,B2
tongue,B1
mate,B2
inveterate,BEYOND
tippler,BEYOND
drink,A1
wine,A1
certainly,A2
cellar,BEYOND
careful,A2
contain,A2
precious,B2
document,B2
incredulously,BEYOND
possibly,B1
rate,B2
secret,A2
shapeless,BEYOND
manage,A2
pull,B1
difficulty,B1
filthy,BEYOND
thing,A1
wash,A2
bring,A1
obey,B2
lay,B1
table,A1
course,A1
woman,A1
curious,B2
moment,A1
silent,B1
gaze,C1
frail,BEYOND
relic,BEYOND
wonder,B1
tell,A1
tale,B2
sad,A1
disaster,A2
trifling,BEYOND
message,A1
frolic,BEYOND
love,A1
fling,BEYOND
amuse,BEYOND
examine,B1
delay,B2
carefully,A2
minutely,BEYOND
coroner,BEYOND
inquest,BEYOND
commence,C1
close,B1
inspection,C1
neck,A2
slender,BEYOND
round,B2
rim,BEYOND
wire,B2
hang,B1
eat,A1
away,A1
rust,BEYOND
side,A2
pressure,B1
origin,B2
major,A2
contradict,BEYOND
suppose,A2
matter,A2
presently,C1
affirm,BEYOND
look,A2
petrifaction,BEYOND
different,A1
substance,B1
mineral,B2
salt,A1
water,B1
waif,BEYOND
toss,C1
ocean,A2
time,B2
agree,A1
dare,B2
concern,B2
voyage,BEYOND
protect,A2
covering,BEYOND
want,A1
wait,A2
dear,A2
patience,B2
mistake,B2
answer,A1
question,A2
scrape,BEYOND
hard,A1
cork,BEYOND
appearance,A2
damage,B1
vexing,BEYOND
paper,A1
pretty,A1
state,B1
lucky,A2
add,A1
sink,B1
true,A1
open,A1
road,A1
exact,A2
longitude,BEYOND
study,A1
atmospheric,BEYOND
submarine,BEYOND
current,B1
postman,BEYOND
wind,B2
tide,C1
clew,BEYOND
starting,BEYOND
point,B1
gently,BEYOND
odor,BEYOND
pervade,BEYOND
saloon,BEYOND
impatiently,BEYOND
impossible,A2
remove,A2
appear,A2
rot,BEYOND
damp,BEYOND
break,A1
preserve,B2
doubt,B1
valuable,B1
sacrifice,C1
simply,B1
easily,A2
suggest,A2
unwilling,BEYOND
alternative,B1
stony,BEYOND
material,B2
acquire,B2
hardness,BEYOND
granite,BEYOND
sharp,B1
shiver,BEYOND
fragment,B2
separate,B1
spread,B1
eager,C1
friend,A1
discover,A2
word,A1
remainder,C1
completely,A2
obliterate,BEYOND
attentively,BEYOND
light,A2
decipher,BEYOND
scrap,BEYOND
writing,A1
anxious,B2
distinct,B2
apparently,B2
copy,A2
language,A1
sense,B2
incomplete,BEYOND
supplement,C1
likely,A2
efface,BEYOND
put,A1
gather,B1
intelligible,BEYOND
meaning,A1
rejoin,BEYOND
proceed,B2
methodically,BEYOND
english,BEYOND
follow,A1
lose,A1
entire,B2
skipp,BEYOND
skipper,BEYOND
mention,B1
shipwrecked,BEYOND
vessel,C1
deal,B1
yes,A1
unfortunately,A2
place,B1
shipwreck,BEYOND
echo,C1
neighbor,BEYOND
compare,A1
destroy,A2
