word,level
ancient,A2
time,B2
human,A2
gaze,C1
wonder,B1
vast,B2
blanket,B2
star,A2
cover,B1
night,A1
sky,A2
record,A2
go,B1
year,A1
sumerian,BEYOND
astronomer,BEYOND
recognize,A2
move,B1
differently,A2
celestial,BEYOND
body,A1
special,A1
object,B2
track,B2
close,B1
planet,A2
fascinate,BEYOND
today,A1
book,A2
journey,A1
learn,A1
neighbor,BEYOND
solar,B2
system,A2
stop,A1
tour,B1
tiny,B1
fifth,A1
size,A2
small,A1
complete,A1
orbit,BEYOND
day,A1
take,A1
rotation,C1
axis,BEYOND
atmosphere,B1
leave,B2
dry,A2
rocky,BEYOND
surface,B1
little,A2
protection,B2
crater,BEYOND
blast,C1
asteroid,BEYOND
dense,C1
second,A2
similar,A1
remarkably,B2
massive,B2
thick,A2
heat,A2
trap,B2
layer,B1
carbon,B2
dioxide,BEYOND
heavy,A2
make,B2
hot,A1
difficult,A1
study,A1
unusual,A2
spin,C1
slowly,A2
long,A1
rotate,C1
travel,A1
counterclockwise,BEYOND
half,A2
revolution,B2
martian,BEYOND
last,A2
hour,A1
potato,A1
shaped,B2
moon,A2
observer,B2
life,A1
appear,A2
channel,B1
contain,A2
water,B1
necessary,A2
ingredient,B1
fact,A1
freeze,B1
beneath,C1
thin,A2
shield,BEYOND
harsh,C1
ultraviolet,BEYOND
radiation,B2
hit,A2
space,A1
junk,BEYOND
beginning,A1
age,B1
power,B2
inner,B2
afar,BEYOND
development,B1
probe,C1
satellite,B2
allow,A2
send,A1
spacecraft,BEYOND
fly,A2
land,A2
mission,B2
result,B1
number,A2
discovery,A2
instance,B2
know,A1
shrink,C1
considerably,B2
cool,B1
early,A1
history,A1
sizzlingly,BEYOND
probably,A1
ocean,A2
find,A1
sign,A2
evidence,A2
collect,A2
suggest,A2
earth,A2
like,B1
warm,B1
temperature,A2
flow,B1
continue,A2
thoroughly,B2
explore,B1
read,A1
sense,B2
far,B1
discover,A2
feature,B1
view,B1
rise,B1
set,B1
twilight,BEYOND
horizon,C1
relatively,B2
visit,A1
lie,B1
near,A1
terrestrial,BEYOND
outer,B2
mass,B2
diameter,BEYOND
mile,A1
kilometer,BEYOND
large,A1
dwarf,BEYOND
classify,B2
consider,A2
caption,BEYOND
mosaic,BEYOND
image,A2
flyby,BEYOND
show,A1
hemisphere,BEYOND
sunlight,BEYOND
follow,A1
account,B1
internal,B2
compression,BEYOND
gravity,C1
unusually,BEYOND
compose,B2
high,B2
percentage,B1
metal,A2
concentrate,B1
comparatively,BEYOND
huge,A2
core,B2
nearly,A2
percent,BEYOND
see,A1
telescope,BEYOND
angular,BEYOND
degree,A2
reason,A1
certain,A2
morning,A1
sunrise,BEYOND
evening,A1
sunset,BEYOND
display,B2
phase,B2
aid,B2
look,A2
crescent,BEYOND
different,A1
position,B2
reflect,B1
full,A1
disk,BEYOND
separate,B1
combine,B1
cross,A2
type,B1
eclipse,BEYOND
call,A1
transit,C1
false,A1
color,BEYOND
light,A2
successive,C1
seven,A1
minute,C1
dozen,B2
century,A1
pass,B1
directly,B1
event,A1
black,A1
background,A2
bright,A2
binocular,BEYOND
safely,BEYOND
equip,B2
filter,C1
require,B1
observe,B2
preferably,BEYOND
projection,C1
white,A1
card,A1
average,B1
distance,A2
million,A1
elliptical,BEYOND
oval,BEYOND
eccentric,BEYOND
elongated,BEYOND
tilt,BEYOND
plane,A1
tip,B1
relative,B1
ecliptic,BEYOND
word,A1
name,A1
roman,BEYOND
god,A2
counterpart,C1
greek,BEYOND
swift,BEYOND
footed,BEYOND
messenger,BEYOND
speed,B2
circle,A2
rate,B2
fast,A1
numerous,B2
impact,B1
basin,BEYOND
mark,A2
quickly,A1
combination,B2
slow,B1
lead,B1
situation,A1
straight,A2
overhead,BEYOND
twice,A1
direction,A2
path,B1
trace,C1
equator,BEYOND
orbital,BEYOND
mention,B1
incline,BEYOND
german,BEYOND
major,A2
law,A2
govern,B2
motion,B2
describe,A1
shape,B2
exactly,A2
circular,BEYOND
slightly,B1
mercury,BEYOND
velocity,BEYOND
state,B1
imaginary,B1
line,B2
draw,A1
sweep,B2
equal,B1
area,A1
period,A1
mean,A1
bring,A1
away,A1
calculate,B2
vice,C1
versa,BEYOND
square,A2
proportional,BEYOND
cube,BEYOND
characteristic,B2
highly,B1
create,A1
strange,A2
effect,A2
vary,B2
greatly,B2
farth,BEYOND
get,A1
point,B1
steadily,B2
apparent,B2
change,A1
depend,A2
viewer,B1
location,B1
briefly,B2
reverse,C1
course,A1
perpendicular,BEYOND
upright,BEYOND
comparison,B1
inclination,BEYOND
main,A1
season,A2
approximately,B1
chapter,B1
closeness,BEYOND
instrument,A2
sensitive,B2
radar,C1
radio,A1
wave,B1
detect,B2
measure,B1
bounce,C1
unlike,B1
significant,B2
surround,B2
gas,A2
pressure,B1
force,B1
exert,C1
trillionth,BEYOND
extremely,A2
include,A1
atom,BEYOND
helium,BEYOND
hydrogen,C1
oxygen,B2
sodium,BEYOND
remain,B1
replenish,BEYOND
partly,B2
wind,B2
charge,B1
particle,BEYOND
come,A1
comet,BEYOND
magnetic,C1
field,A2
form,A1
weak,A2
strength,B1
widely,B2
broil,BEYOND
world,A1
daytime,BEYOND
exceed,B2
part,A1
lack,B1
drop,B1
dawn,C1
heavily,B1
cratered,BEYOND
somewhat,B2
meteorite,BEYOND
crash,B2
scar,BEYOND
planetary,BEYOND
scientist,A1
estimate,B2
general,A2
old,A1
region,A2
flat,A2
gently,BEYOND
roll,B1
plain,B2
few,A1
smooth,B1
volcanic,BEYOND
lava,BEYOND
double,B1
ringed,BEYOND
left,A1
apparently,B2
fill,A1
material,B2
scarp,BEYOND
cliff,B2
run,A2
rim,BEYOND
cut,B1
right,A1
multiple,B2
ring,B1
eye,A1
pattern,A2
prominent,C1
young,B1
mountain,A1
height,A2
opposite,A1
hilly,BEYOND
terrain,C1
think,A1
cause,A2
seismic,BEYOND
vibration,BEYOND
ripple,BEYOND
focus,A2
site,A2
warp,BEYOND
hundred,A1
steep,B2
believe,A1
interior,C1
mantle,BEYOND
begin,A1
crust,BEYOND
buckle,BEYOND
crack,B2
oddly,BEYOND
contorted,BEYOND
indicate,B1
floor,A1
metallic,BEYOND
center,BEYOND
middle,A2
iron,B1
proportionally,BEYOND
volume,B2
compare,A1
great,A1
density,C1
technician,BEYOND
carefully,A2
lift,A2
order,A1
prelaunch,BEYOND
testing,B2
stand,B2
nearness,BEYOND
present,A2
challenge,B1
contend,C1
enormous,A2
pull,B1
need,B1
lot,A1
energy,A2
enter,A2
information,A1
datum,BEYOND
transmit,B2
launch,B2
craft,C1
initial,B2
leg,A1
use,A2
assist,B1
gravitational,BEYOND
boost,B2
divert,C1
capture,B2
photograph,A2
encounter,B2
final,A2
rocket,B2
happen,A1
fourth,A1
thruster,BEYOND
maneuver,BEYOND
insert,B2
closely,B2
sophisticated,B2
equipment,A2
nominal,BEYOND
end,A1
design,A1
answer,A1
scientific,B1
question,A2
geologic,BEYOND
nature,A2
structure,B2
reveal,B2
deep,B1
vent,BEYOND
crustal,BEYOND
fault,B2
lobate,BEYOND
previously,B1
artist,A1
impression,B1
low,B2
resolution,B2
broadly,B2
confirm,B1
unseen,BEYOND
brilliant,A2
natural,A1
nighttime,BEYOND
similarity,B1
intrigue,BEYOND
goddess,BEYOND
love,A1
beauty,B1
condition,A2
hospitable,BEYOND
inviting,BEYOND
shroud,BEYOND
cloud,A2
mainly,B1
permanent,B2
observation,B2
unmanned,BEYOND
pierce,BEYOND
generate,B2
computer,A1
northern,B1
photo,A1
twin,A2
infrared,BEYOND
orbiter,BEYOND
blow,B2
inferior,BEYOND
roughly,B2
clear,B1
daylight,BEYOND
exhibit,B2
cycle,A2
easily,A2
rare,B1
occur,B1
generally,B1
recurrence,BEYOND
start,A2
wait,A2
date,B2
interval,B2
watch,A1
magnification,BEYOND
suitable,B1
dark,A2
project,B2
screen,B2
pinhole,BEYOND
lens,B2
importance,B1
careful,A2
timing,B2
permit,B2
accurate,B2
measurement,B2
turn,A1
calculation,C1
astronomical,BEYOND
unit,A2
rarely,B1
regularly,B1
pair,A1
apart,B1
approach,B2
length,B1
couple,A2
way,B2
spherical,BEYOND
bulging,BEYOND
flattening,BEYOND
pole,C1
distortion,BEYOND
minimize,C1
retrograde,BEYOND
member,A1
clockwise,BEYOND
west,A1
east,A1
seasonal,BEYOND
variation,B2
slight,B2
global,B1
help,A1
drive,A2
fluid,C1
exploration,B2
play,A1
crucial,B2
role,A2
increase,A2
knowledge,A2
bar,B2
atmospheric,BEYOND
sea,A1
level,B1
molecular,BEYOND
nitrogen,BEYOND
amount,B2
perpetually,BEYOND
deck,B2
altitude,BEYOND
addition,B1
haze,BEYOND
extend,B2
microscopic,BEYOND
predominantly,C1
droplet,BEYOND
sulfuric,BEYOND
acid,C1
solid,B1
crystal,C1
presence,B2
sulfur,BEYOND
chlorine,BEYOND
circulate,C1
surprisingly,BEYOND
rapidly,B2
completely,A2
accord,BEYOND
range,B1
breeze,BEYOND
band,A1
featureless,BEYOND
visible,B2
imaging,BEYOND
distinctive,C1
add,A1
emulate,BEYOND
yellow,A1
appearance,A2
graph,BEYOND
base,B1
red,A1
arrow,B2
series,A2
obtain,B2
detailed,B2
robotic,BEYOND
lander,BEYOND
strew,BEYOND
slabby,BEYOND
rock,C1
fine,C1
grained,BEYOND
soil,B1
chemical,B1
composition,C1
landing,B2
analysis,B1
basalt,BEYOND
