word,level
caption,BEYOND
map,B2
northwest,BEYOND
edition,B2
publish,A2
terrain,C1
western,B1
include,A1
desert,B2
grassland,BEYOND
equatorial,BEYOND
forest,A2
river,A1
basin,BEYOND
thousand,A1
mile,A1
coastline,BEYOND
diverse,B2
people,A1
call,A1
region,A2
home,A2
century,A1
country,A1
area,A1
face,B1
innumerable,BEYOND
hardship,BEYOND
culture,A1
draw,A1
strength,B1
past,A2
incorporate,B2
tradition,A2
wide,A2
range,B1
influence,B1
volume,B2
examine,B1
rich,A1
history,A1
african,BEYOND
kingdom,C1
variously,BEYOND
struggle,B2
invasion,B2
slavery,C1
colonialism,BEYOND
corruption,C1
emerge,B2
independent,A2
state,B1
strive,C1
secure,B2
economic,B1
growth,B1
stability,C1
human,A2
civilization,B2
trace,C1
year,A1
archaeologist,BEYOND
find,A1
evidence,A2
agricultural,C1
practice,A1
cattle,C1
herding,BEYOND
date,B2
bce,BEYOND
turn,A1
cultural,B1
development,B1
mirror,A2
occur,B1
time,B2
system,A2
trade,B1
evolve,B2
ancient,A2
population,A2
centre,B1
north,A1
early,A1
persist,C1
trans,BEYOND
saharan,BEYOND
route,A2
link,A2
northern,B1
tradesman,BEYOND
land,A2
crisscross,BEYOND
sand,B1
exchange,B1
cloth,B1
salt,A1
gold,A2
ivory,BEYOND
slave,B2
domestication,BEYOND
camel,BEYOND
millennium,BEYOND
further,B1
expansion,B2
good,A2
islamic,BEYOND
religious,B1
belief,B1
eventually,B1
way,B2
period,A1
series,A2
powerful,B1
empire,B2
develop,A2
plain,B2
stretch,B2
roughly,B2
reach,B2
form,A1
southernmost,BEYOND
border,B1
actually,A2
modern,A1
day,A1
wealthy,B2
sophisticated,B2
political,B1
social,A2
organization,A2
acquire,B2
wealth,B2
procure,BEYOND
source,A2
farming,A2
raise,A2
livestock,BEYOND
possess,B2
advanced,B1
technology,A2
ironworking,BEYOND
command,B2
impressive,B1
military,B2
import,B1
export,B1
taxis,BEYOND
help,A1
enrich,C1
abundant,BEYOND
goldfield,BEYOND
succeed,A2
dominant,B2
power,B2
king,A2
name,A1
member,A1
clan,BEYOND
take,A1
leave,B2
create,A1
extensive,B2
society,A2
largely,B2
pagan,BEYOND
spread,B1
trader,BEYOND
merchant,C1
firsthand,BEYOND
account,B1
likely,A2
write,A1
bear,B2
famous,A1
arab,BEYOND
world,A1
traveler,BEYOND
journal,B1
chronicle,BEYOND
exploration,B2
provide,A2
fascinating,B1
glimpse,C1
medieval,C1
visit,A1
reign,C1
legendary,C1
pilgrimage,BEYOND
hajj,BEYOND
reflect,B1
increase,A2
prevalence,C1
extravagant,BEYOND
nature,A2
journey,A1
testament,BEYOND
incredible,A2
build,A1
great,A1
mosque,B2
city,A1
madrasa,BEYOND
school,A1
intellectual,C1
spiritual,B2
important,A1
trading,B2
found,B2
nomad,BEYOND
later,A2
situate,BEYOND
long,A1
natural,A1
avenue,BEYOND
communication,B1
recede,BEYOND
absorb,B2
nearby,B2
rule,B1
leadership,B2
conquer,C1
expand,B1
capital,A1
present,A2
major,A2
terminus,BEYOND
caravan,BEYOND
cross,A2
portuguese,BEYOND
sea,A1
look,A2
divert,C1
coast,A2
mouth,A1
know,A1
live,B1
access,B1
willing,B2
base,B1
metal,A2
manufacture,B2
follow,A1
establish,B2
post,A1
fight,A2
maintain,B2
foothold,BEYOND
cultivate,C1
resource,B1
being,B2
represent,B1
valuable,B1
commodity,C1
arrival,B1
enslave,BEYOND
keep,A1
send,A1
begin,A1
continent,A2
able,A2
exploit,B2
seek,B2
work,A1
newly,B2
plantation,BEYOND
small,A1
spring,B1
supply,B1
field,A2
worker,A1
caribbean,BEYOND
majority,B2
coastal,C1
adjacent,C1
number,A2
indigenous,C1
approximately,B1
million,A1
additional,B2
die,A1
change,A1
attitude,B1
buying,BEYOND
selling,BEYOND
lead,B1
abolition,BEYOND
bring,A1
end,A1
atlantic,BEYOND
second,A2
half,A2
mean,A1
labour,B2
european,BEYOND
design,A1
compete,A2
control,A2
new,A1
colonial,C1
parcel,BEYOND
certain,A2
colonize,BEYOND
free,B2
american,BEYOND
territory,B2
subdue,BEYOND
prove,B1
extremely,A2
difficult,A1
consume,B1
costly,C1
scramble,BEYOND
possession,A2
rationalize,BEYOND
far,B1
superior,C1
terrible,A1
carnage,BEYOND
force,B1
evaluate,B2
notion,B2
coincide,C1
effort,B1
shake,B1
attract,B1
support,A2
politician,B1
french,BEYOND
colony,B2
british,BEYOND
sub,BEYOND
gain,B2
independence,B2
quickly,A1
leader,A2
recognize,A2
make,B2
clear,B1
array,C1
distinct,B2
divide,B1
respect,B1
geographic,BEYOND
ethnic,B2
boundary,C1
affect,A2
numerous,B2
aspect,B2
example,A1
citizen,B2
speak,A1
language,A1
official,B1
pre,BEYOND
apparent,B2
communicate,A2
fall,A2
family,A1
deep,B1
connection,B1
predate,BEYOND
additionally,B2
jihad,BEYOND
holy,B2
war,A2
contribute,B2
currently,B1
religion,B1
despite,B1
economically,BEYOND
crippling,BEYOND
legacy,C1
produce,B2
select,B2
today,A1
have,A2
rely,B2
basic,B1
necessity,B2
disadvantage,B1
result,B1
poverty,B1
heavy,A2
burden,C1
debt,B2
suffer,B1
devastating,BEYOND
civil,B2
upheaval,BEYOND
brutal,C1
regime,C1
dictator,C1
prompt,B2
impose,B2
sanction,C1
pressure,B1
government,A2
comply,C1
international,A2
law,A2
challenge,B1
appear,A2
poise,BEYOND
manage,A2
improve,A1
quality,A2
life,A1
boast,C1
diamond,B1
uranium,BEYOND
petroleum,BEYOND
bauxite,BEYOND
aluminium,C1
avidly,BEYOND
investment,B2
allow,A2
see,A1
grow,A1
stable,B2
elect,B2
president,A2
woman,A1
head,B1
future,A2
health,A1
depend,A2
large,A1
degree,A2
individual,A2
achieve,A2
understanding,A2
compromise,C1
fact,A1
shape,B2
race,B1
lack,B1
knowledge,A2
archaeological,BEYOND
oral,C1
art,A1
object,B2
artifact,BEYOND
richly,BEYOND
arrive,A1
learn,A1
term,B2
book,A2
designate,C1
refer,A2
conventionally,BEYOND
understand,A1
primarily,B2
designation,BEYOND
comprise,B2
consider,A2
part,A1
reasonable,B2
body,A1
writing,A1
available,A2
complete,A1
conquest,BEYOND
come,A1
termini,BEYOND
lively,B2
geographer,BEYOND
historian,B2
flourish,C1
muslim,BEYOND
amount,B2
information,A1
black,A1
south,A1
island,A1
landlocked,BEYOND
limitation,B2
writer,A1
contemptuous,BEYOND
non,BEYOND
pass,B1
little,A2
tend,B1
concentrate,B1
condemn,C1
strike,B2
monstrous,BEYOND
aberration,BEYOND
conversely,BEYOND
doubtless,BEYOND
exaggerate,C1
importance,B1
islamization,BEYOND
enter,A2
probably,A1
finally,A2
penetrate,BEYOND
urban,B2
exist,A2
fringe,BEYOND
cultivable,BEYOND
