word,level
people,A1
explore,B1
settle,B2
ancestor,B2
early,A1
explorer,BEYOND
member,A1
nomadic,BEYOND
hunter,BEYOND
gatherer,BEYOND
cultural,B1
group,A1
move,B1
ice,A1
age,B1
thick,A2
sheet,A2
cover,B1
northern,B1
absorb,B2
water,B1
sea,A1
level,B1
drop,B1
land,A2
bridge,A2
emerge,B2
year,A1
ago,A1
connect,A2
northeastern,BEYOND
come,A1
follow,A1
coast,A2
southward,BEYOND
combine,B1
walking,BEYOND
boat,A1
travel,A1
walk,A1
glacierfree,BEYOND
area,A1
center,BEYOND
introduction,A2
continue,A2
melting,BEYOND
gradually,B2
open,A1
allow,A2
spread,B1
single,A2
person,A1
large,A1
long,A1
journey,A1
march,C1
century,A1
arrive,A1
thousand,A1
later,A2
time,B2
portion,B2
rediscover,BEYOND
period,A1
maritime,BEYOND
exploration,B2
know,A1
begin,A1
late,A1
send,A1
ship,B2
directly,B1
sail,B1
globe,B2
european,BEYOND
usher,BEYOND
globalization,B2
development,B1
economic,B1
link,A2
world,A1
conquer,C1
colonize,BEYOND
distant,B2
establish,B2
vast,B2
empire,B2
violent,B1
conquest,BEYOND
disease,A2
accidentally,B2
bring,A1
kill,A2
enormous,A2
number,A2
smallpox,BEYOND
yellow,A1
fever,B2
malaria,BEYOND
influenza,BEYOND
measles,BEYOND
indian,BEYOND
population,A2
decrease,B2
force,B1
work,A1
plantation,BEYOND
mine,B1
harsh,C1
condition,A2
import,B1
african,BEYOND
slave,B2
replace,A2
labor,BEYOND
source,A2
gold,A2
silver,A2
pour,B1
enrich,C1
economy,B1
caption,BEYOND
scientist,A1
underwater,BEYOND
stretch,B2
cross,A2
image,A2
modern,A1
artist,A1
show,A1
lead,B1
exchange,B1
plant,A2
animal,A1
germ,BEYOND
technology,A2
idea,A1
continent,A2
call,A1
potato,A1
corn,BEYOND
tomato,A1
sweet,A2
squash,BEYOND
cassava,BEYOND
cacao,BEYOND
chocolate,A1
hot,A1
pepper,A1
peanut,BEYOND
pineapple,A1
tobacco,C1
crop,B2
introduce,A1
new,A1
food,A1
productive,C1
boom,C1
domesticate,BEYOND
horse,A1
cattle,C1
sheep,A1
pig,A1
wheat,B2
rice,A1
oats,BEYOND
banana,A1
olive,BEYOND
sugarcane,BEYOND
coffee,A1
steel,B2
gun,A2
produce,B2
sugar,A1
cotton,B1
great,A1
quantity,A2
creation,B2
processing,C1
textile,BEYOND
industry,A2
chapter,B1
find,A1
mistake,B2
look,A2
route,A2
mainly,B1
want,A1
well,C1
trade,B1
value,B1
product,A1
include,A1
clove,BEYOND
spice,B2
taste,A2
good,A2
spoil,B2
demand,B2
luxury,B1
sheer,C1
colorful,BEYOND
silken,BEYOND
cloth,B1
rich,A1
carpet,A2
sparkling,BEYOND
jewelry,BEYOND
wealth,B2
trickle,BEYOND
western,B1
overland,BEYOND
asian,BEYOND
merchandise,BEYOND
scarce,BEYOND
expensive,A1
change,A1
hand,B1
reach,B2
consumer,B1
cost,A1
increase,A2
transport,B1
camel,BEYOND
caravan,BEYOND
carry,A1
comparatively,BEYOND
small,A1
load,B2
cheaply,BEYOND
italian,BEYOND
port,B1
city,A1
satisfied,B2
monopoly,C1
old,A1
trading,B2
order,A1
portuguese,BEYOND
pioneer,C1
eastern,B1
southern,B1
tip,B1
round,B2
successfully,B1
discover,A2
educated,B1
east,A1
west,A1
believe,A1
practical,B1
voyage,BEYOND
different,A1
matter,A2
master,B2
navigator,BEYOND
optimistic,B2
advocate,C1
set,B1
expedition,B1
speedy,BEYOND
caravel,BEYOND
flagship,BEYOND
twice,A1
size,A2
funding,B2
spanish,BEYOND
