word,level
wide,A2
eye,A1
fix,B2
like,B1
trap,B2
creature,B2
horrify,BEYOND
beneath,C1
mesmeric,BEYOND
gaze,C1
great,A1
serpent,BEYOND
girl,A1
watch,A1
approach,B2
man,A1
hand,B1
free,B2
have,A2
secure,B2
length,B1
ancient,A2
slave,B2
chain,B1
fasten,B1
end,A1
iron,B1
collar,BEYOND
padlock,BEYOND
neck,A2
long,A1
stake,C1
drive,A2
deep,B1
ground,A2
slowly,A2
shrink,C1
inch,B2
opposite,A1
tent,B1
follow,A1
extend,B2
finger,A2
half,A2
open,A1
claw,BEYOND
seize,C1
lip,B1
part,A1
breath,B1
come,A1
quickly,A1
pantingly,BEYOND
recall,B2
instruction,A2
molest,BEYOND
go,B1
jungle,BEYOND
hunt,B1
choose,A1
time,B2
scream,B2
loud,A2
shrill,BEYOND
twice,A1
leap,C1
throttle,BEYOND
alarming,BEYOND
cry,B2
brute,BEYOND
fight,A2
tooth,A1
nail,B1
find,A1
easy,A1
prey,C1
slender,BEYOND
young,B1
body,A1
rounded,BEYOND
curve,B2
fine,C1
soft,A2
skin,A2
lie,B1
muscle,B1
lioness,BEYOND
weakling,BEYOND
character,A2
appearance,A2
brutal,C1
belie,BEYOND
brawn,BEYOND
giant,B1
stature,BEYOND
strength,B1
force,B1
strike,B2
face,B1
hurt,B2
badly,A2
grow,A1
weak,A2
choke,BEYOND
throat,B1
bring,A1
buck,C1
hunting,B2
carry,A1
far,B1
afield,BEYOND
prone,BEYOND
permit,B2
suspicious,C1
fact,A1
companion,C1
refuse,A2
accompany,B2
elect,B2
instead,A2
direction,A2
ordinary,A2
circumstance,B2
fraught,BEYOND
sinister,BEYOND
suggestion,A2
know,A1
meat,A1
turn,A1
immediately,A2
camp,A2
boy,A1
kill,A2
cover,B1
return,A1
journey,A1
faintly,BEYOND
ear,A1
halt,C1
listen,A1
repeat,B1
silence,B2
mutter,BEYOND
curse,BEYOND
break,A1
rapid,B2
run,A2
wonder,B1
late,A1
fool,B2
chance,A2
jeopardize,BEYOND
fortune,B2
away,A1
hear,A1
stranger,B1
aware,B1
proximity,BEYOND
white,A1
hunter,BEYOND
handful,C1
sleek,BEYOND
black,A1
warrior,C1
intently,BEYOND
moment,A1
voice,A2
woman,A1
distress,C1
doubt,B1
hasten,BEYOND
affrighted,BEYOND
reach,B2
rouse,BEYOND
pity,B2
calloused,BEYOND
heart,A2
anger,B2
fellow,B2
scoundrel,BEYOND
attacker,BEYOND
shower,A1
blow,B2
stream,B2
foul,BEYOND
erstwhile,BEYOND
friend,A1
burst,C1
interrupt,B2
drop,B1
victim,B1
meet,A1
infuriated,BEYOND
charge,B1
whip,C1
revolver,BEYOND
hip,B2
anticipate,B2
lightning,BEYOND
draw,A1
simultaneously,C1
fire,B1
move,B1
flash,B2
explosion,B1
stop,A1
nerveless,BEYOND
stagger,BEYOND
drunkenly,BEYOND
deliberately,B2
bullet,B2
close,B1
range,B1
midst,C1
excitement,B1
terror,B2
tenacity,BEYOND
life,A1
hit,A2
display,B2
head,B1
forward,B2
breast,B2
hang,B1
