word,level
caption,BEYOND
publish,A2
principle,B2
compilation,BEYOND
physics,A2
metaphysics,BEYOND
century,A1
european,BEYOND
society,A2
suffer,B1
unprecedented,C1
series,A2
natural,A1
human,A2
disaster,A2
include,A1
famine,BEYOND
numerous,B2
devastating,BEYOND
expensive,A1
war,A2
end,A1
continent,A2
great,A1
deal,B1
poor,A1
populous,BEYOND
accord,BEYOND
historian,B2
calamity,BEYOND
death,A2
knell,BEYOND
drastic,BEYOND
change,A1
bring,A1
hasten,BEYOND
disappearance,BEYOND
characteristically,BEYOND
medieval,C1
form,A1
political,B1
authority,B1
social,A2
organization,A2
important,A1
serve,A2
undermine,C1
confidence,B2
late,A1
thinker,BEYOND
dogmatic,BEYOND
christian,BEYOND
aristotelian,BEYOND
doctrine,C1
concern,B2
world,A1
proper,B1
structure,B2
governance,C1
capacity,B2
moral,B2
worth,B1
being,B2
scholar,B2
merely,C1
temporary,B2
interruption,BEYOND
process,B2
intellectual,C1
transformation,C1
begin,A1
early,A1
continue,A2
period,A1
occur,B1
clear,B1
culture,A1
significant,B2
way,B2
national,B2
monarchy,BEYOND
completely,A2
eclipse,BEYOND
power,B2
german,BEYOND
leader,A2
crown,C1
pope,BEYOND
supreme,C1
secular,C1
earth,A2
independent,A2
city,A1
state,B1
economically,BEYOND
militarily,BEYOND
powerful,B1
growth,B1
commerce,C1
manufacturing,B2
increase,A2
importance,B1
merchant,C1
class,A1
expense,B2
landed,BEYOND
nobility,BEYOND
mark,A2
rise,B1
humanism,BEYOND
movement,A2
emphasize,B2
dignity,C1
individual,A2
humanist,BEYOND
responsible,B1
rediscovery,BEYOND
translation,B1
wealth,B2
ancient,A2
greek,BEYOND
roman,BEYOND
literary,B2
philosophical,C1
text,A2
complete,A1
dialogue,A1
revere,BEYOND
call,A1
rigour,BEYOND
integrity,C1
freedom,B2
pursue,B2
scientific,B1
problem,A1
respect,B1
philosopher,C1
estimation,BEYOND
far,B1
superior,C1
academic,B1
previous,B1
bind,C1
investigation,B2
support,A2
contradict,BEYOND
theology,C1
regard,B2
term,B2
invent,A2
long,A1
activity,A1
simply,B1
cease,C1
understand,A1
inheritor,BEYOND
standardbearer,BEYOND
classical,A2
ideal,B2
stultifying,BEYOND
orthodoxy,BEYOND
somewhat,B2
judgmental,BEYOND
invention,A2
sympathizer,BEYOND
aptly,BEYOND
convey,B2
renewal,BEYOND
reawakening,BEYOND
self,B2
consciously,BEYOND
take,A1
leave,B2
philosophy,B2
apparent,B2
new,A1
influence,B1
atomism,BEYOND
revival,C1
area,A1
develop,A2
time,B2
relatively,B2
neglect,C1
particularly,B1
epistemology,BEYOND
study,A1
knowledge,A2
ethic,B2
modern,A1
western,B1
conventionally,BEYOND
present,A2
day,A1
span,C1
year,A1
comprise,B2
small,A1
subdivide,BEYOND
contemporary,B2
start,A2
especially,A2
sophisticated,B2
purely,B2
perspective,B2
address,B2
responsibility,B1
ruler,A1
justification,C1
nation,B1
major,A2
figure,B2
field,A2
florentine,BEYOND
statesman,BEYOND
scientist,A1
analysis,B1
statecraft,BEYOND
realistic,B2
idealistic,BEYOND
grant,B2
case,A2
actually,A2
behave,A2
prescribe,C1
basis,B1
certain,A2
guideline,B2
follow,A1
acquire,B2
maintain,B2
consider,A2
ought,B1
surprisingly,BEYOND
frank,BEYOND
advice,A1
set,B1
forth,C1
work,A1
reader,A1
endorsement,C1
immorality,BEYOND
evil,B2
sphere,C1
empirical,C1
value,B1
remain,B1
unrecognized,BEYOND
subsequent,B2
concerned,B2
justify,B2
limit,B1
legitimate,C1
monarch,BEYOND
propose,B2
hypothetical,BEYOND
nature,A2
assume,B2
precede,B2
establishment,C1
necessity,B2
survival,B2
compel,C1
constant,B2
violent,B1
conflict,B2
life,A1
solitary,BEYOND
nasty,B2
brutish,BEYOND
short,A1
safeguard,BEYOND
enter,A2
contract,B2
agree,A1
surrender,C1
right,A1
govern,B2
sovereign,BEYOND
condition,A2
ensure,B2
peace,A2
order,A1
punish,B1
commit,B1
act,B1
essence,C1
absolute,B2
actual,B2
descend,C1
anarchic,BEYOND
later,A2
theorist,BEYOND
importantly,BEYOND
see,A1
result,B1
agreement,B1
version,B1
group,A1
subject,B2
law,A2
equality,C1
liberty,C1
property,B1
create,A1
protect,A2
function,B1
sole,C1
existence,B2
citizen,B2
revolution,B2
fail,A2
view,B1
liberalism,BEYOND
embody,C1
differ,B2
hold,B2
people,A1
happy,A1
gradual,BEYOND
development,B1
private,B1
come,A1
inequality,C1
envy,BEYOND
strife,BEYOND
accordingly,C1
essentially,B2
false,A1
rich,A1
privilege,C1
true,A1
enforce,C1
general,A2
nearly,A2
dominate,B2
utilitarianism,BEYOND
american,BEYOND
employ,A2
notion,B2
fundamental,B2
minimal,C1
level,B1
economic,B1
guarantee,B2
veil,BEYOND
ignorance,C1
hypothesis,B2
know,A1
position,B2
occupy,B2
motivate,B2
historical,B1
flourished,BEYOND
summarize,B1
skeptical,BEYOND
hellenistic,BEYOND
bce,BEYOND
follower,BEYOND
effort,B1
solve,A2
intractable,BEYOND
dominant,B2
theme,B1
eventually,B1
broad,B2
approach,B2
emphasis,B2
observation,B2
conception,C1
found,B2
application,B1
method,A2
mathematical,C1
spectacular,B2
success,A1
empiricist,BEYOND
posteriori,BEYOND
derive,B2
experience,B1
rationalist,BEYOND
priori,BEYOND
obtainable,BEYOND
independently,BEYOND
task,A2
claim,B1
show,A1
element,B1
concept,B2
connect,A2
real,A1
outside,A2
empiricism,BEYOND
ultimately,B2
inferable,BEYOND
basic,B1
proposition,C1
innate,BEYOND
knowable,BEYOND
mind,A2
rationalism,BEYOND
influential,C1
reconstruct,BEYOND
entire,B2
edifice,BEYOND
foundation,B2
think,A1
exist,A2
misleadingly,BEYOND
interpret,B2
inference,BEYOND
strictly,B2
speak,A1
radical,C1
allow,A2
carry,A1
correctly,A2
theory,B1
unfortunately,A2
assumption,B2
combine,B1
gradually,B2
rigorous,BEYOND
consist,B1
lead,B1
consistent,B2
extreme,B2
fact,A1
conclude,B1
connection,B1
cause,A2
effect,A2
impossible,A2
rationally,BEYOND
unfounded,BEYOND
brief,B2
british,BEYOND
enjoy,A1
wake,A1
research,A2
mental,B1
young,B1
child,A1
learn,A1
language,A1
quickly,A1
gulf,BEYOND
bridge,A2
argue,A2
common,A1
mistake,B2
school,A1
lie,B1
conceive,C1
conform,BEYOND
object,B2
feature,B1
causal,BEYOND
relation,B1
possible,A1
idealism,BEYOND
encompass,C1
reality,B1
blur,BEYOND
erase,BEYOND
distinction,C1
recast,BEYOND
logical,B2
linguistic,BEYOND
discussion,A2
notable,C1
contribution,B2
recover,B2
range,B1
vitality,BEYOND
stoic,BEYOND
epicurean,BEYOND
virtue,C1
good,A2
cultivated,BEYOND
indifference,BEYOND
travail,BEYOND
ordinary,A2
profoundly,BEYOND
ethical,B2
utilitarian,BEYOND
pleasure,B1
