word,level
city,A1
float,B2
water,B1
sixth,BEYOND
gentle,B1
kind,B1
little,A2
gray,A1
goose,BEYOND
wild,A2
love,A1
tame,BEYOND
white,A1
goosey,BEYOND
gander,BEYOND
die,A1
ask,A1
soon,A1
come,A1
landscape,B2
look,A2
familiar,B1
lake,A2
lie,B1
sea,A1
wooded,BEYOND
island,A1
islet,BEYOND
live,B1
parent,A1
brother,A1
sister,A1
beg,B2
fly,A2
home,A2
travel,A1
far,B1
north,A1
let,A1
family,A1
alive,A2
joy,B2
frankly,C1
declare,B2
think,A1
show,A1
great,A1
abandon,B2
admit,B1
right,A1
see,A1
protest,B1
surely,B1
remain,B1
account,B1
begin,A1
tell,A1
archipelago,BEYOND
try,B2
induce,C1
trip,B2
rock,C1
distance,A2
appear,A2
stone,A2
close,B1
find,A1
choice,A2
tidbit,BEYOND
cleft,BEYOND
hollow,B2
search,A2
long,A1
well,C1
nesting,BEYOND
place,B1
hide,A2
mountain,A1
crevice,BEYOND
osi,BEYOND
bush,B2
good,A2
old,A1
fisherman,BEYOND
hear,A1
youth,B1
shot,B2
offing,BEYOND
hunt,B1
bird,A1
age,B1
wife,A1
child,A1
go,B1
hut,BEYOND
care,A2
fire,B1
permit,B2
walk,A1
nest,C1
mother,A1
sit,A1
bring,A1
food,A1
afraid,A1
time,B2
feed,B2
bread,A1
crumb,BEYOND
flock,BEYOND
number,A2
overcrowded,BEYOND
happen,A1
arrive,A1
late,A1
spring,B1
occupy,B2
oblige,C1
leave,B2
hard,A1
finally,A2
way,B2
feel,B2
lose,A1
straight,A2
like,B1
cliff,B2
delay,B2
day,A1
start,A2
morning,A1
fortify,BEYOND
breakfast,A1
eastward,BEYOND
boy,A1
know,A1
certain,A2
notice,A2
east,A1
lively,B2
build,A1
shore,B2
heavily,B1
freight,BEYOND
barge,BEYOND
sloop,BEYOND
boat,A1
fishing,A2
smack,BEYOND
meet,A1
pass,B1
pretty,A1
steamer,BEYOND
run,A2
country,A1
road,A1
railway,A2
track,B2
direction,A2
wish,A2
big,A1
castle,A2
dot,B2
villa,BEYOND
lay,B1
apart,B1
presently,C1
line,B2
variety,A2
cottage,B1
low,B2
manor,BEYOND
house,B2
