word,level
century,A1
half,A2
remarkable,B2
time,B2
world,A1
history,A1
continent,A2
great,A1
civilization,B2
develop,A2
highly,B1
sophisticated,B2
culture,A1
dynasty,BEYOND
series,A2
small,A1
polity,BEYOND
eventually,B1
mughal,BEYOND
empire,B2
early,A1
land,A2
especially,A2
external,B2
focus,A2
prevent,A2
incursion,BEYOND
dominate,B2
previous,B1
enduring,BEYOND
legacy,C1
remain,B1
section,A1
testament,BEYOND
enormous,A2
resource,B1
expend,BEYOND
maintain,B2
expand,B1
barrier,B2
symbolic,C1
effort,B1
outsider,C1
bay,C1
nation,B1
centre,B1
monarchy,BEYOND
begin,A1
emerge,B2
manor,BEYOND
base,B1
decentralized,BEYOND
feudal,BEYOND
society,A2
place,B1
process,B2
progress,B2
degree,A2
beginning,A1
centralized,BEYOND
authority,B1
frontier,BEYOND
state,B1
cover,B1
economy,B1
transform,B2
largely,B2
labour,B2
service,A2
provide,A2
lord,B2
serf,BEYOND
class,A1
money,A1
peasant,C1
artisan,BEYOND
merchant,C1
play,A1
increase,A2
role,A2
possible,A1
large,A1
terrible,A1
plague,BEYOND
epidemic,C1
second,A2
deplete,BEYOND
population,A2
contribute,B2
significantly,B2
ruin,B2
landowner,BEYOND
witness,B2
cultural,B1
intellectual,C1
flowering,BEYOND
know,A1
produce,B2
renowned,C1
individual,A2
innovation,B2
print,B2
movable,BEYOND
type,B1
greatly,B2
facilitate,C1
dissemination,BEYOND
information,A1
inward,BEYOND
outward,BEYOND
look,A2
push,B1
boundary,C1
draw,A1
wonder,B1
rich,A1
learn,A1
traveler,BEYOND
access,B1
difficult,A1
vast,B2
stretch,B2
diminish,C1
european,BEYOND
long,A1
rely,B2
safety,B1
route,A2
ancient,A2
addition,B1
hostile,C1
christian,BEYOND
grow,A1
power,B2
effectively,B1
block,B1
outlet,C1
traditional,A2
sea,A1
map,B2
appear,A2
reference,B1
circumstance,B2
desire,B2
trade,B1
adventure,A2
incentive,B2
seek,B2
new,A1
overseas,B2
voyage,BEYOND
originate,C1
chinese,BEYOND
admiral,BEYOND
send,A1
seven,A1
expedition,B1
prove,B1
venture,C1
mount,B2
contrast,B1
year,A1
seemingly,C1
endless,C1
stream,B2
explorer,BEYOND
adventurer,BEYOND
strike,B2
shore,B2
enterprise,C1
search,A2
southern,B1
initiate,C1
explore,B1
atlantic,BEYOND
coast,A2
death,A2
captain,B1
reach,B2
far,B1
south,A1
continue,A2
east,A1
round,B2
existence,B2
open,A1
passage,B2
indian,BEYOND
ocean,A2
end,A1
lead,B1
west,A1
final,A2
western,B1
link,A2
portuguese,BEYOND
fleet,C1
set,B1
command,B2
advise,B1
sail,B1
southwestward,BEYOND
avoid,A2
calm,B1
water,B1
initial,B2
enthusiasm,B2
discovery,A2
soon,A1
wane,BEYOND
eastward,BEYOND
trading,B2
entrepôt,BEYOND
quickly,A1
establish,B2
african,BEYOND
strategic,C1
entrance,B1
location,B1
subcontinent,BEYOND
control,A2
island,A1
part,A1
outpost,BEYOND
genoese,BEYOND
navigator,BEYOND
try,B2
convince,B1
king,A2
queen,A2
travel,A1
audacious,BEYOND
notion,B2
believe,A1
royal,B1
backing,C1
forth,C1
ship,B2
party,A1
landfall,BEYOND
month,A1
later,A2
fact,A1
encounter,B2
archipelago,BEYOND
region,A2
subsequent,B2
clear,B1
entirely,B2
activity,A1
bear,B2
northeastern,BEYOND
friend,A1
take,A1
extensive,B2
follow,A1
return,A1
scholar,B2
convinced,B2
westward,BEYOND
discover,A2
come,A1
call,A1
name,A1
intrepid,BEYOND
nonetheless,C1
widely,B2
accept,A2
vestige,BEYOND
persist,C1
survive,B1
day,A1
indigenous,C1
people,A1
counterpart,C1
true,A1
number,A2
eastern,B1
inland,BEYOND
founder,B2
colony,B2
view,B1
survey,B2
governor,B2
pave,BEYOND
way,B2
overland,BEYOND
conquistador,BEYOND
spanish,BEYOND
conquest,BEYOND
establishment,C1
subsequently,B2
spearhead,BEYOND
subjugation,BEYOND
found,B2
city,A1
engage,B2
significant,B2
somewhat,B2
recognize,A2
exploit,B2
bring,A1
story,A1
wondrous,BEYOND
pioneering,BEYOND
journey,A1
coin,B1
river,A1
southeastern,BEYOND
ordeal,BEYOND
southwestern,BEYOND
fail,A2
find,A1
fabled,BEYOND
golden,B2
finally,A2
repute,BEYOND
work,A1
acquire,B2
consolidate,C1
territory,B2
hope,A2
easy,A1
wealth,B2
pass,B1
distance,A2
away,A1
imagine,A1
select,B2
leave,B2
strait,BEYOND
perilous,BEYOND
kill,A2
depart,B2
extraordinary,B2
feat,C1
navigation,B2
accomplish,B2
extent,B2
globe,B2
exploration,B2
northern,B1
son,A1
undertake,B2
italian,BEYOND
sight,B1
french,BEYOND
mariner,BEYOND
canadian,BEYOND
basis,B1
claim,B1
sieur,BEYOND
attempt,B2
unsuccessfully,BEYOND
failure,B2
accompany,B2
colonist,BEYOND
priest,B1
missionary,BEYOND
adventuresome,BEYOND
mark,A2
franciscan,BEYOND
friar,BEYOND
vain,BEYOND
doubt,B1
emissary,BEYOND
original,B1
disciple,BEYOND
period,A1
decade,B1
age,B1
unknown,B2
wave,B1
poise,BEYOND
truly,B2
seminal,BEYOND
dimension,C1
size,A2
basically,B2
understand,A1
broad,B2
unexpected,B2
unpopulated,BEYOND
landmass,BEYOND
wholly,C1
unlike,B1
previously,B1
substantially,C1
different,A1
volume,B2
recount,C1
unexplored,BEYOND
peril,BEYOND
drive,A2
lure,BEYOND
fame,B2
excitement,B1
risk,B1
life,A1
marvel,BEYOND
sheer,C1
audacity,BEYOND
undertaking,BEYOND
embark,C1
change,A1
simple,A2
chart,B2
navigational,BEYOND
tool,A2
comparison,B1
brave,B1
soul,B2
present,A2
county,B2
province,C1
diplomat,C1
help,A1
extend,B2
maritime,BEYOND
commercial,B1
influence,B1
border,B1
ḥājjī,BEYOND
pilgrimage,BEYOND
family,A1
descent,C1
derive,B2
rendition,BEYOND
old,A1
hold,B2
reconquer,BEYOND
force,B1
general,A2
newly,B2
young,B1
boy,A1
capture,B2
castrate,BEYOND
army,A2
orderly,BEYOND
troop,B2
prince,B1
distinguish,B2
junior,B2
officer,A2
skilled,B2
war,A2
diplomacy,BEYOND
influential,C1
court,B1
revolt,BEYOND
nephew,BEYOND
emperor,BEYOND
throne,BEYOND
administration,B2
devastate,C1
restore,B2
display,B2
naval,C1
line,B2
illustration,B2
fictional,BEYOND
account,B1
seaborne,BEYOND
commerce,C1
meet,A1
taste,A2
spice,B2
aromatic,BEYOND
need,B1
raw,B2
industrial,B2
material,B2
abroad,A2
muslim,BEYOND
visitor,A1
widen,C1
geographic,BEYOND
horizon,C1
technological,B2
development,B1
shipbuilding,BEYOND
art,A1
seafaring,BEYOND
height,A2
confer,C1
eunuch,BEYOND
surname,BEYOND
thenceforth,BEYOND
commander,B2
chief,B2
mission,B2
man,A1
visit,A1
stop,A1
treachery,BEYOND
defeat,B2
captive,BEYOND
go,B1
seaport,BEYOND
touch,B1
tip,B1
fourth,A1
principal,C1
port,B1
proceed,B2
detachment,BEYOND
cruise,B2
southward,BEYOND
arabian,BEYOND
envoy,BEYOND
pay,A2
homage,BEYOND
fifth,A1
revisit,BEYOND
sixth,BEYOND
launch,B2
home,A2
foreign,A2
die,A1
successor,C1
suspend,B2
shift,B1
policy,B1
appoint,C1
garrison,BEYOND
task,A2
disband,BEYOND
seventh,BEYOND
winter,A1
spring,B1
summer,A1
well,C1
diplomatic,C1
agent,B1
historian,B2
achievement,B1
flatter,BEYOND
vanity,BEYOND
effect,A2
political,B1
sway,BEYOND
admittedly,BEYOND
like,B1
similar,A1
wake,A1
emigration,BEYOND
result,B1
colonization,BEYOND
tributary,BEYOND
last,A2
copy,A2
reflect,B1
renew,C1
interest,A1
discredit,BEYOND
expert,A2
near,A1
nobleman,BEYOND
note,B1
impetus,BEYOND
sponsorship,B2
give,A1
expansion,B2
epithet,BEYOND
apply,A2
seldom,C1
writer,A1
misnomer,BEYOND
exploratory,BEYOND
endure,C1
importance,B1
legendary,C1
figure,B2
stage,B2
exemplar,BEYOND
nationalism,BEYOND
infante,BEYOND
duque,BEYOND
duke,BEYOND
senhor,BEYOND
daughter,A1
brother,A1
educate,B1
supervision,C1
parent,A1
pronounced,C1
chivalric,BEYOND
romance,B2
astrological,BEYOND
literature,B1
ambition,B1
military,B2
campaign,B1
win,B1
kingdom,C1
starting,BEYOND
point,B1
career,A1
moroccan,BEYOND
accord,BEYOND
enthusiastic,B2
biographer,BEYOND
persuade,B1
vigorous,BEYOND
father,A1
enable,B2
knightly,BEYOND
spur,BEYOND
genuine,B2
combat,C1
instead,A2
mock,BEYOND
warfare,C1
tournament,B2
consent,C1
mind,A2
preparation,B2
spread,B1
rumour,C1
destination,B1
order,A1
lull,BEYOND
feeling,A1
false,A1
security,B1
sweep,B2
victim,B1
unprepared,BEYOND
unexpectedly,BEYOND
victory,B2
experienced,B1
soldier,A2
actually,A2
direct,B1
operation,B1
indicate,B1
immediate,B1
appointment,B1
lieutenant,BEYOND
position,B2
require,B1
permanent,B2
residence,C1
civil,B2
administrative,C1
responsibility,B1
oblige,C1
adequately,B2
defend,B2
emergency,B1
arise,B2
ruler,A1
join,A1
retake,BEYOND
hasten,BEYOND
rescue,B2
reinforcement,BEYOND
arrival,B1
beat,B2
assailant,BEYOND
propose,B2
attack,A2
despite,B1
reminder,C1
antagonize,BEYOND
threshold,C1
lie,B1
spend,A1
fight,A2
annex,BEYOND
want,A1
peace,A2
peremptory,BEYOND
administrator,C1
replace,A2
crusade,BEYOND
religious,B1
vow,C1
report,A2
afterward,BEYOND
resolve,B2
chaste,BEYOND
ascetic,BEYOND
indifferent,BEYOND
religion,B1
furtherance,BEYOND
support,A2
scholarship,B2
refrain,BEYOND
worldly,BEYOND
pleasure,B1
illegitimate,BEYOND
hesitate,B2
lecture,A2
reprove,BEYOND
shortcoming,BEYOND
extravagance,BEYOND
immethodical,BEYOND
habit,A2
promise,A2
lack,B1
scruple,BEYOND
raising,BEYOND
patronage,BEYOND
fund,B2
appropriate,B2
finance,B2
promote,B1
opportunity,A2
product,A1
slave,B2
gold,A2
potentially,B2
profitable,C1
underexploited,BEYOND
successful,A2
geography,A1
unquestionably,BEYOND
brilliant,A2
tour,B1
principality,BEYOND
close,B1
appreciate,B1
danger,A2
translate,B1
benefit,B1
succeed,A2
reign,C1
success,A1
induce,C1
tradition,A2
important,A1
rounding,BEYOND
overcome,B2
superstition,BEYOND
deter,BEYOND
seaman,BEYOND
good,A2
exaggeration,BEYOND
vagueness,BEYOND
sailing,A2
direction,A2
source,A2
mistakenly,BEYOND
recently,A2
gain,B2
reluctant,C1
economic,B1
liability,BEYOND
possession,A2
neighbour,A1
ensure,B2
revenue,B2
