word,level
rendezvous,BEYOND
cell,B2
simultaneously,C1
open,A1
door,A1
simplicity,BEYOND
complexity,C1
diversity,B2
tiny,B1
fundamental,B2
unit,A2
fill,A1
large,A1
role,A2
support,A2
life,A1
breathe,B1
fuel,B1
chemical,B1
reaction,B1
communicate,A2
reproduce,C1
study,A1
minute,C1
factory,A2
plant,A2
animal,A1
unravel,BEYOND
mystery,B1
organism,BEYOND
function,B1
provide,A2
basis,B1
development,B1
therapy,B2
treat,B1
debilitate,BEYOND
human,A2
disease,A2
dynamic,C1
volume,B2
explain,A1
structure,B2
evolution,B2
intricacy,BEYOND
versatile,BEYOND
adult,A2
compose,B2
numerous,B2
distinct,B2
mammal,BEYOND
instance,B2
different,A1
type,B1
organize,A2
tissue,B2
contain,A2
perform,A2
specific,A2
example,A1
epithelial,BEYOND
line,B2
small,A1
intestine,BEYOND
absorb,B2
nutrient,BEYOND
secrete,BEYOND
mucus,BEYOND
enzyme,BEYOND
differentiate,C1
see,A1
base,B1
internal,B2
organization,A2
divide,B1
main,A1
form,A1
prokaryote,BEYOND
eukaryote,BEYOND
size,A2
simple,A2
lack,B1
membrane,BEYOND
bind,C1
nucleus,BEYOND
store,B1
genetic,B2
information,A1
prokaryotic,BEYOND
date,B2
ubiquitous,BEYOND
exist,A2
number,A2
air,A1
soil,B1
water,B1
body,A1
know,A1
bacterium,BEYOND
cause,A2
anthrax,BEYOND
syphilis,BEYOND
responsible,B1
tooth,A1
decay,BEYOND
bacteria,B2
essential,B1
ecological,C1
cycle,A2
like,B1
coli,BEYOND
live,B1
give,A1
inquire,BEYOND
mind,A2
insight,B2
dna,BEYOND
fungus,BEYOND
unlike,B1
cohort,BEYOND
eukaryotic,BEYOND
clearly,A2
define,B1
enclose,BEYOND
plasma,BEYOND
involve,A2
transport,B1
internally,BEYOND
compartment,BEYOND
organelle,BEYOND
turn,A1
material,B2
critical,B2
component,B2
hold,B2
necessary,A2
growth,B1
reproduction,C1
present,A2
copy,A2
semi,BEYOND
fluid,C1
cytoplasm,BEYOND
include,A1
mitochondrion,BEYOND
produce,B2
energy,A2
survival,B2
lysosome,BEYOND
digest,BEYOND
waste,B1
endoplasmic,BEYOND
reticulum,BEYOND
apparatus,C1
synthesize,BEYOND
molecule,BEYOND
process,B2
sort,B1
direct,B1
destination,B1
depend,A2
existence,B2
gateway,BEYOND
travel,A1
protect,A2
toxic,C1
element,B1
protein,B2
lipid,BEYOND
embed,C1
channel,B1
allow,A2
pass,B1
suggest,A2
combine,B1
substance,B1
help,A1
border,B1
play,A1
important,A1
transmission,C1
signal,B1
nerve,B2
assist,B1
relay,BEYOND
pain,A2
message,A1
part,A1
brain,A2
recognition,B2
identify,A2
pathogen,BEYOND
entity,C1
immune,B2
system,A2
metabolic,BEYOND
communication,B1
host,B1
activity,A1
mainly,B1
phospholipid,BEYOND
sterol,BEYOND
usually,A1
cholesterol,BEYOND
unique,B2
layer,B1
soluble,BEYOND
region,A2
property,B1
basic,B1
building,A1
block,B1
wall,A1
specialized,C1
matrix,BEYOND
serve,A2
mechanical,B2
structural,C1
offer,A2
protection,B2
chemically,BEYOND
buffer,C1
environment,A2
act,B1
porous,BEYOND
medium,B1
leave,B2
stem,C1
storage,C1
site,A2
regulatory,C1
sense,B2
conversely,BEYOND
instead,A2
extracellular,BEYOND
inside,A2
carry,A1
myriad,BEYOND
think,A1
control,A2
centre,B1
vital,B2
datum,BEYOND
network,A2
strand,C1
call,A1
chromatin,BEYOND
deoxyribonucleic,BEYOND
acid,C1
make,B2
chromosome,BEYOND
egg,A1
sperm,BEYOND
half,A2
average,B1
micrometre,BEYOND
metre,A1
diameter,BEYOND
foot,A1
