word,level
familiar,B1
boot,A1
shape,B2
peninsula,BEYOND
storied,BEYOND
past,A2
fulcrum,BEYOND
mighty,BEYOND
empire,B2
readily,C1
recognizable,BEYOND
western,B1
european,BEYOND
country,A1
found,B2
member,A1
geography,A1
ancient,A2
history,A1
book,A2
introduce,A1
reader,A1
land,A2
people,A1
politic,BEYOND
economy,B1
culture,A1
tradition,A2
event,A1
define,B1
help,A1
captivate,BEYOND
way,B2
present,A2
manage,A2
coexist,BEYOND
seamlessly,BEYOND
expert,A2
note,B1
despite,B1
fact,A1
italian,BEYOND
long,A1
inhabit,BEYOND
civilization,B2
profound,C1
impact,B1
world,A1
proper,B1
exist,A2
kingdom,C1
unification,BEYOND
true,A1
meaningful,C1
sense,B2
create,A1
self,B2
identify,A2
single,A2
political,B1
entity,C1
rule,B1
area,A1
home,A2
loosely,BEYOND
connect,A2
city,A1
state,B1
principality,BEYOND
republic,C1
maintain,B2
shift,B1
alliance,C1
territory,B2
subject,B2
variety,A2
foreign,A2
influence,B1
foreignness,BEYOND
debatable,BEYOND
example,A1
region,A2
idea,A1
ness,BEYOND
perceive,B2
certainly,A2
newly,B2
time,B2
movement,A2
late,A1
century,A1
geographical,BEYOND
factor,A2
notably,C1
natural,A1
boundary,C1
north,A1
adriatic,BEYOND
ionian,BEYOND
tyrrhenian,BEYOND
ligurian,BEYOND
sea,A1
surround,B2
remain,B1
side,A2
encourage,B1
perception,B2
distinct,B2
tide,C1
include,A1
coming,BEYOND
going,BEYOND
tribe,B2
conqueror,BEYOND
truly,B2
map,B2
significant,B2
lasting,BEYOND
come,A1
rise,B1
begin,A1
bce,BEYOND
growth,B1
stretch,B2
heart,A2
early,A1
majority,B2
ally,C1
roman,BEYOND
year,A1
know,A1
island,A1
say,C1
actually,A2
millennium,BEYOND
ago,A1
longevity,BEYOND
give,A1
modern,A1
feel,B2
distinctive,C1
haunting,BEYOND
quality,A2
far,B1
have,A2
forget,A1
leave,B2
era,B2
bountiful,BEYOND
physical,A2
evidence,A2
presence,B2
form,A1
building,A1
artifact,BEYOND
place,B1
name,A1
language,A1
persist,C1
layer,B1
palpable,BEYOND
turn,A1
layering,BEYOND
trace,C1
establish,B2
colony,B2
coast,A2
southern,B1
collectively,BEYOND
contemporaneous,BEYOND
etruscan,BEYOND
site,A2
trade,B1
commerce,C1
contact,B1
outpost,BEYOND
greek,BEYOND
today,A1
day,A1
settle,B2
east,A1
temple,B2
god,A2
build,A1
colonize,BEYOND
rich,A1
large,A1
unfinished,BEYOND
preserve,B2
doric,BEYOND
convert,B2
church,A2
pagan,BEYOND
spread,B1
arresting,BEYOND
extremely,A2
structure,B2
date,B2
rebuild,B2
renovate,BEYOND
dominate,B2
piazza,BEYOND
massive,B2
size,A2
information,A1
chisel,BEYOND
high,B2
exterior,BEYOND
stentorian,BEYOND
announcement,B1
built,BEYOND
consulate,BEYOND
proclaim,C1
constructor,BEYOND
importance,B1
ceaselessly,BEYOND
static,BEYOND
monument,B2
like,B1
incarnation,BEYOND
close,B1
disused,BEYOND
christian,BEYOND
emperor,BEYOND
pillage,BEYOND
barbarian,BEYOND
invader,BEYOND
eventually,B1
speak,A1
passer,BEYOND
tourist,A1
walk,A1
dolphin,BEYOND
fountain,BEYOND
square,A2
enjoy,A1
slice,B1
pizza,BEYOND
sit,A1
casual,B2
juxtaposition,BEYOND
great,A1
mundane,BEYOND
remarkable,B2
aspect,B2
residential,C1
fresh,A2
air,A1
away,A1
apartment,A1
block,B1
cafe,A1
houseware,BEYOND
store,B1
suddenly,A2
aqueduct,BEYOND
arch,BEYOND
repeat,B1
field,A2
end,A1
yesterday,A1
surely,B1
daily,B1
familiarity,BEYOND
intimate,C1
relationship,A2
imagine,A1
live,B1
regard,B2
thing,A1
recently,A2
depart,B2
neighbor,BEYOND
abandon,B2
house,B2
wheelbarrow,BEYOND
yard,B1
inspire,B2
proverbial,BEYOND
contempt,C1
afford,B1
timelessness,BEYOND
public,A2
death,A2
work,A1
use,A2
fully,B2
reach,B2
combine,B1
eternal,C1
infrastructure,B2
functional,C1
old,A1
subterranean,BEYOND
restore,B2
destruction,B2
provide,A2
water,B1
famous,A1
finish,A2
feed,B2
underground,A2
conduit,BEYOND
drink,A1
similarly,B1
supply,B1
project,B2
major,A2
complicate,BEYOND
fortuitously,BEYOND
propensity,BEYOND
construction,B2
archaeological,BEYOND
dig,B2
expansion,B2
metro,BEYOND
excavation,BEYOND
prove,B1
treasure,B2
trove,BEYOND
archaeologist,BEYOND
term,B2
exposition,BEYOND
stratum,BEYOND
encompass,C1
level,B1
greco,BEYOND
byzantine,BEYOND
angevin,BEYOND
occupation,B2
expose,B2
study,A1
director,A2
dramatize,BEYOND
similar,A1
scenario,B2
film,A2
unforgettable,BEYOND
sequence,B2
subway,BEYOND
line,B2
lead,B1
precious,B2
discovery,A2
beneath,C1
pristine,BEYOND
villa,BEYOND
worker,A1
open,A1
room,A1
glimpse,C1
beautiful,A1
color,BEYOND
fresco,BEYOND
wall,A1
unseen,BEYOND
consequence,B1
action,A1
stop,A1
poignancy,BEYOND
contain,A2
lesson,A1
treat,B1
delicacy,BEYOND
utmost,BEYOND
respect,B1
conscious,B2
historic,B1
preservation,C1
luck,A2
circumstance,B2
survive,B1
item,A2
last,A2
resist,B2
dismantle,BEYOND
stunning,B2
consider,A2
lose,A1
final,A2
repeatedly,BEYOND
invade,B2
subsequent,B2
take,A1
plunder,BEYOND
reuse,BEYOND
material,B2
depose,BEYOND
see,A1
headquartering,BEYOND
pope,BEYOND
secure,B2
temporal,BEYOND
power,B2
period,A1
cohesive,BEYOND
republican,BEYOND
imperial,BEYOND
disappear,A2
devolve,BEYOND
separate,B1
govern,B2
germanic,BEYOND
ruler,A1
frankish,BEYOND
retain,B2
central,B1
defeat,B2
fortunately,A2
cultural,B1
heritage,C1
verse,C1
appreciation,C1
artistic,B2
preservationist,BEYOND
restorer,BEYOND
practice,A1
height,A2
ability,A2
witness,B2
restoration,C1
age,B1
darken,BEYOND
painstaking,BEYOND
clean,A1
painting,A1
bring,A1
original,B1
brightness,BEYOND
vibrancy,BEYOND
change,A1
scholar,B2
find,A1
revise,B1
understanding,A2
dedicated,C1
effort,B1
ensure,B2
science,A1
technology,A2
manner,A2
future,A2
engineering,B1
achievement,B1
recent,A2
decade,B1
northern,B1
small,A1
hundred,A1
inundate,BEYOND
floodwater,BEYOND
acqua,BEYOND
alta,BEYOND
occurrence,C1
increase,A2
frequency,B2
sink,B1
inch,B2
clear,B1
crisis,B2
gigantic,BEYOND
stave,BEYOND
eventual,BEYOND
submersion,BEYOND
achieve,A2
goal,A2
multifaceted,BEYOND
call,A1
acronym,BEYOND
recall,B2
part,A1
conceive,C1
protect,A2
placement,B2
numerous,B2
inflatable,BEYOND
floodgate,BEYOND
inlet,BEYOND
lagoon,BEYOND
control,A2
incoming,BEYOND
component,B2
dredging,BEYOND
silt,BEYOND
shoring,BEYOND
quay,BEYOND
flood,B1
prone,BEYOND
foundation,B2
good,A2
scientist,A1
technician,BEYOND
priceless,BEYOND
safeguard,BEYOND
unenviable,BEYOND
position,B2
assure,B2
economic,B1
longstanding,BEYOND
resign,B2
office,A1
amid,C1
charge,B1
sexual,B1
misconduct,BEYOND
corruption,C1
party,A1
loss,B1
confidence,B2
leadership,B2
struggle,B2
instability,BEYOND
sweep,B2
loom,C1
financial,B1
threaten,B2
refinance,BEYOND
national,B2
debt,B2
result,B1
turmoil,BEYOND
uncertainty,B2
disruptive,BEYOND
tarnish,BEYOND
dynamic,C1
steep,B2
show,A1
possible,A1
honour,B2
move,B1
forward,B2
resolve,B2
comprise,B2
varied,C1
scenic,BEYOND
landscape,B2
describe,A1
broad,B2
stand,B2
rugged,BEYOND
mountain,A1
point,B1
peak,C1
overlook,C1
alpine,BEYOND
lake,A2
glacier,BEYOND
carve,C1
valley,A2
run,A2
length,B1
radiate,BEYOND
tall,A1
widen,C1
near,A1
cover,B1
nearly,A2
entire,B2
width,C1
south,A1
narrow,B2
flank,BEYOND
wide,A2
coastal,C1
plain,B2
face,B1
low,B2
chain,B1
wilderness,BEYOND
host,B1
range,B1
specie,BEYOND
rarely,B1
