word,level
history,A1
english,BEYOND
literature,B1
like,B1
write,A1
novel,C1
drama,A2
event,A1
build,A1
new,A1
wave,B1
writer,A1
impact,B1
overall,B2
body,A1
work,A1
subsequent,B2
effort,B1
unexpected,B2
twist,C1
turn,A1
style,A1
subject,B2
matter,A2
rebel,C1
exist,A2
convention,B2
simply,B1
move,B1
unprecedented,C1
direction,A2
finally,A2
good,A2
story,A1
pace,B2
action,A1
accelerate,C1
time,B2
recent,A2
century,A1
represent,B1
era,B2
prolific,BEYOND
productivity,C1
creativity,B2
volume,B2
explore,B1
representative,B2
author,A2
movement,A2
beloved,C1
produce,B2
period,A1
flowering,BEYOND
poetry,B1
prose,BEYOND
continue,A2
present,A2
day,A1
reader,A1
book,A2
come,A1
away,A1
sense,B2
appreciation,C1
ongoing,B2
literary,B2
environment,A2
live,B1
modern,A1
trace,C1
emergence,C1
conquer,C1
force,B1
marketplace,C1
reign,C1
image,A2
victorian,BEYOND
dignified,BEYOND
point,B1
repression,BEYOND
mid,BEYOND
late,A1
actually,A2
tumultuous,BEYOND
british,BEYOND
rise,B1
stature,BEYOND
lead,B1
world,A1
power,B2
juxtapose,BEYOND
deepen,BEYOND
urban,B2
poverty,B1
home,A2
economic,B1
crisis,B2
democratic,B2
reform,C1
grow,A1
demand,B2
woman,A1
suffrage,BEYOND
element,B1
mark,A2
rapid,B2
wrenching,BEYOND
change,A1
scene,A2
roughly,B2
coincide,C1
beginning,A1
decade,B1
capture,B2
public,A2
imagination,B2
wide,A2
range,B1
include,A1
publish,A2
comic,B2
theme,B1
masterpiece,BEYOND
career,A1
popularity,B2
stem,C1
practice,A1
serialize,BEYOND
mean,A1
weekly,B2
monthly,B2
installment,BEYOND
approach,B2
lend,A2
gift,A2
create,A1
rich,A1
gallery,A2
intricately,BEYOND
craft,C1
character,A2
study,A1
ability,A2
combine,B1
humour,B2
unflinching,BEYOND
look,A2
life,A1
hardship,BEYOND
injustice,C1
popular,A1
enduring,BEYOND
important,A1
novelist,B2
stand,B2
particular,A2
noteworthy,BEYOND
example,A1
see,A1
publication,B2
major,A2
later,A2
prime,B2
minister,B2
sister,A1
way,B2
torch,BEYOND
pass,B1
generation,B1
early,A1
year,A1
romantic,B1
poet,B1
centre,B1
stage,B2
fine,C1
talent,B1
age,B1
express,A2
fiction,A2
start,A2
sensibility,BEYOND
translation,B1
tradition,A2
long,A1
form,A1
allow,A2
break,A1
ground,A2
view,B1
emotionally,B2
intellectually,BEYOND
great,A1
effect,A2
gothic,BEYOND
atmosphere,B1
precise,B2
detail,B2
place,B1
dialect,BEYOND
strong,A1
psychological,B2
attract,B1
keep,A1
poetic,BEYOND
alive,A2
end,A1
half,A2
steep,B2
trajectory,BEYOND
artistic,B2
growth,B1
contributor,C1
bring,A1
bear,B2
observational,BEYOND
wit,C1
deal,B1
relatively,B2
simple,A2
dilemma,C1
society,A2
romance,B2
use,A2
impeccably,BEYOND
analyze,BEYOND
deep,B1
internal,B2
ethical,B2
existential,BEYOND
complex,B1
highly,B1
realistic,B2
depiction,BEYOND
provincial,C1
setting,B1
especially,A2
striking,C1
far,B1
distinguished,BEYOND
richness,BEYOND
embrace,B2
different,A1
realism,BEYOND
battle,B1
revival,C1
mention,B1
science,A1
diverse,B2
thrive,C1
light,A2
tragic,B2
personal,A1
large,A1
scale,B2
rural,B2
embody,C1
simplicity,BEYOND
tranquility,BEYOND
lose,A1
ambivalence,BEYOND
feel,B2
passage,B2
help,A1
close,B1
natural,A1
turning,BEYOND
feeling,A1
past,A2
give,A1
calendar,BEYOND
accompany,B2
genuinely,B2
radical,C1
politic,BEYOND
technology,A2
conflict,B2
material,B2
examine,B1
toll,C1
take,A1
progress,B2
commerce,C1
culture,A1
individual,A2
react,A2
encroach,BEYOND
modernity,BEYOND
backward,BEYOND
revive,C1
traditional,A2
equal,B1
standard,B1
success,A1
wistful,BEYOND
traditionalism,BEYOND
eager,C1
know,A1
free,B2
verse,C1
unconventional,BEYOND
language,A1
experimental,C1
liberate,BEYOND
expression,A2
boundary,C1
emphasize,B2
perception,B2
uniform,A2
linear,C1
account,B1
sentiment,C1
tiresome,BEYOND
insightful,BEYOND
mode,B2
need,B1
intertwine,BEYOND
significantly,B2
american,BEYOND
irish,BEYOND
prominent,C1
figure,B2
tremendous,C1
influence,B1
development,B1
stream,B2
consciousness,C1
relate,B1
inner,B2
observation,B2
fantasy,B2
process,B2
suggest,A2
certain,A2
universal,B2
bury,B1
beneath,C1
restriction,B2
echo,C1
hand,B1
somewhat,B2
curious,B2
structural,C1
linguistic,BEYOND
freedom,B2
idealized,BEYOND
vision,B2
native,B1
sympathy,B2
nationalism,BEYOND
touch,B1
historic,B1
ideal,B2
independent,A2
violence,B2
nationalist,BEYOND
maturity,BEYOND
recognition,B2
version,B1
myth,B2
self,B2
awareness,B2
add,A1
poignancy,BEYOND
primarily,B2
community,A2
artist,A1
group,A1
ethic,B2
pursuit,B2
honesty,B2
antidote,BEYOND
stifling,BEYOND
hypocrisy,BEYOND
parent,A1
class,A1
tension,B2
post,A1
fore,BEYOND
generational,BEYOND
heavily,B1
associate,B2
contemporary,B2
moral,B2
outdated,BEYOND
establish,B2
demonstrate,B2
arc,BEYOND
outward,BEYOND
flow,B1
war,A2
tone,B2
reflect,B1
pessimism,BEYOND
find,A1
depression,B2
head,B1
second,A2
global,B1
sexual,B1
decline,B2
vitality,BEYOND
increase,A2
frankness,BEYOND
starkness,BEYOND
voice,A2
ultimately,B2
established,BEYOND
well,C1
sum,B2
challenge,B1
search,A2
response,A2
midst,C1
destruction,B2
constructive,BEYOND
despair,BEYOND
thoughtful,C1
religion,B1
shadow,B2
totalitarianism,BEYOND
loom,C1
notable,C1
concise,BEYOND
compact,BEYOND
symbol,A2
allegory,BEYOND
shorthand,BEYOND
expedite,BEYOND
storytelling,BEYOND
counterpoint,BEYOND
parable,BEYOND
brutally,BEYOND
detailed,B2
direct,B1
art,A1
subsequently,B2
swing,C1
opposite,A1
epic,BEYOND
colonial,C1
dismantling,BEYOND
empire,B2
twentieth,BEYOND
stylistic,BEYOND
pendulum,BEYOND
characterize,C1
school,A1
favour,B1
grand,B2
statement,A1
flamboyant,BEYOND
contrast,B1
typically,B1
exhibit,B2
understated,BEYOND
autobiographical,BEYOND
common,A1
theatre,A1
comfortable,A2
conventional,B2
mold,BEYOND
play,A1
simmer,BEYOND
raw,B2
emotion,B1
revolt,BEYOND
deconstruction,BEYOND
varied,C1
sparsely,BEYOND
populated,BEYOND
witty,BEYOND
dead,A2
