word,level
period,A1
expand,B1
knowledge,A2
alongside,B2
resurgence,BEYOND
interest,A1
classical,A2
learning,A2
new,A1
idea,A1
science,A1
religion,B1
art,A1
flourish,C1
spread,B1
humanism,BEYOND
focus,A2
human,A2
value,B1
steer,C1
prevail,C1
thought,A2
nature,A2
individual,A2
empirical,C1
musician,A2
develop,A2
variety,A2
musical,B1
form,A1
respect,B1
traditional,A2
mode,B2
expression,A2
book,A2
detail,B2
reflect,B1
degree,A2
rapidly,B2
change,A1
world,A1
western,B1
music,A1
influence,B1
eastern,B1
number,A2
way,B2
include,A1
widespread,B2
adoption,C1
diatonic,BEYOND
seven,A1
note,B1
scale,B2
replace,A2
prevailing,BEYOND
church,A2
commonly,B2
use,A2
metre,A1
means,B2
divide,B1
composition,C1
equal,B1
portion,B2
time,B2
basic,B1
structural,C1
element,B1
vehicle,A2
evolution,B2
dispersion,BEYOND
regional,B2
style,A1
chant,BEYOND
unison,BEYOND
song,A1
sing,A1
mass,B2
gregorian,BEYOND
standard,B1
originate,C1
late,A1
century,A1
liturgical,BEYOND
adopt,B2
year,A1
modify,B2
addition,B1
melodic,BEYOND
line,B2
polyphony,BEYOND
simultaneous,BEYOND
contrapuntal,BEYOND
document,B2
work,A1
monk,C1
theorist,BEYOND
caption,BEYOND
hand,B1
colour,A1
illustration,B2
early,A1
edition,B2
german,BEYOND
encyclopedist,BEYOND
main,A1
thrust,BEYOND
innovation,B2
shift,B1
place,B1
cathedral,BEYOND
feature,B1
multiple,B2
melody,C1
wove,BEYOND
play,A1
plainsong,BEYOND
compose,B2
later,A2
secular,C1
direction,A2
french,BEYOND
composer,B2
write,A1
harmony,C1
label,B1
come,A1
apply,A2
foreshadow,BEYOND
roughly,B2
forward,B2
royal,B1
shape,B2
proportion,B2
crème,BEYOND
european,BEYOND
draw,A1
burgundian,BEYOND
court,B1
attract,B1
wealth,B2
aristocracy,BEYOND
promise,A2
find,A1
religious,B1
realm,C1
improvisational,BEYOND
see,A1
centre,B1
voice,A2
low,B2
part,A1
instrument,A2
noble,C1
travel,A1
perform,A2
call,A1
troubadour,BEYOND
collection,B1
performer,BEYOND
innovative,B2
chord,BEYOND
progression,BEYOND
remain,B1
demand,B2
evolve,B2
secularization,BEYOND
encourage,B1
development,B1
vocal,C1
reinvent,BEYOND
madrigal,BEYOND
dramatic,B2
fiveor,BEYOND
harmonic,BEYOND
piece,A1
complex,B1
text,A2
counterpoint,BEYOND
independent,A2
complement,C1
enrich,C1
simple,A2
canzonetta,BEYOND
balletto,BEYOND
emerge,B2
response,A2
complexity,C1
counterpart,C1
know,A1
chanson,BEYOND
elizabethan,BEYOND
italian,BEYOND
champion,B1
popular,A1
ayre,BEYOND
spring,B1
country,A1
home,A2
lied,BEYOND
straightforward,C1
spanish,BEYOND
villancico,BEYOND
match,A1
stylistic,BEYOND
importance,B1
primarily,B2
serve,A2
double,B1
accompany,B2
dancer,A1
specifically,B1
explode,B1
popularity,B2
dance,A1
pavane,BEYOND
courante,BEYOND
prelude,BEYOND
particularly,B1
organ,B2
fugue,BEYOND
like,B1
imitate,BEYOND
ricercari,BEYOND
canzoni,BEYOND
long,A1
relegate,BEYOND
role,A2
mere,C1
accompaniment,BEYOND
instrumentalist,BEYOND
begin,A1
showcase,BEYOND
technical,B1
skill,A1
lute,BEYOND
particular,A2
enjoy,A1
string,B1
vary,B2
settle,B2
pluck,BEYOND
finger,A2
sound,C1
carry,A1
hole,A2
reverberate,BEYOND
hollow,B2
pear,A1
shaped,B2
body,A1
modified,BEYOND
tuning,BEYOND
produce,B2
large,A1
assortment,BEYOND
variation,B2
keyboard,B1
favour,B1
renaissance,BEYOND
pipe,B1
staple,BEYOND
day,A1
region,A2
result,B1
great,A1
stop,A1
manual,BEYOND
control,A2
chromatic,BEYOND
clavichord,BEYOND
harpsichord,BEYOND
design,A1
small,A1
venue,B2
allow,A2
player,A1
dynamic,C1
solely,C1
keystroke,BEYOND
typically,B1
rectangular,BEYOND
left,A1
right,A1
range,B1
half,A2
octave,BEYOND
outwardly,BEYOND
resemble,C1
modern,A1
piano,A1
despite,B1
frequent,B2
presence,B2
set,B1
unlike,B1
hammer,BEYOND
make,B2
mechanism,B2
jack,BEYOND
version,B1
spinet,BEYOND
refer,A2
type,B1
upright,BEYOND
virginal,BEYOND
single,A2
run,A2
nearly,A2
parallel,B2
perpendicular,BEYOND
arrangement,A2
wind,B2
relatively,B2
limited,B2
increase,A2
instrumental,C1
ensemble,BEYOND
necessity,B2
size,A2
recorder,BEYOND
cornet,BEYOND
colourfully,BEYOND
name,A1
device,A2
shawm,BEYOND
sackbut,BEYOND
crumhorn,BEYOND
hoboy,BEYOND
oboe,BEYOND
craftsman,BEYOND
refine,BEYOND
respond,A2
need,B1
pioneer,C1
rich,A1
layered,BEYOND
previously,B1
unknown,B2
describe,A1
graceful,BEYOND
expressive,BEYOND
group,A1
franco,BEYOND
flemish,BEYOND
school,A1
mark,A2
transition,B2
monophonic,BEYOND
patronage,BEYOND
man,A1
provide,A2
nobility,BEYOND
different,A1
point,B1
life,A1
impressive,B1
lot,A1
hail,C1
area,A1
contribute,B2
instrumentation,BEYOND
employ,A2
king,A2
career,A1
singer,A1
mastery,BEYOND
praise,B2
theologian,BEYOND
reformer,BEYOND
attach,B1
common,A1
service,A2
aristocrat,BEYOND
keep,A1
company,A1
poet,B1
painter,A2
comingling,BEYOND
artistic,B2
sensibility,BEYOND
frequently,B1
yield,C1
regard,B2
innovator,BEYOND
exert,C1
poetry,B1
contemporary,B2
assume,B2
geographic,BEYOND
connection,B1
papacy,BEYOND
predominantly,C1
sacred,C1
humanist,BEYOND
prize,A2
ability,A2
mood,B1
unresolved,BEYOND
dissonance,BEYOND
effect,A2
intriguing,C1
personal,A1
threaten,B2
overshadow,BEYOND
prince,B1
murder,B1
wife,A1
lover,BEYOND
second,A2
claim,B1
witchcraft,BEYOND
create,A1
unusual,A2
experimental,C1
choirboy,BEYOND
exceptionally,BEYOND
fine,C1
kidnap,C1
press,B1
choir,B2
separate,B1
occasion,B1
adulthood,BEYOND
adept,BEYOND
help,A1
earn,A2
rank,B2
grant,B2
high,B2
pontifical,BEYOND
honour,B2
inspiration,C1
unconventional,BEYOND
circumstance,B2
leave,B2
drama,A2
theatre,A1
door,A1
occasionally,B2
stage,B2
master,B2
operatic,BEYOND
score,A2
attempt,B2
emotion,B1
exhibit,B2
onstage,BEYOND
tempo,BEYOND
experimentation,BEYOND
recitative,BEYOND
free,B2
rhythm,B2
natural,A1
speech,A2
burgeon,BEYOND
opera,B2
feel,B2
today,A1
extremely,A2
important,A1
dedicate,BEYOND
nobleman,BEYOND
elder,BEYOND
financing,BEYOND
completion,B2
possible,A1
succeed,A2
lack,B1
privilege,C1
hold,B2
nonmusical,BEYOND
position,B2
bishop,C1
native,B1
receive,A2
support,A2
publish,A2
swiss,BEYOND
endure,C1
essentially,B2
amount,B2
unemployment,B1
death,A2
patron,C1
able,A2
regain,C1
status,B2
affiliation,BEYOND
crucial,B2
division,B2
productivity,C1
greatly,B2
influential,C1
adhere,C1
dictate,C1
decree,BEYOND
syllable,BEYOND
take,A1
mantle,BEYOND
leadership,B2
creation,B2
setting,B1
liturgy,BEYOND
analogous,BEYOND
latin,BEYOND
roman,BEYOND
pupil,B2
political,B1
climate,A2
convince,B1
conversion,C1
responsible,B1
loss,B1
post,A1
lutenist,BEYOND
self,B2
exile,C1
abroad,A2
prove,B1
useful,A1
incorporate,B2
glean,BEYOND
solo,C1
plenty,B1
benefit,B1
mingling,BEYOND
residence,C1
location,B1
evidence,A2
exposure,B2
culture,A1
characteristic,B2
age,B1
bridge,A2
lead,B1
medieval,C1
hard,A1
imagine,A1
study,A1
gain,B2
clear,B1
understanding,A2
transplant,BEYOND
return,A1
legion,BEYOND
inevitably,B2
local,B1
taste,A2
tradition,A2
case,A2
practice,A1
intersection,BEYOND
model,B2
example,A1
displace,C1
structure,B2
grecian,BEYOND
system,A2
consequence,B1
concept,B2
series,A2
duration,B2
emphasis,B2
determine,B1
accent,B2
stress,A2
inventory,BEYOND
heritage,C1
ancient,A2
reveal,B2
treasure,B2
inherit,B2
acoustical,BEYOND
theory,B1
account,B1
identification,C1
classification,C1
tone,B2
tonal,BEYOND
organization,A2
principle,B2
rhythmic,BEYOND
construction,B2
notation,BEYOND
convey,B2
necessary,A2
indication,B2
pitch,B2
repertory,BEYOND
decline,B2
institution,B2
destine,BEYOND
perpetuate,BEYOND
antiquity,BEYOND
unified,BEYOND
process,B2
cultural,B1
distinctive,C1
share,B1
hebrew,BEYOND
greek,BEYOND
metrical,BEYOND
hymnody,BEYOND
distinguish,B2
unmetred,BEYOND
psalmody,BEYOND
cultivate,C1
codify,BEYOND
grow,A1
milanese,BEYOND
