word,level
hear,A1
faint,BEYOND
bell,B1
think,A1
cow,A1
neck,A2
bother,B1
turn,A1
plus,B1
kilometer,BEYOND
number,A2
care,A2
come,A1
rest,A2
stop,A1
find,A1
shady,BEYOND
spot,B1
couple,A2
minute,C1
exhausted,BEYOND
declare,B2
officially,BEYOND
tired,A1
young,B1
man,A1
push,B1
old,A1
ice,A1
cream,B1
cart,BEYOND
wipe,C1
sweat,BEYOND
brow,BEYOND
ting,BEYOND
ring,B1
pause,B2
momentarily,BEYOND
look,A2
want,A1
buy,A1
bro,BEYOND
walking,BEYOND
pilgrimage,BEYOND
eat,A1
tell,A1
nod,C1
keep,A1
later,A2
start,A2
walk,A1
stand,B2
wonder,B1
time,B2
moment,A1
inspiration,C1
feel,B2
incredibly,B1
heroic,BEYOND
end,A1
say,C1
yeah,A1
way,B2
weak,A2
fortunately,A2
unfortunately,A2
remind,B1
feeling,A1
test,A1
anxious,B2
jump,A2
crazy,A2
ride,A2
big,A1
pump,C1
knock,B1
fear,B1
laziness,BEYOND
sudden,B1
forget,A1
busted,BEYOND
knee,A2
hurt,B2
toe,B1
thirsty,A1
throat,B1
instead,A2
remember,A1
tennis,A1
playing,BEYOND
day,A1
dig,B2
deep,B1
extra,B1
juice,A1
reiterate,BEYOND
line,B2
mantra,BEYOND
gush,BEYOND
energy,A2
pass,B1
fast,A1
pretty,A1
soon,A1
early,A1
visualize,BEYOND
nice,A1
cold,A1
indianized,BEYOND
vanilla,BEYOND
top,C1
fruity,BEYOND
sugar,A1
syrup,BEYOND
parched,BEYOND
tongue,B1
heaven,B2
sweet,A2
tooth,A1
especially,A2
hot,A1
long,A1
sense,B2
get,A1
good,A2
right,A1
ready,A1
cross,A2
road,A1
quizzically,BEYOND
explain,A1
heavy,A2
allow,A2
little,A2
break,A1
know,A1
let,A1
hand,B1
chat,A2
kid,A2
live,B1
nearby,B2
village,A1
move,B1
everyday,A2
hour,A1
manage,A2
rupee,BEYOND
middle,A2
exchange,B1
personal,A1
life,A1
information,A1
pop,C1
weird,B2
question,A2
like,B1
generally,B1
ask,A1
buddy,C1
customer,A1
eagerly,BEYOND
lot,A1
mango,A1
chocobar,BEYOND
today,A1
catch,B2
guard,B1
ummm,BEYOND
mumble,BEYOND
rearrange,BEYOND
cap,B1
head,B1
small,A1
great,A1
joy,B2
brother,A1
ahead,B1
grab,B2
favorite,BEYOND
convince,B1
argument,A2
open,A1
refrigerated,BEYOND
compartment,BEYOND
pick,B2
absolute,B2
raspberry,BEYOND
wide,A2
smile,A2
face,B1
slurp,BEYOND
away,A1
simple,A2
act,B1
conversation,A1
spiritual,B2
hold,B2
busy,A1
try,B2
melt,B2
casually,BEYOND
place,B1
coin,B1
pray,B1
point,B1
blank,A2
squarely,BEYOND
eye,A1
yes,A1
single,A2
silently,BEYOND
connect,A2
experience,B1
tree,A1
leave,B2
physical,A2
complaint,B1
fantasy,B2
fall,A2
ground,A2
intersection,BEYOND
left,A1
depart,B2
jingle,BEYOND
sound,C1
happy,A1
alive,A2
father,A1
telephone,A1
neighborhood,BEYOND
polished,BEYOND
case,A2
fasten,B1
wall,A1
shiny,B1
receiver,B2
hang,B1
box,A1
reach,B2
listen,A1
fascination,BEYOND
mother,A1
talk,A2
discover,A2
inside,A2
wonderful,A1
device,A2
amazing,A1
person,A1
supply,B1
anybody,A2
correct,A1
genie,BEYOND
bottle,A1
visit,A1
neighbor,BEYOND
amuse,BEYOND
tool,A2
bench,C1
basement,B2
whack,BEYOND
finger,A2
hammer,BEYOND
pain,A2
terrible,A1
reason,A1
cry,B2
home,A2
sympathy,B2
house,B2
suck,C1
throb,BEYOND
finally,A2
arrive,A1
stairway,BEYOND
quickly,A1
run,A2
footstool,BEYOND
parlour,BEYOND
drag,B2
landing,B2
climb,B1
unhook,BEYOND
ear,A1
mouthpiece,BEYOND
click,B1
clear,B1
voice,A2
speak,A1
wail,BEYOND
phone,A1
tear,B2
readily,C1
audience,A2
blubber,BEYOND
bleed,C1
reply,A2
hit,A2
icebox,BEYOND
chip,A2
piece,A1
call,A1
help,A1
geography,A1
math,BEYOND
pet,A2
chipmunk,BEYOND
park,A1
fruit,A1
nut,A2
canary,BEYOND
die,A1
sad,A1
story,A1
usual,A2
thing,A1
grown,BEYOND
up,A1
soothe,BEYOND
child,A1
unconsoled,BEYOND
bird,A1
sing,A1
beautifully,BEYOND
bring,A1
