word,level
introduction,A2
practice,A1
medicine,A2
science,A1
art,A1
prevent,A2
alleviate,BEYOND
cure,B2
disease,A2
ancient,A2
profession,B1
healer,BEYOND
vary,B2
degree,A2
knowledge,A2
skill,A1
long,A1
seek,B2
restore,B2
health,A1
relieve,B2
distress,C1
sick,A1
injure,B1
historically,BEYOND
mean,A1
little,A2
offer,A2
sympathy,B2
patient,B2
nature,A2
take,A1
course,A1
today,A1
practitioner,C1
millennium,BEYOND
medical,A2
advance,B2
base,B1
care,A2
vast,B2
majority,B2
product,A1
scientific,B1
discovery,A2
astronomy,BEYOND
physics,A2
application,B1
systematic,C1
study,A1
accurate,B2
recording,A2
natural,A1
fact,A1
revolutionize,BEYOND
uptake,BEYOND
initially,B2
slow,B1
place,B1
realm,C1
supernatural,BEYOND
cause,A2
greek,BEYOND
physician,C1
live,B1
century,A1
bce,BEYOND
writing,A1
greatly,B2
influence,B1
philosopher,C1
literate,BEYOND
educate,B1
individual,A2
apply,A2
number,A2
result,B1
remain,B1
largely,B2
precedent,C1
treatment,B1
root,B2
folklore,BEYOND
magic,B1
follow,A1
western,B1
firmly,B2
ground,A2
anatomical,BEYOND
physiological,BEYOND
revelation,C1
period,A1
owe,B2
detailed,B2
work,A1
correct,A1
historical,B1
error,A2
description,A1
human,A2
anatomy,BEYOND
provide,A2
complete,A1
circulation,C1
blood,A2
body,A1
surgery,B2
understanding,A2
process,B2
ensue,C1
tool,A2
aid,B2
prevention,C1
diagnosis,C1
discover,A2
develop,A2
paramount,BEYOND
vaccination,BEYOND
demonstrate,B2
convincingly,BEYOND
end,A1
english,BEYOND
surgeon,B2
successfully,B1
inoculate,BEYOND
young,B1
boy,A1
smallpox,BEYOND
early,A1
following,B1
french,BEYOND
invent,A2
stethoscope,BEYOND
listen,A1
sound,C1
produce,B2
caption,BEYOND
show,A1
page,A1
diagram,B1
organ,B2
seven,A1
publish,A2
pharmaceutical,BEYOND
introduce,A1
include,A1
painkiller,BEYOND
morphine,BEYOND
anesthetic,BEYOND
ether,BEYOND
chloroform,BEYOND
british,BEYOND
carbolic,BEYOND
acid,C1
means,B2
protect,A2
infection,B2
open,A1
way,B2
antiseptic,BEYOND
breakthrough,C1
help,A1
verify,C1
germ,BEYOND
theory,B1
propose,B2
micro,BEYOND
organism,BEYOND
certain,A2
basis,B1
continue,A2
expand,B1
particular,A2
importance,B1
cell,B2
biology,A2
genetic,B2
biomedical,BEYOND
engineering,B1
improve,A1
scientist,A1
come,A1
major,A2
progress,B2
therapeutic,BEYOND
improvement,B1
worldwide,B1
highly,B1
structured,BEYOND
enable,B2
efficiently,B2
meet,A1
need,B1
promote,B1
population,A2
impact,B1
mortality,BEYOND
decrease,B2
significantly,B2
estimate,B2
death,A2
occur,B1
people,A1
year,A1
rate,B2
reader,A1
learn,A1
cutting,C1
edge,B1
technological,B2
development,B1
chapter,B1
branch,B1
specialty,BEYOND
define,B1
modern,A1
insight,B2
management,B1
special,A1
section,A1
epidemiology,BEYOND
pharmacology,BEYOND
explore,B1
