word,level
scarcely,BEYOND
know,A1
begin,A1
facetiously,BEYOND
place,B1
cause,A2
credit,B2
keep,A1
summer,A1
cottage,B1
shadow,B2
occupy,B2
loaf,BEYOND
winter,A1
month,A1
read,A1
rest,A2
brain,A2
come,A1
elect,B2
sweat,BEYOND
hot,A1
dusty,BEYOND
existence,B2
city,A1
toil,BEYOND
incessantly,BEYOND
custom,B1
run,A2
afternoon,A1
stop,A1
till,B1
morning,A1
particular,A2
find,A1
afloat,BEYOND
safe,A2
craft,C1
new,A1
ferry,BEYOND
steamer,BEYOND
make,B2
fourth,A1
fifth,A1
trip,B2
danger,A2
lie,B1
heavy,A2
fog,BEYOND
blanket,B2
bay,C1
landsman,BEYOND
little,A2
apprehension,BEYOND
fact,A1
remember,A1
placid,BEYOND
exaltation,BEYOND
take,A1
position,B2
forward,B2
upper,B2
deck,B2
directly,B1
beneath,C1
pilot,A2
house,B2
allow,A2
mystery,B1
lay,B1
hold,B2
imagination,B2
fresh,A2
breeze,BEYOND
blow,B2
time,B2
moist,BEYOND
obscurity,BEYOND
dimly,BEYOND
conscious,B2
presence,B2
captain,B1
glass,A1
head,B1
think,A1
comfortable,A2
division,B2
labour,B2
unnecessary,B1
study,A1
wind,B2
tide,C1
navigation,B2
order,A1
visit,A1
friend,A1
live,B1
arm,C1
sea,A1
good,A2
man,A1
specialist,B2
muse,BEYOND
peculiar,C1
knowledge,A2
suffice,BEYOND
thousand,A1
people,A1
hand,B1
instead,A2
have,A2
devote,B2
energy,A2
learning,A2
multitude,BEYOND
thing,A1
concentrate,B1
instance,B2
analysis,B1
american,BEYOND
literature,B1
essay,A2
way,B2
current,B1
aboard,BEYOND
pass,B1
cabin,B2
notice,A2
greedy,BEYOND
eye,A1
stout,BEYOND
gentleman,B1
open,A1
special,A1
permit,B2
carry,A1
safely,BEYOND
red,A1
faced,BEYOND
slam,C1
door,A1
stump,BEYOND
interrupt,B2
reflection,C1
mental,B1
note,B1
topic,A1
use,A2
project,B2
call,A1
freedom,B2
plea,C1
artist,A1
shoot,C1
glance,C1
gaze,C1
evidently,BEYOND
artificial,B2
leg,A1
stand,B2
wide,A2
apart,B1
expression,A2
keen,B1
enjoyment,BEYOND
face,B1
wrong,B1
decide,A1
day,A1
spend,A1
nasty,B2
weather,A1
like,B1
turn,A1
grey,A1
say,C1
nod,C1
strain,C1
answer,A1
simple,A2
direction,A2
compass,BEYOND
distance,A2
speed,B2
mathematical,C1
certainty,B2
snort,BEYOND
brace,BEYOND
lean,B2
backward,BEYOND
air,A1
stare,B2
rushin,BEYOND
demand,B2
bellow,BEYOND
fast,A1
ebbin,BEYOND
drift,C1
listen,A1
bell,B1
buoy,BEYOND
alterin,BEYOND
course,A1
mournful,BEYOND
tolling,BEYOND
wheel,A2
great,A1
rapidity,BEYOND
straight,A2
ahead,B1
sound,C1
whistle,BEYOND
hoarsely,BEYOND
boat,A1
sort,B1
comer,BEYOND
indicate,B1
right,A1
hear,A1
mouth,A1
scow,BEYOND
schooner,BEYOND
likely,A2
well,C1
watch,A1
hell,B2
poppin,BEYOND
somebody,A1
unseen,BEYOND
blast,C1
horn,C1
toot,BEYOND
terror,B2
stricken,BEYOND
fashion,A2
payin,BEYOND
respect,B1
tryin,BEYOND
clear,B1
go,B1
hurried,BEYOND
whistling,BEYOND
cease,C1
shine,B1
