word,level
telephone,A1
prove,B1
fast,A1
personal,A1
way,B2
people,A1
connect,A2
separate,B1
distance,A2
information,A1
take,A1
week,A1
convey,B2
second,A2
advance,B2
technology,A2
open,A1
avenue,BEYOND
electronic,A2
communication,B1
breakthrough,C1
explain,A1
detail,B2
composition,C1
intricate,BEYOND
operation,B1
instrument,A2
illustrate,B2
phone,A1
change,A1
time,B2
text,A2
reader,A1
history,A1
point,B1
possible,A1
future,A2
application,B1
comprehensive,B2
study,A1
begin,A1
understanding,A2
work,A1
device,A2
direct,B1
current,B1
power,B2
source,A2
supply,B1
local,B1
company,A1
switch,B1
office,A1
circuit,B2
call,A1
loop,C1
cordless,BEYOND
exception,B2
draw,A1
internal,B2
battery,B1
hook,C1
disconnect,BEYOND
dialer,BEYOND
transmit,B2
pulse,C1
dual,C1
tone,B2
signal,B1
indicate,B1
number,A2
ringer,BEYOND
ready,A1
announce,B1
incoming,BEYOND
transmitter,BEYOND
convert,B2
sound,C1
vibration,BEYOND
electric,A2
receive,A2
end,A1
line,B2
receiver,B2
opposite,A1
translate,B1
audible,BEYOND
mimic,BEYOND
speech,A2
anti,BEYOND
sidetone,BEYOND
prevent,A2
user,A2
voice,A2
go,B1
experimental,C1
iteration,BEYOND
operate,B2
come,A1
fruition,BEYOND
century,A1
inventor,BEYOND
search,A2
long,A1
create,A1
conceive,C1
similar,A1
electrical,A2
metal,A2
diaphragm,BEYOND
reproduce,C1
build,A1
model,B2
day,A1
patent,C1
win,B1
caveat,BEYOND
sort,B1
prelude,BEYOND
official,B1
duplicate,BEYOND
human,A2
hurdle,BEYOND
overcome,B2
design,A1
successful,A2
pair,A1
rod,C1
acidic,BEYOND
solution,A2
move,B1
relation,B1
activate,B2
wave,B1
cause,A2
liquid,B1
enable,B2
message,A1
assistant,A2
send,A1
decade,B1
later,A2
invent,A2
refined,BEYOND
granulated,BEYOND
charcoal,BEYOND
nearly,A2
year,A1
individual,A2
network,A2
main,A1
function,B1
switching,BEYOND
signaling,BEYOND
transmitting,BEYOND
refer,A2
connection,B1
directly,B1
station,A1
handle,B2
numerous,B2
early,A1
use,A2
manually,BEYOND
operator,B2
exchange,B1
physically,BEYOND
plug,C1
ended,BEYOND
cord,BEYOND
appropriate,B2
jack,BEYOND
transfer,B2
require,B1
increase,A2
installation,B2
lead,B1
automated,BEYOND
system,A2
crossbar,BEYOND
instal,BEYOND
replace,A2
double,B1
capability,C1
digital,A2
multiplexe,BEYOND
space,A1
division,B2
greatly,B2
capacity,B2
outfit,B2
single,A2
button,A2
alert,C1
rotary,BEYOND
dialing,BEYOND
standard,B1
dial,BEYOND
place,B1
caller,BEYOND
turn,A1
set,B1
digit,BEYOND
return,A1
original,B1
position,B2
code,A2
desire,B2
push,B1
touch,B1
new,A1
efficient,B2
offer,A2
additional,B2
pound,A1
star,A2
automate,BEYOND
answer,A1
today,A1
transmission,C1
course,A1
wire,B2
pole,C1
like,B1
telegraph,BEYOND
setup,BEYOND
soon,A1
lack,B1
need,B1
high,B2
frequency,B2
form,A1
material,B2
copper,C1
improve,A1
problem,A1
remain,B1
interference,C1
cross,A2
talk,A2
eliminate,B2
simply,B1
twist,C1
interval,B2
attenuation,BEYOND
weakening,BEYOND
simple,A2
solve,A2
particularly,B1
pertain,BEYOND
amplification,BEYOND
vacuum,C1
tube,B1
effective,B1
expensive,A1
multiple,B2
allow,A2
expand,B1
exponentially,BEYOND
conversion,C1
analog,BEYOND
multiplexing,BEYOND
technique,B1
speed,B2
quality,A2
coaxial,BEYOND
cable,B2
shortly,B2
join,A1
microwave,BEYOND
link,A2
overseas,B2
radio,A1
quickly,A1
undersea,BEYOND
fibre,C1
optic,BEYOND
great,A1
bandwidth,BEYOND
reliability,C1
low,B2
cost,A1
satellite,B2
think,A1
promising,B2
inferior,BEYOND
support,A2
data,A2
service,A2
reliable,B1
sampling,BEYOND
range,B1
determine,B1
quantize,BEYOND
evenly,BEYOND
complete,A1
modify,B2
accuracy,B2
encoding,BEYOND
reduce,A2
redundancy,BEYOND
bit,A2
little,A2
modulation,BEYOND
step,B2
process,B2
carrier,BEYOND
modulate,BEYOND
manner,A2
travel,A1
efficiently,B2
accurately,B2
occur,B1
amplitude,BEYOND
shift,B1
keying,BEYOND
one,A1
zero,A2
binary,BEYOND
alternate,BEYOND
different,A1
phase,B2
assign,B2
oppose,B2
polarity,BEYOND
advanced,B1
method,A2
apply,A2
cellular,BEYOND
combine,B1
share,B1
key,B1
large,A1
world,A1
give,A1
moment,A1
specific,A2
group,A1
guard,B1
band,A1
know,A1
scanner,BEYOND
select,B2
sequential,BEYOND
slot,C1
datum,BEYOND
interleave,BEYOND
composite,BEYOND
reassemble,BEYOND
interruption,BEYOND
notice,A2
crackle,BEYOND
thing,A1
past,A2
extremely,A2
complex,B1
image,A2
fax,BEYOND
machine,A1
word,A1
phonetic,BEYOND
shortening,BEYOND
facsimile,BEYOND
mean,A1
exact,A2
copy,A2
replica,BEYOND
scan,B1
print,B2
document,B2
pick,B2
contrast,B1
light,A2
dark,A2
reverse,C1
produce,B2
paper,A1
old,A1
special,A1
thermal,BEYOND
xerographic,BEYOND
computer,A1
printout,BEYOND
cylinder,BEYOND
conductive,BEYOND
stylus,BEYOND
write,A1
tinfoil,BEYOND
photo,A1
german,BEYOND
newspaper,A1
regularly,B1
photograph,A2
news,A1
outlet,C1
purpose,A2
meet,A1
minimum,B2
conform,BEYOND
modem,BEYOND
get,A1
term,B2
demodulate,BEYOND
video,A1
voiceband,BEYOND
modulating,BEYOND
discuss,A1
previously,B1
regard,B2
half,A2
modern,A1
entirely,B2
