word,level
forest,A2
sight,B1
fire,B1
sweep,B2
furiously,BEYOND
frightening,B1
spectacular,B2
call,A1
wildfire,BEYOND
devastating,BEYOND
event,A1
intense,B2
heat,A2
burn,B2
leave,B2
branch,B1
crisp,BEYOND
make,B2
explode,B1
roar,BEYOND
crackle,BEYOND
flame,B2
giant,B1
leap,C1
hundred,A1
foot,A1
air,A1
column,A2
thick,A2
black,A1
smoke,A2
big,A1
spin,C1
tornado,BEYOND
create,A1
rapidly,B2
rise,B1
fiery,BEYOND
path,B1
start,A2
tiny,B1
spark,C1
vegetation,BEYOND
dry,A2
quickly,A1
grow,A1
inferno,BEYOND
spread,B1
direction,A2
damage,B1
kill,A2
tree,A1
incinerate,BEYOND
plant,A2
floor,A1
root,B2
underground,A2
building,A1
way,B2
unfortunate,B2
people,A1
animal,A1
trap,B2
fast,A1
move,B1
go,B1
charred,BEYOND
wasteland,BEYOND
firefighter,B2
attempt,B2
instead,A2
try,B2
stop,A1
allow,A2
rage,C1
coniferous,BEYOND
happen,A1
place,B1
hot,A1
summer,A1
weather,A1
dense,C1
drought,B2
catch,B2
easily,A2
affect,A2
deciduous,BEYOND
grassland,BEYOND
scrub,BEYOND
brush,A2
accidentally,B2
naturally,B1
lightning,BEYOND
scientist,A1
cut,B1
slice,B1
sequoia,BEYOND
ring,B1
tell,A1
past,A2
natural,A1
cycle,A2
history,A1
layer,B1
charcoal,BEYOND
rock,C1
million,A1
year,A1
ago,A1
blacken,BEYOND
old,A1
regular,A2
damaging,C1
bad,A1
news,A1
clear,B1
new,A1
one,A1
regrowth,BEYOND
fact,A1
specie,BEYOND
survive,B1
investigate,B1
combat,C1
need,B1
understand,A1
exactly,A2
glow,BEYOND
red,A1
material,B2
normally,A2
produce,B2
burning,BEYOND
chemical,B1
reaction,B1
oxygen,B2
gas,A2
combustion,BEYOND
triangle,BEYOND
thing,A1
fuel,B1
use,A2
heating,B1
car,A1
find,A1
page,A1
provide,A2
come,A1
supply,B1
diagram,B1
know,A1
element,B1
side,A2
continue,A2
matter,A2
wood,A2
substance,B1
include,A1
cellulose,BEYOND
lignin,BEYOND
begin,A1
break,A1
flammable,BEYOND
