word,level
introduction,A2
broadly,B2
planet,A2
define,B1
relatively,B2
large,A1
natural,A1
body,A1
revolve,BEYOND
orbit,BEYOND
star,A2
radiate,BEYOND
energy,A2
internal,B2
nuclear,B1
fusion,BEYOND
reaction,B1
addition,B1
description,A1
scientist,A1
impose,B2
additional,B2
constraint,C1
characteristic,B2
size,A2
object,B2
mile,A1
little,A2
know,A1
asteroid,BEYOND
shape,B2
squeeze,C1
gravity,C1
sphere,C1
roughly,B2
depend,A2
density,C1
mass,B2
insufficient,C1
core,B2
experience,B1
temporary,B2
term,B2
apply,A2
solar,B2
system,A2
charge,B1
scientific,B1
community,A2
classify,B2
astronomical,BEYOND
list,A1
order,A1
increase,A2
distance,A2
divide,B1
group,A1
inner,B2
lie,B1
belt,A2
outer,B2
dense,C1
rocky,BEYOND
small,A1
typical,A2
call,A1
terrestrial,BEYOND
like,B1
caption,BEYOND
illustration,B2
show,A1
approximate,BEYOND
relative,B1
left,A1
noticeably,BEYOND
average,B1
range,B1
gram,BEYOND
cubic,BEYOND
set,B1
apart,B1
giant,B1
close,B1
water,B1
composition,C1
significantly,B2
different,A1
dissimilarity,BEYOND
think,A1
attributable,BEYOND
condition,A2
prevail,C1
early,A1
development,B1
surface,B1
satellite,B2
extensive,B2
cratering,BEYOND
produce,B2
high,B2
speed,B2
impact,B1
quantity,A2
active,A2
atmosphere,B1
cosmic,BEYOND
footprint,BEYOND
erode,BEYOND
remnant,BEYOND
crater,BEYOND
see,A1
aerial,BEYOND
spacecraft,BEYOND
photograph,A2
absence,C1
significant,B2
leave,B2
unchanged,BEYOND
billion,A2
year,A1
disturbance,BEYOND
infrequent,BEYOND
later,A2
volcanic,BEYOND
activity,A1
important,A1
force,B1
shaping,BEYOND
learn,A1
lot,A1
neighbor,BEYOND
mercury,BEYOND
hot,A1
retain,B2
brilliant,A2
white,A1
appearance,A2
result,B1
completely,A2
envelop,BEYOND
thick,A2
cloud,A2
carbon,B2
dioxide,BEYOND
impenetrable,BEYOND
visible,B2
wavelength,BEYOND
upper,B2
hostile,C1
contain,A2
sulfuric,BEYOND
acid,C1
droplet,BEYOND
cover,B1
shield,BEYOND
direct,B1
sunlight,BEYOND
filter,C1
warm,B1
infrared,BEYOND
long,A1
radiation,B2
trap,B2
efficient,B2
greenhouse,B2
effect,A2
keep,A1
temperature,A2
near,A1
radar,C1
penetrate,BEYOND
venusian,BEYOND
map,B2
contrast,B1
thin,A2
compose,B2
percent,BEYOND
vapour,BEYOND
pressure,B1
largely,B2
light,A2
gas,A2
mainly,B1
hydrogen,C1
helium,BEYOND
similar,A1
way,B2
give,A1
great,A1
opportunity,A2
study,A1
nature,A2
origin,B2
feature,B1
difficult,A1
view,B1
rise,B1
hour,A1
observer,B2
twilight,BEYOND
horizon,C1
difficulty,B1
notwithstanding,BEYOND
sumerian,BEYOND
time,B2
ago,A1
classical,A2
appear,A2
morning,A1
sunrise,BEYOND
greek,BEYOND
equivalent,B2
roman,BEYOND
god,A2
evening,A1
sunset,BEYOND
swift,BEYOND
messenger,BEYOND
likely,A2
reference,B1
rapid,B2
motion,B2
sky,A2
recent,A2
era,B2
pass,B1
entire,B2
lifetime,B2
repute,BEYOND
heliocentric,BEYOND
model,B2
heaven,B2
century,A1
explain,A1
proximity,BEYOND
express,A2
deathbed,BEYOND
regret,B2
eye,A1
probe,C1
understand,A1
shortage,B2
information,A1
basic,B1
question,A2
unsettled,BEYOND
length,B1
day,A1
determine,B1
nearness,BEYOND
bind,C1
observational,BEYOND
hurdle,BEYOND
overcome,B2
launch,B2
fly,A2
past,A2
twice,A1
settle,B2
crash,B2
exploit,B2
confirm,B1
prediction,B1
relativity,BEYOND
theory,B1
affect,A2
space,A1
glance,C1
look,A2
cratered,BEYOND
terrain,C1
impression,B1
reinforce,B2
comparable,C1
far,B1
have,A2
metallic,BEYOND
take,A1
volume,B2
compare,A1
difference,A1
lunar,BEYOND
include,A1
lack,B1
massive,B2
dark,A2
coloured,B1
lava,BEYOND
flow,B1
maria,BEYOND
presence,B2
buckle,BEYOND
scarp,BEYOND
suggest,A2
shrink,C1
extreme,B2
respect,B1
orbital,BEYOND
million,A1
short,A1
revolution,B2
period,A1
receive,A2
intense,B2
radius,BEYOND
major,A2
moon,A2
unusually,BEYOND
mean,A1
compress,BEYOND
correct,A1
self,B2
compression,BEYOND
nearly,A2
third,A2
iron,B1
extend,B2
centre,B1
shell,B1
crust,BEYOND
underlie,BEYOND
mantle,BEYOND
challenge,B1
observe,B2
hide,A2
dusk,BEYOND
get,A1
angular,BEYOND
successive,C1
elongation,BEYOND
return,A1
point,B1
synodic,BEYOND
turbulent,BEYOND
blur,BEYOND
observatory,BEYOND
restrict,B2
sensitivity,C1
instrument,A2
require,B1
occasionally,B2
directly,B1
event,A1
telescopically,BEYOND
black,A1
dot,B2
cross,A2
bright,A2
disk,BEYOND
transit,C1
occur,B1
dozen,B2
present,A2
locate,B1
deep,B1
field,A2
deal,B1
need,B1
trajectory,BEYOND
land,A2
visit,A1
brief,B2
flyby,BEYOND
develop,A2
subsequent,B2
mission,B2
spaceflight,BEYOND
engineer,A2
calculate,B2
complex,B1
route,A2
make,B2
use,A2
assist,B1
repeat,B1
course,A1
design,A1
conduct,B2
observation,B2
moderate,C1
planetary,BEYOND
enter,A2
elongated,BEYOND
investigation,B2
heat,A2
reradiate,BEYOND
designer,A2
cool,B1
operate,B2
rotation,C1
inclined,C1
tilt,BEYOND
ecliptic,BEYOND
plane,A1
eccentric,BEYOND
perihelion,BEYOND
farth,BEYOND
aphelion,BEYOND
sidereal,BEYOND
cause,A2
drift,C1
slowly,A2
westward,BEYOND
combine,B1
mercurian,BEYOND
circuit,B2
face,B1
composite,BEYOND
separate,B1
image,A2
ultraviolet,BEYOND
interval,B2
seven,A1
minute,C1
describe,A1
law,A2
travel,A1
