word,level
dead,A2
man,A1
stamp,A2
die,A1
hard,A1
advocate,C1
extraordinary,B2
king,A2
say,C1
poor,A1
error,A2
jest,BEYOND
archdeacon,BEYOND
repeat,B1
condemn,C1
girl,A1
fact,A1
know,A1
believe,A1
count,B1
doubt,B1
devoutly,BEYOND
hope,A2
favorable,BEYOND
news,A1
rival,B2
woman,A1
love,A1
place,B1
wound,B2
physician,C1
soldier,A2
watch,A1
carry,A1
moment,A1
fear,B1
life,A1
space,A1
week,A1
tell,A1
youth,B1
gain,B2
upper,B2
hand,B1
frequently,B1
happen,A1
spite,B2
prognostication,BEYOND
diagnosis,C1
nature,A2
amuse,BEYOND
save,A2
sick,A1
nose,A1
lie,B1
leech,BEYOND
pallet,BEYOND
submit,B2
interrogation,BEYOND
official,B1
inquisitor,BEYOND
annoy,B1
greatly,B2
fine,C1
morning,A1
feel,B2
well,C1
leave,B2
golden,B2
spur,BEYOND
payment,B1
slip,B2
away,A1
interfere,C1
progress,B2
affair,B2
justice,B2
epoch,BEYOND
trouble,B2
little,A2
clearness,BEYOND
definiteness,BEYOND
criminal,B1
suit,B1
provide,A2
accuse,B2
hang,B1
necessary,A2
judge,B1
plenty,B1
proof,B2
suppose,A2
end,A1
matter,A2
flee,C1
far,B1
simply,B1
rejoin,BEYOND
company,A1
garrison,BEYOND
stage,B2
appear,A2
vague,C1
feeling,A1
play,A1
ridiculous,B2
figure,B2
think,A1
superstitious,BEYOND
give,A1
devoutness,BEYOND
like,B1
come,A1
question,A2
adventure,A2
assured,BEYOND
goat,A1
singular,BEYOND
fashion,A2
meet,A1
strange,A2
manner,A2
allow,A2
divine,C1
character,A2
gypsy,BEYOND
lastly,BEYOND
surly,BEYOND
monk,C1
perceive,B2
incident,B2
magic,B1
probably,A1
sorceress,BEYOND
devil,C1
comedy,A2
short,A1
speak,A1
language,A1
day,A1
disagreeable,BEYOND
mystery,B1
awkward,B2
role,A2
blow,B2
derision,BEYOND
captain,B1
countenance,BEYOND
experience,B1
sort,B1
shame,B2
admirably,BEYOND
define,B1
ashame,BEYOND
fox,BEYOND
catch,B2
fowl,BEYOND
noise,A2
abroad,A2
hardly,B1
pronounce,A2
case,A2
court,B1
mistaken,BEYOND
des,BEYOND
pass,B1
counterfeiter,BEYOND
boil,A2
witch,BEYOND
heretic,BEYOND
burn,B2
innumerable,BEYOND
people,A1
accustomed,BEYOND
see,A1
square,A2
ancient,A2
feudal,BEYOND
bare,C1
armed,B2
sleeve,BEYOND
strip,C1
perform,A2
duty,B1
gibbet,BEYOND
ladder,B2
pillory,BEYOND
pay,A2
heed,BEYOND
fashionable,B1
society,A2
victim,B1
corner,A2
street,A1
populace,BEYOND
regale,BEYOND
coarse,BEYOND
fare,B2
execution,C1
habitual,BEYOND
public,A2
highway,B2
braising,BEYOND
pan,B1
baker,BEYOND
slaughter,BEYOND
house,B2
knacker,BEYOND
executioner,BEYOND
butcher,BEYOND
deep,B1
dye,BEYOND
rest,A2
mind,A2
soon,A1
ease,C1
score,A2
enchantress,BEYOND
call,A1
concern,B2
dagger,BEYOND
issue,B1
trial,B2
heart,A2
vacant,BEYOND
direction,A2
return,A1
physics,A2
abhor,BEYOND
vacuum,C1
insipid,BEYOND
stay,A2
village,A1
farrier,BEYOND
cow,A1
chapped,BEYOND
long,A1
line,B2
dwelling,BEYOND
thatched,BEYOND
cottage,B1
border,B1
grand,B2
road,A1
side,A2
half,A2
league,B2
tail,B1
queue,B1
import,B1
passion,B1
pretty,A1
charming,B2
dowry,BEYOND
accordingly,C1
cure,B2
assume,B2
lapse,BEYOND
month,A1
bohemian,BEYOND
completely,A2
finish,A2
forget,A1
amorous,BEYOND
cavalier,BEYOND
arrive,A1
prance,BEYOND
horse,A1
door,A1
mansion,BEYOND
attention,A2
tolerably,BEYOND
numerous,B2
rabble,BEYOND
assemble,C1
portal,BEYOND
remember,A1
procession,BEYOND
festival,A1
hitch,BEYOND
ring,B1
gayly,BEYOND
ascend,BEYOND
stair,A2
beautiful,A1
betrothed,BEYOND
mother,A1
scene,A2
curse,BEYOND
alphabet,A1
absence,C1
weigh,B1
behold,BEYOND
enter,A2
handsome,BEYOND
doublet,BEYOND
new,A1
baldrick,BEYOND
shining,BEYOND
air,A1
impassioned,BEYOND
blush,BEYOND
pleasure,B1
noble,C1
damsel,BEYOND
magnificent,B2
blond,BEYOND
hair,A1
plait,BEYOND
ravishing,BEYOND
dress,A1
entirely,B2
sky,A2
blue,A1
fair,A2
bit,A2
coquetry,BEYOND
learn,A1
eye,A1
swim,B1
languor,BEYOND
beauty,B1
maid,BEYOND
intoxicate,BEYOND
impart,BEYOND
officer,A2
eager,C1
gallant,BEYOND
peace,A2
immediately,A2
maternally,BEYOND
seat,B2
big,A1
arm,C1
chair,B2
scold,BEYOND
reproach,BEYOND
expire,C1
tender,C1
cooing,BEYOND
young,B1
near,A1
window,A1
embroider,BEYOND
grotto,BEYOND
lean,B2
address,B2
caress,BEYOND
low,B2
voice,A2
wicked,BEYOND
swear,B2
reply,A2
somewhat,B2
embarrassed,B1
set,B1
archbishop,BEYOND
repress,BEYOND
smile,A2
good,A2
sir,A2
let,A1
answer,A1
dear,A2
cousin,A1
recall,B2
delight,B2
help,A1
avoid,A2
second,A2
close,B1
monsieur,BEYOND
single,A2
seriously,B1
alarm,B1
child,A1
upset,B1
frightened,B1
carelessly,BEYOND
quarrel,BEYOND
sword,C1
cut,B1
exclaim,BEYOND
raise,A2
fill,A1
tear,B2
wish,A2
falling,BEYOND
lieutenant,BEYOND
rip,C1
open,A1
inch,B2
skin,A2
mendacious,BEYOND
perfectly,B1
aware,B1
honor,BEYOND
make,B2
stand,B2
look,A2
face,B1
agitated,BEYOND
admiration,BEYOND
reassure,C1
wholly,C1
villanous,BEYOND
arise,B2
imagination,B2
endow,BEYOND
mediocre,BEYOND
power,B2
creation,B2
begin,A1
find,A1
quandary,BEYOND
means,B2
extricate,BEYOND
prowess,BEYOND
mere,C1
remark,B2
sake,C1
change,A1
conversation,A1
approach,B2
penance,BEYOND
church,A2
thoroughly,B2
persuade,B1
conclude,B1
disturb,B2
word,A1
ask,A1
shrug,C1
white,A1
shoulder,A2
mon,BEYOND
dieu,BEYOND
nowadays,B2
dare,B2
name,A1
seek,B2
cloud,A2
tranquil,BEYOND
keep,A1
venerable,BEYOND
dame,BEYOND
rise,B1
right,A1
great,A1
roof,A2
bless,C1
remind,B1
entrance,B1
year,A1
produce,B2
effect,A2
old,A1
crowd,A2
present,A2
machicolation,BEYOND
queen,A2
pillion,BEYOND
highness,BEYOND
lady,A2
mount,B2
lord,B2
laugh,A1
loudly,A2
stature,BEYOND
ride,A2
chevalier,BEYOND
gigantic,BEYOND
size,A2
kill,A2
heap,BEYOND
gentleman,B1
oriflammes,BEYOND
wave,B1
red,A1
pennon,BEYOND
banner,C1
ample,BEYOND
alas,BEYOND
sad,A1
thing,A1
exist,A2
lover,BEYOND
listen,A1
dowager,BEYOND
post,A1
libertine,BEYOND
glance,C1
plunge,C1
opening,B2
gorget,BEYOND
gape,BEYOND
conveniently,BEYOND
exquisite,BEYOND
dazzle,BEYOND
gleam,BEYOND
satin,BEYOND
silent,B1
sweet,A2
enraptured,BEYOND
time,B2
mingle,BEYOND
ray,C1
spring,B1
sunshine,BEYOND
suddenly,A2
marry,A2
passionate,B2
aid,B2
sincere,B2
tone,B2
convince,B1
charm,C1
betroth,BEYOND
pair,A1
term,B2
perfect,A1
understanding,A2
quit,B1
apartment,A1
attend,A2
domestic,B2
observe,B2
embolden,BEYOND
adventurous,BEYOND
idea,A1
brain,A2
taste,A2
awaken,BEYOND
fresh,A2
ness,BEYOND
ardor,BEYOND
harm,B2
wheat,B2
blade,C1
certain,A2
alarmed,BEYOND
expression,A2
round,B2
uneasy,BEYOND
warm,B1
midday,BEYOND
sun,A1
troublesome,BEYOND
need,B1
lower,B2
contrary,C1
fawn,BEYOND
breath,B1
pack,B1
hound,BEYOND
run,A2
rush,B2
balcony,BEYOND
discomfited,BEYOND
follow,A1
reader,A1
sinister,BEYOND
spectacle,C1
cause,A2
fright,BEYOND
timid,BEYOND
immense,C1
overflow,BEYOND
neighbor,BEYOND
encumber,BEYOND
properly,B1
wall,A1
breast,B2
high,B2
surround,B2
suffice,BEYOND
free,B2
thick,A2
hedge,BEYOND
sergeant,BEYOND
hackbuteer,BEYOND
culverine,BEYOND
thank,A1
thicket,BEYOND
pike,BEYOND
arquebus,BEYOND
guard,B1
force,B1
halberdier,BEYOND
armorial,BEYOND
