word,level
clean,A1
inexhaustible,BEYOND
source,A2
energy,A2
harness,BEYOND
produce,B2
power,B2
historically,BEYOND
wind,B2
form,A1
windmill,BEYOND
century,A1
task,A2
grind,C1
grain,B1
pump,C1
water,B1
today,A1
sophisticated,B2
machine,A1
know,A1
turbine,BEYOND
part,A1
world,A1
convert,B2
kinetic,BEYOND
electric,A2
farm,A2
western,B1
long,A1
history,A1
grow,A1
importance,B1
alternative,B1
modern,A1
commercial,B1
electricity,A2
rotational,BEYOND
drive,A2
generator,BEYOND
blade,C1
rotor,BEYOND
enclosure,BEYOND
call,A1
nacelle,BEYOND
contain,A2
train,A2
atop,BEYOND
tall,A1
tower,A2
large,A1
megawatt,BEYOND
length,B1
foot,A1
meter,BEYOND
place,B1
small,A1
provide,A2
individual,A2
home,A2
area,A1
number,A2
group,A1
total,C1
resource,B1
calculate,B2
base,B1
average,B1
speed,B2
distribution,B2
value,B1
occur,B1
particular,A2
class,A1
range,B1
equivalent,B2
density,C1
watt,BEYOND
square,A2
mean,A1
mile,A1
hour,A1
second,A2
height,A2
ground,A2
suitable,B1
utility,C1
scale,B2
generation,B1
site,A2
find,A1
substantial,C1
region,A2
offshore,BEYOND
location,B1
term,B2
typically,B1
refer,A2
conversion,C1
milling,BEYOND
pumping,BEYOND
describe,A1
coal,B1
oil,A2
nuclear,B1
reaction,B1
fossil,B2
fuel,B1
natural,A1
gas,A2
available,A2
limited,B2
supply,B1
run,A2
day,A1
add,A1
carbon,B2
dioxide,BEYOND
atmosphere,B1
burn,B2
scientist,A1
believe,A1
contribute,B2
global,B1
warming,B2
pollutant,BEYOND
monoxide,BEYOND
nitrogen,BEYOND
unlike,B1
renewable,BEYOND
deplete,BEYOND
benefit,B1
virtually,BEYOND
pollution,A2
free,B2
challenge,B1
implementation,C1
include,A1
siting,BEYOND
requirement,B2
availability,C1
aesthetic,C1
environmental,B1
concern,B2
land,A2
public,A2
advocacy,BEYOND
raise,A2
potential,B2
disruption,C1
wildlife,B2
overall,B2
example,A1
blame,B2
injure,B1
kill,A2
bird,A1
expert,A2
show,A1
effect,A2
population,A2
familiar,B1
element,B1
weather,A1
pretty,A1
experience,B1
people,A1
define,B1
cause,A2
simply,B1
movement,A2
air,A1
surface,B1
local,B1
gentle,B1
breeze,BEYOND
rage,C1
hurricane,B1
difference,A1
temperature,A2
rotation,C1
unequal,BEYOND
heating,B1
continent,A2
ocean,A2
simple,A2
sea,A1
sun,A1
heat,A2
differently,A2
lake,A2
consume,B1
evaporation,BEYOND
absorb,B2
tenth,BEYOND
tend,B1
receive,A2
warm,B1
cool,B1
rise,B1
descend,C1
night,A1
heated,BEYOND
expand,B1
light,A2
start,A2
soon,A1
sunrise,BEYOND
rapidly,B2
remain,B1
dense,C1
heavy,A2
pressure,B1
near,A1
great,A1
extra,B1
flow,B1
landward,BEYOND
push,B1
way,B2
opposite,A1
action,A1
time,B2
reverse,C1
blow,B2
change,A1
mountain,A1
slope,B2
valley,A2
circulation,C1
similar,A1
mountainside,BEYOND
head,B1
low,B2
level,B1
atmospheric,BEYOND
general,A2
earth,A2
bring,A1
uneven,BEYOND
high,B2
map,B2
plain,B2
label,B1
notion,B2
make,B2
decrease,B2
contrary,C1
compress,BEYOND
tire,BEYOND
cork,BEYOND
bottle,A1
increase,A2
case,A2
close,B1
container,B1
cubic,BEYOND
point,B1
depend,A2
weight,A2
cold,A1
common,A1
type,B1
isobar,BEYOND
line,B2
constant,B2
front,A1
naturally,B1
upward,BEYOND
float,B2
force,B1
surround,B2
thing,A1
updraft,BEYOND
strictly,B2
speak,A1
incoming,BEYOND
side,A2
mass,B2
outward,BEYOND
center,BEYOND
planetary,BEYOND
see,A1
worldwide,B1
response,A2
variation,B2
vast,B2
unit,A2
cell,B2
northern,B1
mirror,A2
latitude,BEYOND
equator,BEYOND
hot,A1
tropic,BEYOND
pole,C1
move,B1
arise,B2
important,A1
different,A1
polar,BEYOND
year,A1
intensely,BEYOND
tropical,B2
zone,BEYOND
extend,B2
continuous,B1
keep,A1
continually,C1
north,A1
south,A1
current,B1
middle,A2
belt,A2
little,A2
ascend,BEYOND
moisture,BEYOND
condense,BEYOND
drench,BEYOND
shower,A1
sail,B1
vessel,C1
becalm,BEYOND
week,A1
prompt,B2
sailor,B1
doldrum,BEYOND
stem,C1
old,A1
word,A1
dull,B2
stupid,A2
proof,B2
reason,A1
masse,BEYOND
face,B1
like,B1
constantly,B2
wear,A1
rock,C1
scoop,BEYOND
canyon,BEYOND
powerful,B1
blast,C1
carry,A1
away,A1
sand,B1
soil,B1
erosion,BEYOND
bury,B1
fertile,BEYOND
bear,B2
lay,B1
rich,A1
deposit,C1
waterwheel,BEYOND
widely,B2
nineteenth,BEYOND
course,A1
supplant,BEYOND
steam,B2
engine,A2
tap,B2
mount,B2
rotate,C1
shaft,BEYOND
angle,B2
give,A1
slight,B2
twist,C1
divide,B1
component,B2
plane,A1
impart,BEYOND
continue,A2
rural,B2
practically,BEYOND
disappear,A2
twentieth,BEYOND
internal,B2
combustion,BEYOND
reliable,B1
usually,A1
expensive,A1
late,A1
come,A1
use,A2
annular,BEYOND
sailed,BEYOND
style,A1
american,BEYOND
particularly,B1
early,A1
reference,B1
persian,BEYOND
millwright,BEYOND
horizontal,BEYOND
mill,C1
radiate,BEYOND
vertical,B2
axis,BEYOND
stand,B2
fix,B2
building,A1
opening,B2
inlet,BEYOND
outlet,C1
diametrically,BEYOND
single,A2
pair,A1
stone,A2
directly,B1
gear,C1
design,A1
derive,B2
take,A1
prisoner,B1
send,A1
instruct,C1
irrigation,BEYOND
last,A2
post,A1
plantation,BEYOND
originally,B1
locate,B1
roman,BEYOND
right,A1
boxlike,BEYOND
body,A1
gearing,BEYOND
millstone,BEYOND
machinery,C1
support,A2
wooden,A2
sockete,BEYOND
beam,C1
floor,A1
turn,A1
development,B1
movable,BEYOND
cap,B1
track,B2
curb,BEYOND
illustration,B2
date,B2
build,A1
settler,B2
work,A1
efficiently,B2
squarely,BEYOND
turning,BEYOND
hand,B1
tailpole,BEYOND
stretch,B2
invent,A2
automatic,B2
fantail,BEYOND
consist,B1
set,B1
vane,BEYOND
ladder,B2
connect,A2
wheel,A2
veer,BEYOND
strike,B2
fit,C1
rack,BEYOND
axle,BEYOND
windshaft,BEYOND
incline,BEYOND
frame,B1
sailcloth,BEYOND
spread,B1
individually,BEYOND
rest,A2
flat,A2
direction,A2
later,A2
airplane,BEYOND
propeller,BEYOND
spring,B1
substitute,C1
hinged,BEYOND
shutter,BEYOND
venetian,BEYOND
blind,B2
control,A2
bar,B2
adjust,B2
accord,BEYOND
require,B1
limit,B1
self,B2
regulate,B2
feature,B1
patent,C1
utilize,C1
roller,BEYOND
instead,A2
devise,C1
remote,B1
enable,B2
simultaneously,C1
combine,B1
hinge,BEYOND
chain,B1
rod,C1
pass,B1
hole,A2
drill,BEYOND
operation,B1
comparable,C1
operate,B2
umbrella,A1
vary,B2
hang,B1
image,A2
install,B2
unusual,A2
generate,B2
arouse,BEYOND
interest,A1
twin,A2
steel,B2
adopt,B2
idea,A1
gain,B2
airfoil,BEYOND
aircraft,B2
designer,A2
manufacturer,BEYOND
begin,A1
replace,A2
broad,B2
slender,BEYOND
erect,C1
experimental,C1
construct,B2
fashioned,BEYOND
adapt,B2
rekindle,BEYOND
crisis,B2
initial,B2
cost,A1
intermittent,BEYOND
maintenance,C1
prevent,A2
significant,B2
factor,A2
production,B1
commonly,B2
lead,B1
adoption,C1
inefficient,BEYOND
cheap,B1
radially,BEYOND
governing,BEYOND
overspeeding,BEYOND
avoid,A2
reduce,A2
effective,B1
typical,A2
deliver,B1
gallon,C1
liter,BEYOND
minute,C1
velocity,BEYOND
well,C1
wide,A2
extract,C1
appropriate,B2
device,A2
primary,B1
application,B1
system,A2
possess,B2
attach,B1
vawt,BEYOND
able,A2
transformation,C1
transform,B2
mechanical,B2
electrical,A2
metal,A2
governor,B2
maintain,B2
bladed,BEYOND
kilowatt,BEYOND
recently,A2
big,A1
develop,A2
equip,B2
measure,B1
diameter,BEYOND
instal,BEYOND
output,B2
rate,B2
recent,A2
island,A1
rating,B2
kind,B1
new,A1
finnish,BEYOND
engineer,A2
semicircular,BEYOND
section,A1
drum,B1
cut,B1
half,A2
weld,BEYOND
offset,BEYOND
open,A1
advanced,B1
version,B1
curved,B2
arch,BEYOND
french,BEYOND
twisted,BEYOND
strip,C1
tie,A2
bow,C1
food,A1
mixer,BEYOND
aluminum,BEYOND
variety,A2
external,B2
motor,B2
model,B2
construction,B2
limitation,B2
finite,BEYOND
leave,B2
blading,BEYOND
maximum,B2
efficiency,C1
capture,B2
obtainable,BEYOND
percent,BEYOND
actual,B2
portion,B2
currently,B1
roughly,B2
tip,B1
drop,B1
cube,BEYOND
theoretical,C1
match,A1
million,A1
central,B1
station,A1
couple,A2
need,B1
steady,B2
apparent,B2
play,A1
major,A2
role,A2
meet,A1
demand,B2
industrialize,BEYOND
nation,B1
cluster,C1
nearly,A2
prevalent,BEYOND
generally,B1
comprise,B2
capacity,B2
exceed,B2
entire,B2
feed,B2
network,A2
seemingly,C1
amount,B2
valuable,B1
climate,A2
favorable,BEYOND
slightly,B1
dramatically,B2
petroleum,BEYOND
environment,A2
follow,A1
percentage,B1
industry,A2
estimate,B2
feasibly,BEYOND
cent,A1
fact,A1
hydropower,BEYOND
state,B1
acre,C1
hectare,BEYOND
advantage,A2
disadvantage,B1
offer,A2
readily,C1
lot,A1
space,A1
resistance,C1
resident,B2
beginning,A1
suggest,A2
prove,B1
reserve,B2
negative,B2
consequence,B1
fueled,BEYOND
plant,A2
emit,BEYOND
sulfur,BEYOND
particulate,BEYOND
matter,A2
oxide,BEYOND
toxic,C1
chemical,B1
mercury,BEYOND
chromium,BEYOND
arsenic,BEYOND
mobile,A2
vehicle,A2
exposure,B2
heart,A2
disease,A2
asthma,BEYOND
human,A2
health,A1
problem,A1
addition,B1
emission,B2
responsible,B1
acid,C1
rain,A1
acidification,BEYOND
consequent,BEYOND
damage,B1
aquatic,BEYOND
life,A1
leaf,B1
forest,A2
smog,BEYOND
urban,B2
furthermore,B2
burning,BEYOND
release,B1
main,A1
greenhouse,B2
country,A1
dependence,C1
basic,B1
formation,B2
shine,B1
behavior,BEYOND
go,B1
cease,C1
exist,A2
inconvenient,BEYOND
product,A1
deal,B1
downside,BEYOND
consistent,B2
strong,A1
necessarily,B1
transmit,B2
consumer,B1
inconsistent,BEYOND
store,B1
necessary,A2
relate,B1
impact,B1
associate,B2
noise,A2
visual,B2
disturbance,BEYOND
equipment,A2
gearbox,BEYOND
aerodynamic,BEYOND
dampen,BEYOND
alter,B2
swish,BEYOND
sound,C1
decibel,BEYOND
loud,A2
travel,A1
car,A1
nighttime,BEYOND
background,A2
involve,A2
flicker,BEYOND
reflect,B1
spin,C1
pocket,A2
electromagnetic,BEYOND
interference,C1
affect,A2
television,A1
radio,A1
signal,B1
proximity,BEYOND
somewhat,B2
grid,C1
placement,B2
perception,B2
return,A1
investment,B2
controversy,B2
project,B2
coast,A2
approve,B2
federal,B2
review,A2
draw,A1
opposition,B2
scenic,BEYOND
vista,BEYOND
tourist,A1
destination,B1
regulatory,C1
announce,B1
approval,B2
issue,B1
ultimately,B2
venture,C1
help,A1
gauge,BEYOND
photograph,A2
prepare,A1
modify,B2
appearance,A2
distance,A2
shoreline,BEYOND
notable,C1
majority,B2
have,A2
focus,A2
conservation,B2
strongly,B1
favor,BEYOND
appropriately,B2
minimize,C1
migrate,BEYOND
habitat,B2
flock,BEYOND
eurasian,BEYOND
crane,BEYOND
fly,A2
past,A2
friendly,A1
bat,C1
report,A2
exact,A2
fatality,BEYOND
unknown,B2
migration,C1
mating,BEYOND
migratory,BEYOND
tree,A1
discuss,A1
research,A2
biologist,BEYOND
period,A1
gradual,BEYOND
cooling,BEYOND
existence,B2
result,B1
volcanic,BEYOND
eruption,BEYOND
attribute,C1
primarily,B2
certain,A2
industrial,B2
activity,A1
trap,B2
process,B2
