word,level
introduction,A2
massive,B2
pyramid,BEYOND
famous,A1
mummy,BEYOND
mysterious,B2
tomb,BEYOND
fascinating,B1
element,B1
celebrated,BEYOND
civilization,B2
history,A1
ancient,A2
establish,B2
bank,B1
year,A1
ago,A1
early,A1
nomad,BEYOND
find,A1
river,A1
valley,A2
offer,A2
need,B1
prosper,BEYOND
build,A1
community,A2
people,A1
flourish,C1
writing,A1
religion,B1
leave,B2
legacy,C1
future,A2
admire,B1
copy,A2
credit,B2
make,B2
paper,A1
create,A1
know,A1
solar,B2
calendar,BEYOND
refine,BEYOND
scientific,B1
mathematical,C1
agricultural,C1
technique,B1
develop,A2
irrigation,BEYOND
system,A2
government,A2
last,A2
superpower,BEYOND
time,B2
nonetheless,C1
like,B1
giant,B1
world,A1
eventually,B1
perish,BEYOND
climate,A2
corruption,C1
foreign,A2
invader,BEYOND
play,A1
demise,BEYOND
notable,C1
society,A2
achievement,B1
continue,A2
capture,B2
imagination,B2
inspire,B2
art,A1
science,A1
day,A1
carve,C1
bce,BEYOND
stand,B2
complex,B1
recognizable,BEYOND
symbol,A2
measure,B1
foot,A1
meter,BEYOND
length,B1
height,A2
follow,A1
explore,B1
settlement,C1
discover,A2
set,B1
standard,B1
aspect,B2
visit,A1
exciting,A1
moment,A1
egyptian,BEYOND
touch,B1
pharaoh,BEYOND
finally,A2
look,A2
immeasurable,BEYOND
mark,A2
culture,A1
today,A1
chapter,B1
hunter,BEYOND
gatherer,BEYOND
roam,BEYOND
northeastern,BEYOND
swampy,BEYOND
plateau,BEYOND
overgrow,BEYOND
tree,A1
rush,B2
papyrus,BEYOND
narrow,B2
home,A2
long,A1
hot,A1
dry,A2
harsh,C1
desert,B2
condition,A2
mile,A1
kilometer,BEYOND
oasis,BEYOND
drinking,BEYOND
water,B1
food,A1
transportation,B2
believe,A1
gateway,BEYOND
afterlife,BEYOND
dependency,BEYOND
physical,A2
spiritual,B2
reflect,B1
verse,C1
hymn,BEYOND
hail,C1
thee,BEYOND
manifest,C1
thyself,BEYOND
land,A2
come,A1
life,A1
nomadic,BEYOND
village,A1
town,A1
riverbank,BEYOND
millennium,BEYOND
origin,B2
antiquity,BEYOND
important,A1
rise,B1
south,A1
equator,BEYOND
flow,B1
northward,BEYOND
drain,C1
agriculture,B2
habit,A2
order,A1
control,A2
invent,A2
round,B2
send,A1
short,A1
canal,B2
nearby,B2
field,A2
ongoing,B2
watering,BEYOND
farmer,A1
plant,A2
seed,B1
grain,B1
measuring,BEYOND
allow,A2
crop,B2
wheat,B2
barley,BEYOND
ingredient,B1
staple,BEYOND
bread,A1
soup,A1
beer,A1
domesticate,BEYOND
horned,BEYOND
cattle,C1
sheep,A1
goat,A1
goose,BEYOND
animal,A1
provide,A2
supply,B1
labor,BEYOND
plow,BEYOND
carry,A1
heavy,A2
load,B2
percent,BEYOND
total,C1
area,A1
aid,B2
cultivation,BEYOND
produce,B2
use,A2
practice,A1
date,B2
artisan,BEYOND
skilled,B2
resource,B1
clothing,A2
craft,C1
good,A2
lightly,BEYOND
hut,BEYOND
later,A2
mud,B1
brick,B2
sophisticated,B2
wood,A2
frame,B1
door,A1
small,A1
window,A1
floor,A1
straw,BEYOND
matting,BEYOND
painting,A1
decorate,B1
wall,A1
scarce,BEYOND
import,B1
furniture,A2
sculpt,BEYOND
clay,BEYOND
pottery,BEYOND
ivory,BEYOND
ornament,BEYOND
cut,B1
stone,A2
religious,B1
figurine,BEYOND
spin,C1
wove,BEYOND
flax,BEYOND
white,A1
linen,BEYOND
style,A1
dress,A1
help,A1
cool,B1
scorch,BEYOND
men,BEYOND
wear,A1
skirt,A1
woman,A1
straight,A2
ankle,A2
paperworker,BEYOND
gather,B1
reed,BEYOND
marsh,BEYOND
pale,B1
yellow,A1
weaver,BEYOND
basket,B2
mat,A1
rope,B1
sandal,BEYOND
metalworker,BEYOND
metal,A2
precious,B2
fashion,A2
jewelry,BEYOND
dish,A1
tool,A2
weapon,B1
artistry,BEYOND
rich,A1
finding,B2
archaeologist,BEYOND
paint,A1
jar,BEYOND
demonstrate,B2
significantly,B2
boat,A1
maker,BEYOND
vessel,C1
sail,B1
trade,B1
sign,A2
identification,C1
signature,B2
egyptologist,BEYOND
study,A1
act,B1
fact,A1
preserve,B2
generation,B1
great,A1
insight,B2
lifestyle,A2
kingdom,C1
reliable,B1
increase,A2
population,A2
contribute,B2
development,B1
political,B1
leader,A2
plan,A1
workload,BEYOND
direct,B1
workforce,B2
grow,A1
large,A1
organize,A2
north,A1
broad,B2
delta,BEYOND
triangular,BEYOND
piece,A1
temple,B2
carving,BEYOND
dynasty,BEYOND
depict,C1
crown,C1
left,A1
right,A1
capital,A1
city,A1
king,A2
plenty,B1
successful,A2
structure,B2
natural,A1
barrier,B2
protect,A2
enemy,B1
sea,A1
east,A1
west,A1
free,B2
new,A1
interest,A1
language,A1
exploration,B2
predict,A2
flooding,BEYOND
cycle,A2
want,A1
determine,B1
ideal,B2
planting,BEYOND
season,A2
approximately,B1
consist,B1
record,A2
month,A1
additional,B2
add,A1
end,A1
well,C1
align,C1
sun,A1
movement,A2
divide,B1
inundation,BEYOND
winter,A1
recede,BEYOND
summer,A1
harvest,C1
possible,A1
high,B2
yield,C1
annual,B2
feature,B1
emergence,C1
class,A1
belief,B1
masterful,BEYOND
artwork,B2
creative,A2
period,A1
way,B2
living,B1
change,A1
little,A2
describe,A1
reference,B1
historical,B1
growth,B1
lead,B1
formalized,BEYOND
