word,level
introduction,A2
fine,C1
art,A1
mode,B2
expression,A2
use,A2
skill,A1
imagination,B2
creation,B2
aesthetic,C1
object,B2
environment,A2
experience,B1
share,B1
traditional,A2
category,B1
include,A1
literature,B1
visual,B2
painting,A1
drawing,A2
sculpture,B1
etc,BEYOND
graphic,B2
design,A1
form,A1
express,A2
flat,A2
surface,B1
plastic,A2
modeling,BEYOND
decorative,BEYOND
enamel,BEYOND
work,A1
furniture,A2
mosaic,BEYOND
perform,A2
music,A1
architecture,A2
varied,C1
life,A1
spring,B1
artist,A1
portray,C1
different,A1
aspect,B2
world,A1
great,A1
able,A2
depth,B2
meaning,A1
device,A2
common,A1
paint,A1
composition,C1
arrangement,A2
picture,B2
colour,A1
texture,C1
painter,A2
need,B1
handsome,BEYOND
attractive,A2
subject,B2
ordinary,A2
transform,B2
artistry,BEYOND
american,BEYOND
depict,C1
simple,A2
home,A2
store,B1
typical,A2
crossroad,BEYOND
town,A1
building,A1
stretch,B2
vast,B2
prairie,BEYOND
set,B1
single,A2
human,A2
figure,B2
dark,A2
autumn,A1
sky,A2
cover,B1
landscape,B2
give,A1
scene,A2
dignity,C1
honest,B1
open,A1
treatment,B1
try,B2
pretty,A1
hide,A2
poor,A1
proportion,B2
ungainly,BEYOND
grouping,BEYOND
stress,A2
contrast,B1
huddled,BEYOND
space,A1
surround,B2
feeling,A1
warm,B1
companionship,BEYOND
land,A2
rule,B1
people,A1
little,A2
community,A2
reflect,B1
curve,B2
swell,BEYOND
rest,A2
window,A1
light,A2
evening,A1
awkwardness,BEYOND
clumsiness,BEYOND
maintain,B2
caption,BEYOND
vacillate,BEYOND
progression,BEYOND
abstract,B2
apply,A2
oil,A2
glass,A1
unexpected,B2
canvas,C1
small,A1
fragment,B2
patch,C1
asphalt,BEYOND
child,A1
play,A1
source,A2
discover,A2
wonder,B1
long,A1
material,B2
street,A1
pave,BEYOND
substance,B1
fascinating,B1
shape,B2
rich,A1
playground,A1
regular,A2
chalked,BEYOND
line,B2
hopscotch,BEYOND
interesting,A1
free,B2
irregular,BEYOND
pavement,BEYOND
observer,B2
get,A1
hint,C1
force,B1
especially,A2
nature,A2
paving,BEYOND
bubble,B1
erode,BEYOND
action,A1
sun,A1
rain,A1
frost,BEYOND
show,A1
commonplace,BEYOND
beauty,B1
geometric,BEYOND
create,A1
interest,A1
attempt,B2
imitate,BEYOND
natural,A1
sound,C1
reason,A1
white,A1
example,A1
nonobjective,BEYOND
construct,B2
entirely,B2
rectangle,BEYOND
size,A2
appear,A2
study,A1
pattern,A2
like,B1
rhythm,B2
harmony,C1
briefly,B2
say,C1
truth,B1
order,A1
hope,A2
ideal,B2
passion,B1
value,B1
creator,C1
discovery,A2
nobility,BEYOND
humankind,BEYOND
enable,B2
understand,A1
generally,B1
result,B1
product,A1
primary,B1
aim,B1
beautiful,A1
early,A1
century,A1
group,A1
call,A1
begin,A1
unglamorous,BEYOND
industrial,B2
railroad,BEYOND
track,B2
factory,A2
prominent,C1
member,A1
time,B2
city,A1
consider,A2
ugly,B1
offensive,B2
pioneer,C1
today,A1
commonly,B2
accept,A2
pleasure,B1
perceptive,BEYOND
sensitive,B2
new,A1
area,A1
enjoyment,BEYOND
intensify,C1
individual,A2
find,A1
relationship,A2
thing,A1
overlook,C1
ignore,B1
encompass,C1
alive,A2
exciting,A1
select,B2
depend,A2
