word,level
twentieth,BEYOND
boy,A1
let,A1
like,B1
fourteen,A1
year,A1
old,A1
long,A1
loose,B2
jointed,BEYOND
towheaded,BEYOND
good,A2
chief,B2
delight,B2
eat,A1
sleep,A2
well,C1
mischief,BEYOND
morning,A1
parent,A1
get,A1
ready,A1
church,A2
sit,A1
edge,B1
table,A1
shirt,A1
sleeve,BEYOND
think,A1
lucky,A2
father,A1
mother,A1
go,B1
away,A1
coast,A2
clear,B1
couple,A2
hour,A1
pop,C1
gun,A2
fire,B1
shot,B2
anybody,A2
meddle,BEYOND
interference,C1
say,C1
guess,A1
thought,A2
threshold,C1
start,A2
stop,A1
short,A1
turn,A1
come,A1
read,A1
service,A2
home,A2
promise,A2
yes,A1
easy,A1
course,A1
feel,B2
see,A1
persistent,C1
second,A2
shelf,B1
near,A1
fireplace,BEYOND
take,A1
lay,B1
window,A1
open,A1
day,A1
place,B1
finally,A2
draw,A1
big,A1
arm,C1
chair,B2
buy,A1
parish,C1
auction,B2
rule,B1
permit,B2
occupy,B2
give,A1
altogether,B2
trouble,B2
spread,B1
intention,B1
page,A1
time,B2
able,A2
right,A1
walk,A1
severe,B2
tone,B2
remember,A1
carefully,A2
shall,A2
question,A2
thoroughly,B2
skip,C1
single,A2
half,A2
want,A1
heap,BEYOND
measure,B1
misfortune,BEYOND
begin,A1
reading,A1
expect,A2
depart,B2
stand,B2
doorway,BEYOND
watch,A1
catch,B2
trap,B2
congratulate,C1
suppose,A2
belief,B1
hit,A2
force,B1
hang,B1
sermon,BEYOND
certainly,A2
sort,B1
contrary,C1
distressed,BEYOND
poor,A1
farmer,A1
garden,A1
plot,B1
move,B1
feed,B2
pig,A1
pair,A1
chicken,A1
uncommonly,BEYOND
industrious,BEYOND
capable,B2
folk,B1
cow,A1
goose,BEYOND
thing,A1
beautiful,A1
satisfied,B2
happy,A1
son,A1
complain,A2
dull,B2
lazy,A2
care,A2
learn,A1
school,A1
round,B2
barely,B2
tend,B1
deny,B2
true,A1
wild,A2
bad,A1
cruel,B1
animal,A1
ill,A2
willed,BEYOND
human,A2
being,B2
soften,BEYOND
hard,A1
heart,A2
disposition,BEYOND
ponder,BEYOND
conclusion,B1
obedient,BEYOND
seat,B2
rattle,BEYOND
undertone,BEYOND
little,A2
mumbling,BEYOND
soothe,BEYOND
effect,A2
nod,C1
weather,A1
outside,A2
live,B1
spring,B1
swing,C1
green,A1
fresh,A2
bud,BEYOND
water,B1
trench,BEYOND
foot,A1
ditch,BEYOND
bloom,BEYOND
weed,C1
grow,A1
stone,A2
brown,A1
shiny,B1
beech,BEYOND
wood,A2
distance,A2
swell,BEYOND
thick,A2
sky,A2
high,B2
blue,A1
cottage,B1
door,A1
ajar,BEYOND
lark,BEYOND
trill,BEYOND
hear,A1
room,A1
hen,BEYOND
patter,BEYOND
yard,B1
air,A1
stall,B2
low,B2
approval,B2
fight,A2
drowsiness,BEYOND
fall,A2
asleep,A2
forenoon,BEYOND
know,A1
awaken,BEYOND
slight,B2
noise,A2
sill,BEYOND
face,B1
small,A1
looking,BEYOND
glass,A1
entire,B2
raise,A2
head,B1
happen,A1
look,A2
cover,B1
chest,B1
own,A2
great,A1
heavy,A2
iron,B1
bind,C1
oak,BEYOND
treasure,B2
inherit,B2
especially,A2
careful,A2
lie,B1
peasant,C1
dress,A1
red,A1
homespun,BEYOND
cloth,B1
bodice,BEYOND
plaited,BEYOND
pearl,BEYOND
bedeck,BEYOND
breast,B2
pin,B1
starched,BEYOND
white,A1
linen,BEYOND
silver,A2
ornament,BEYOND
chain,B1
rid,B2
distinctly,BEYOND
lid,BEYOND
understand,A1
close,B1
leave,B2
precious,B2
spirited,BEYOND
apprehensive,BEYOND
afraid,A1
thief,A2
sneak,BEYOND
way,B2
dare,B2
stare,B2
wait,A2
appearance,A2
wonder,B1
dark,A2
shadow,B2
believe,A1
eye,A1
shadowy,BEYOND
soon,A1
real,A1
elf,BEYOND
astride,BEYOND
sure,A2
story,A1
dream,A2
tiny,B1
creature,B2
tall,A1
hand,B1
breadth,BEYOND
wrinkled,BEYOND
beardless,BEYOND
black,A1
frock,BEYOND
coat,A1
knee,A2
breech,BEYOND
broad,B2
brimmed,BEYOND
hat,A1
trim,BEYOND
smart,B1
lace,BEYOND
throat,B1
wrist,B2
band,A1
buckled,BEYOND
shoe,A1
bow,C1
garter,BEYOND
embroider,BEYOND
piece,A1
fashioned,BEYOND
handiwork,BEYOND
veneration,BEYOND
observe,B2
somewhat,B2
surprised,A2
particularly,B1
frightened,B1
impossible,A2
absorbed,BEYOND
fun,A2
play,A1
trick,B1
push,B1
shut,A2
kind,B1
courageous,BEYOND
touch,B1
instead,A2
poke,BEYOND
gaze,C1
wander,B2
sofa,A1
leaf,B1
kettle,BEYOND
coffee,A1
urn,BEYOND
bucket,BEYOND
spoon,A2
knife,A2
fork,A2
saucer,BEYOND
plate,A2
