word,level
early,A1
time,B2
write,A1
history,A1
people,A1
knowledge,A2
world,A1
limit,B1
largely,B2
locale,BEYOND
exploration,B2
know,A1
frontier,BEYOND
hamper,BEYOND
natural,A1
obstacle,B2
rough,B1
terrain,C1
weather,A1
extreme,B2
immediate,B1
need,B1
provide,A2
basic,B1
essential,B1
food,A1
water,B1
shelter,B2
overcome,B2
come,A1
define,B1
great,A1
detail,B2
gradually,B2
grow,A1
outward,BEYOND
centre,B1
eventually,B1
course,A1
thousand,A1
year,A1
virtually,BEYOND
revise,B1
multiple,B2
thank,A1
large,A1
courageous,BEYOND
voyager,BEYOND
venture,C1
unknown,B2
region,A2
encounter,B2
new,A1
land,A2
culture,A1
describe,A1
adventure,A2
discovery,A2
wave,B1
traveler,BEYOND
ancient,A2
century,A1
probing,BEYOND
known,BEYOND
familiar,B1
begin,A1
quest,C1
continue,A2
day,A1
motivation,B2
dare,B2
individual,A2
conquest,BEYOND
acquisition,C1
enlarge,BEYOND
empire,B2
increase,A2
personal,A1
power,B2
fuel,B1
curiosity,C1
wide,A2
desire,B2
practice,A1
religious,B1
belief,B1
convert,B2
drive,A2
leave,B2
home,A2
distant,B2
away,A1
return,A1
fortunately,A2
future,A2
generation,B1
record,A2
exploit,B2
fire,B1
imagination,B2
read,A1
inspire,B2
countless,C1
push,B1
boundary,C1
far,B1
relief,B2
etching,BEYOND
sailing,A2
vessel,C1
find,A1
sarcophagus,BEYOND
wrest,BEYOND
control,A2
resource,B1
demonstration,B2
nation,B1
tribe,B2
carthaginian,BEYOND
explore,B1
colonize,BEYOND
western,B1
coast,A2
found,B2
city,A1
near,A1
present,A2
bce,BEYOND
egyptian,BEYOND
ruler,A1
female,A2
king,A2
score,A2
military,B2
victory,B2
respective,C1
reign,C1
broaden,BEYOND
domain,C1
roam,BEYOND
west,A1
east,A1
invade,B2
part,A1
modern,A1
late,A1
force,B1
migrate,BEYOND
westward,BEYOND
germanic,BEYOND
stronghold,BEYOND
settle,B2
scale,B2
builder,BEYOND
ascend,BEYOND
throne,BEYOND
exile,C1
immediately,A2
kill,A2
enemy,B1
destroy,A2
rival,B2
state,B1
embark,C1
expedition,B1
entourage,BEYOND
man,A1
include,A1
engineer,A2
architect,A2
scientist,A1
historian,B2
troop,B2
conquer,C1
encampment,BEYOND
southern,B1
southward,BEYOND
eastward,BEYOND
persian,BEYOND
territory,B2
death,A2
despite,B1
acrimony,BEYOND
rank,B2
arduous,BEYOND
journey,A1
reach,B2
northern,B1
turn,A1
consolidate,C1
establish,B2
dozen,B2
addition,B1
vast,B2
process,B2
set,B1
administration,B2
area,A1
willing,B2
improvise,BEYOND
adapt,B2
local,B1
condition,A2
draw,A1
wealth,B2
pattern,A2
demonstrate,B2
confine,C1
consolidation,BEYOND
previously,B1
scatter,BEYOND
central,B1
government,A2
development,B1
well,C1
remember,A1
oratory,BEYOND
leadership,B2
imperial,BEYOND
consider,A2
explorer,BEYOND
incorporate,B2
acquire,B2
give,A1
expansion,B2
organization,A2
accomplishment,C1
successor,C1
contribute,B2
significantly,B2
survival,B2
greco,BEYOND
roman,BEYOND
invader,BEYOND
hundred,A1
eastern,B1
dichotomy,BEYOND
exist,A2
old,A1
succession,C1
centralized,BEYOND
dynasty,BEYOND
assortment,BEYOND
nomadic,BEYOND
semi,BEYOND
form,A1
shift,B1
politically,BEYOND
loose,B2
confederation,BEYOND
serve,A2
unite,B2
mongolian,BEYOND
steppe,BEYOND
close,B1
sophisticated,B2
simply,B1
raid,C1
plunder,BEYOND
adopt,B2
useful,A1
value,B1
tradition,A2
usurp,BEYOND
teach,A1
literacy,C1
learn,A1
technique,B1
employ,A2
vanquish,BEYOND
town,A1
inhabitant,B2
produce,B2
good,A2
taxis,BEYOND
better,B1
economic,B1
stability,C1
subdue,BEYOND
expand,B1
kingdom,C1
stage,B2
human,A2
physical,A2
goal,A2
travel,A1
reasonably,B2
accurate,B2
measurement,B2
circumference,BEYOND
distance,A2
note,B1
scientific,B1
observation,B2
geographer,BEYOND
create,A1
map,B2
geographic,BEYOND
text,A2
intend,B1
key,B1
patron,C1
project,B2
personally,B1
send,A1
artist,A1
observe,B2
complete,A1
work,A1
flaw,C1
medieval,C1
geography,A1
educated,B1
consequence,B1
humanity,C1
interest,A1
chinese,BEYOND
buddhist,BEYOND
monk,C1
undertake,B2
pilgrimage,BEYOND
order,A1
visit,A1
site,A2
associate,B2
life,A1
teaching,A2
seat,B2
forth,C1
sea,A1
severe,B2
delay,B2
bring,A1
translate,B1
later,A2
similar,A1
trip,B2
transcription,BEYOND
sacred,C1
extensive,B2
detailed,B2
account,B1
hold,B2
audience,A2
thrall,BEYOND
emperor,BEYOND
boon,BEYOND
search,A2
enlightenment,BEYOND
pioneer,C1
motivate,B2
seek,B2
spread,B1
instance,B2
originally,B1
discover,A2
father,A1
settlement,C1
young,B1
live,B1
sail,B1
settler,B2
northeastern,BEYOND
possibly,B1
successful,A2
orginal,BEYOND
mission,B2
mother,A1
build,A1
christian,BEYOND
church,A2
island,A1
franciscan,BEYOND
friar,BEYOND
emissary,BEYOND
papacy,BEYOND
mongol,BEYOND
month,A1
arrival,B1
political,B1
instability,BEYOND
treatise,BEYOND
missionary,BEYOND
meet,A1
considerable,B2
success,A1
archbishop,BEYOND
say,C1
baptize,BEYOND
last,A2
decade,B1
adventurer,BEYOND
book,A2
journal,B1
document,B2
experience,B1
historical,B1
enable,B2
study,A1
thinking,A2
understand,A1
awareness,B2
happen,A1
greek,BEYOND
manuscript,C1
icelandic,BEYOND
saga,BEYOND
original,B1
writing,A1
lose,A1
story,A1
preserve,B2
case,A2
indian,BEYOND
subcontinent,BEYOND
description,A1
cite,B2
chronicle,BEYOND
war,A2
insert,B2
anecdote,BEYOND
speech,A2
lively,B2
narrative,B1
examination,B2
impartiality,BEYOND
humanistic,BEYOND
slant,BEYOND
number,A2
philologist,BEYOND
hebrew,BEYOND
tome,BEYOND
combine,B1
sociological,BEYOND
source,A2
ordinary,A2
merchant,C1
information,A1
transcribe,BEYOND
comment,B1
condense,BEYOND
make,B2
accessible,C1
influence,B1
bear,B2
author,A2
saudi,BEYOND
arabian,BEYOND
genealogy,BEYOND
topography,BEYOND
spend,A1
collection,B1
poetry,B1
son,A1
wealthy,B2
venetian,BEYOND
trader,BEYOND
trade,B1
uncle,A1
gain,B2
confidence,B2
khan,BEYOND
court,B1
ambassador,C1
fact,A1
finding,B2
north,A1
prompt,B2
imminent,C1
age,B1
possibility,A2
enjoy,A1
level,B1
favour,B1
roundabout,BEYOND
route,A2
lead,B1
shortly,B2
imprison,C1
involvement,C1
battle,B1
incarceration,BEYOND
fortunate,B2
circumstance,B2
prison,A2
writer,A1
dictate,C1
tale,B2
hugely,BEYOND
valuable,B1
mar,BEYOND
inaccuracy,BEYOND
reworking,BEYOND
similarly,B1
morrocan,BEYOND
estimate,B2
mile,A1
muslim,BEYOND
consume,B1
idea,A1
see,A1
place,B1
cover,B1
appoint,C1
grand,B2
qadi,BEYOND
memoir,C1
prove,B1
highly,B1
geographical,BEYOND
scope,C1
appear,A2
official,B1
dignitary,BEYOND
today,A1
nearly,A2
spot,B1
globe,B2
satellite,B2
photography,B1
gps,BEYOND
technology,A2
possible,A1
difficult,A1
imagine,A1
little,A2
amazing,A1
welcome,A2
presence,B2
pursue,B2
willingness,C1
face,B1
hardship,BEYOND
uncertainty,B2
obtain,B2
compile,C1
share,B1
lie,B1
groundwork,BEYOND
correspond,C1
adjoin,BEYOND
notable,C1
colonizer,BEYOND
millennium,BEYOND
chief,B2
exclude,B2
colony,B2
certain,A2
call,A1
language,A1
word,A1
kenaʿani,BEYOND
secondary,B1
meaning,A1
term,B2
characterize,C1
probably,A1
arrive,A1
homeland,C1
phoenician,BEYOND
commercial,B1
connection,B1
attest,BEYOND
certainly,A2
carry,A1
soon,A1
suzerainty,BEYOND
