word,level
introduction,A2
life,A1
depend,A2
energy,A2
sun,A1
solar,B2
source,A2
photosynthesis,BEYOND
provide,A2
warmth,BEYOND
necessary,A2
plant,A2
animal,A1
survive,B1
heat,A2
cause,A2
water,B1
surface,B1
evaporate,BEYOND
form,A1
cloud,A2
eventually,B1
fresh,A2
rainwater,BEYOND
light,A2
give,A1
collect,A2
building,A1
electricity,A2
result,B1
thermonuclear,BEYOND
fusion,BEYOND
reaction,B1
deep,B1
produce,B2
temperature,A2
degree,A2
fahrenheit,BEYOND
celsius,BEYOND
large,A1
receive,A2
intensity,C1
actually,A2
low,B2
distance,A2
fact,A1
atmosphere,B1
absorb,B2
scatter,BEYOND
radiation,B2
clear,B1
day,A1
directly,B1
overhead,BEYOND
reach,B2
reduce,A2
percent,BEYOND
near,A1
horizon,C1
sky,A2
overcast,BEYOND
ground,A2
level,B1
negligible,BEYOND
vary,B2
point,B1
number,A2
device,A2
convert,B2
usable,BEYOND
develop,A2
include,A1
concentrate,B1
collector,B2
flat,A2
plate,A2
photovoltaic,BEYOND
cell,B2
use,A2
mirror,A2
focus,A2
amount,B2
small,A1
area,A1
black,A1
metal,A2
cover,B1
sheet,A2
glass,A1
usually,A1
place,B1
roof,A2
sunlight,BEYOND
air,A1
flow,B1
pipe,B1
go,B1
heating,B1
plumbing,BEYOND
system,A2
call,A1
shine,B1
turn,A1
single,A2
make,B2
little,A2
group,A1
design,A1
capture,B2
sunny,BEYOND
part,A1
world,A1
temperate,BEYOND
region,A2
instance,B2
square,A2
foot,A1
meter,BEYOND
gather,B1
serve,A2
need,B1
person,A1
calculator,BEYOND
photo,A1
strip,C1
left,A1
corner,A2
button,A2
total,C1
incident,B2
vastly,BEYOND
excess,C1
current,B1
anticipate,B2
requirement,B2
suitably,BEYOND
harness,BEYOND
highly,B1
diffused,BEYOND
potential,B2
satisfy,B2
future,A2
century,A1
expect,A2
increasingly,B2
attractive,A2
inexhaustible,BEYOND
supply,B1
nonpolluting,BEYOND
character,A2
stark,C1
contrast,B1
finite,BEYOND
fossil,B2
fuel,B1
coal,B1
petroleum,BEYOND
natural,A1
gas,A2
ordinary,A2
star,A2
important,A1
inhabitant,B2
virtually,BEYOND
possible,A1
half,A2
billionth,BEYOND
leave,B2
huge,A2
ball,A1
hot,A1
like,B1
enormous,A2
hydrogen,C1
helium,BEYOND
interior,C1
look,A2
burn,B2
sphere,C1
type,B1
chemical,B1
burning,BEYOND
occur,B1
run,A2
long,A1
ago,A1
instead,A2
vast,B2
matter,A2
billion,A2
year,A1
atomic,BEYOND
astronomer,BEYOND
believe,A1
nearly,A2
halfway,C1
lifetime,B2
yellow,A1
dwarf,BEYOND
kind,B1
common,A1
diameter,BEYOND
mile,A1
kilometer,BEYOND
time,B2
structure,B2
production,B1
divide,B1
different,A1
layer,B1
dense,C1
central,B1
core,B2
travel,A1
outward,BEYOND
rest,A2
visible,B2
photosphere,BEYOND
emit,BEYOND
innermost,BEYOND
thin,A2
middle,A2
chromosphere,BEYOND
outer,B2
corona,BEYOND
rise,B1
charge,B1
particle,BEYOND
wind,B2
stretch,B2
planet,A2
exist,A2
solid,B1
liquid,B1
consist,B1
plasma,BEYOND
state,B1
electron,BEYOND
away,A1
nucleus,BEYOND
extremely,A2
mass,B2
kelvin,BEYOND
think,A1
pressure,B1
normally,A2
proton,BEYOND
repel,BEYOND
electrical,A2
great,A1
density,C1
collide,BEYOND
fuse,BEYOND
new,A1
heavy,A2
basic,B1
process,B2
involve,A2
series,A2
ultimately,B2
change,A1
second,A2
million,A1
ton,B2
metric,BEYOND
escape,B1
space,A1
massless,BEYOND
electrically,BEYOND
neutral,B2
neutrino,BEYOND
gamma,BEYOND
ray,C1
photon,BEYOND
zone,BEYOND
carry,A1
mainly,B1
wavelength,BEYOND
radio,A1
wave,B1
infrared,BEYOND
ultraviolet,BEYOND
electromagnetic,BEYOND
short,A1
ordinarily,BEYOND
break,A1
major,A2
component,B2
micrometer,BEYOND
portion,B2
constitute,C1
proportion,B2
vitamin,B2
activation,C1
ergosterol,BEYOND
unfortunately,A2
polluted,BEYOND
city,A1
rob,B2
significant,B2
chief,B2
merit,C1
quality,A2
close,B1
spectrum,C1
prominent,C1
absorption,BEYOND
line,B2
represent,B1
particular,A2
element,B1
movement,A2
refer,A2
radiant,BEYOND
vacuum,C1
easily,A2
pass,B1
material,B2
naked,B2
eye,A1
microwave,BEYOND
accelerate,C1
electric,A2
magnetic,C1
field,A2
increase,A2
