idx,伴学,ID_NUM,ID,难度,中文,英文,作者,标签
7,成长启示录​,82,lwibp,高考,小王子,The Little Prince,圣-埃克苏佩里,经典
8,文学经典​,88,rzixa,雅思,柳林风声,The Wind In The Willows,肯尼思·格雷厄姆,"经典, 小说"
9,文学经典​,91,btugls,六级,老人与海,The Old Man and The Sea,欧内斯特·米勒尔·海明威,经典
10,童话与寓言​,97,dtxgn,高考,安徒生童话,Andersen's Fairy Tales,安徒生,经典
11,奇幻冒险​,112,qatux,四级,爱丽丝漫游奇境记,Alice's Adventures in Wonderland,路易斯·卡罗尔,经典
12,童话与寓言​,166,pnwxs,中考,彼得兔和他的朋友们（上）,Peter Rabbit and Friends,比阿特丽克斯·波特,小说
13,童话与寓言​,169,fkwbz,中考,彼得兔和他的朋友们（下）,Peter Rabbit and Friends,比阿特丽克斯·波特,小说
14,童话与寓言​,178,mbqhl,四级,彼得·潘,Peter Pan,詹姆斯·巴里,经典
15,奇幻冒险​,238,ybzyu,托福,格兰特船长的儿女（上）：南美洲之旅,The Children of Captain Grant (Part One: South America),儒勒·凡尔纳,"经典, 小说"
16,奇幻冒险​,241,eotla,托福,格兰特船长的儿女（中）：澳大利亚之旅,The Children of Captain Grant (Part Two: Australia),儒勒·凡尔纳,"经典, 小说"
17,奇幻冒险​,244,uduni,托福,格兰特船长的儿女（下）：新西兰之旅,The Children of Captain Grant (Part Three: New Zealand),儒勒·凡尔纳,"经典, 小说"
18,奇幻冒险​,265,ezeei,六级,海底两万里（上）,Twenty Thousand Leagues under the Sea,儒勒·凡尔纳,经典
19,奇幻冒险​,268,uifhg,六级,海底两万里（下）,Twenty Thousand Leagues under the Sea,儒勒·凡尔纳,经典
20,奇幻冒险​,271,bcndza,雅思,神秘岛（上） ：空中遇险者,The Mysterious Island (Part One: Dropped from the Clouds),儒勒·凡尔纳,"经典, 小说"
21,奇幻冒险​,274,llcxx,雅思,神秘岛（中） ：被遗弃的人,The Mysterious Island (Part Two: Abandoned),儒勒·凡尔纳,"经典, 小说"
22,奇幻冒险​,277,isvoz,雅思,神秘岛（下） ：林肯岛的秘密,The Mysterious Island (Part Three: The Secret of the Island),儒勒·凡尔纳,"经典, 小说"
23,成长启示录​,334,xliln,四级,绿山墙的安妮（上）,Anne of Green Gables,露西·莫德·蒙格玛利,"经典, 小说"
24,成长启示录​,337,dgmru,四级,绿山墙的安妮（下）,Anne of Green Gables,露西·莫德·蒙格玛利,"经典, 小说"
25,奇幻冒险​,340,uqnus,四级,绿野仙踪,The Wonderful Wizard of Oz,莱曼·弗兰克·鲍姆,经典
28,奇幻冒险​,361,fwsnx,六级,八十天环游地球（上）,Around the World in 80 Days,儒勒·凡尔纳,经典
29,奇幻冒险​,364,vftwp,六级,八十天环游地球（下）,Around the World in 80 Days,儒勒·凡尔纳,经典
32,文学经典​,517,gjozx,雅思,汤姆叔叔的小屋（上）,Uncle Tom's Cabin,哈里特·比彻·斯托,经典
33,文学经典​,520,qcwla,雅思,汤姆叔叔的小屋（中）,Uncle Tom's Cabin,哈里特·比彻·斯托,经典
34,文学经典​,523,brgoss,雅思,汤姆叔叔的小屋（下）,Uncle Tom's Cabin,哈里特·比彻·斯托,经典
41,有声书虫,565,izvqa,中考,悲惨世界 | 有声书虫（1级）,Les Miserables,维克多·雨果（作者），珍妮弗·巴西特（改编）,经典
42,有声书虫,577,zyycs,高考,理智与情感 | 有声书虫（5级）,Sense and Sensibility,简·奥斯汀（作者），克莱尔·韦斯特（改编）,经典
43,有声书虫,580,shzmq,高考,简·爱 | 有声书虫（6级）,Jane Eyre,夏洛蒂·勃朗特（作者），克莱尔·韦斯特（改编）,经典
44,有声书虫,586,meygx,高考,苔丝 | 有声书虫（6级）,Tess of the d'Urbervilles,托马斯·哈代（作者），克莱尔·韦斯特（改编）,经典
45,有声书虫,589,jpxdz,中考,汤姆·索亚历险记 | 有声书虫（1级）,The Adventures of Tom Sawyer,马克·吐温（作者），尼克·布拉德（改编）,经典
46,有声书虫,592,bntzc,中考,阿拉丁和神灯 | 有声书虫（1级）,Aladdin and the Enchanted Lamp,朱迪丝·迪安,"经典, 小说"
47,有声书虫,601,grsai,高考,黑骏马 | 有声书虫（4级）,Black Beauty,安娜·塞维尔（作者）， 约翰·埃斯科特（改写）,经典
48,有声书虫,604,cktrg,高考,勃朗特一家的故事 | 有声书虫（3级）,The Brontë Story,蒂姆·维卡里,小说
49,有声书虫,607,bkhqia,中考,坎特维尔幽灵 | 有声书虫（2级）,The Canterville Ghost,奥斯卡·王尔德（作者），约翰·埃斯科特（改编）,小说
50,有声书虫,616,rsjbz,高考,大卫·科波菲尔 | 有声书虫（5级）,David Copperfield,查尔斯·狄更斯（作者），克莱尔·韦斯特（改编）,经典
51,有声书虫,619,bszgfg,中考,亡灵岛 | 有声书虫（2级）,Dead Man's Island,约翰·埃斯科特,"经典, 小说"
52,有声书虫,631,bcskpx,高考,远离尘嚣 | 有声书虫（5级）,Far from the Madding Crowd,托马斯·哈代（作者），克莱尔·韦斯特（改编）,经典
53,有声书虫,637,bbvlrq,中考,弗兰肯斯坦 | 有声书虫（3级）,Frankenstein,玛丽·雪莱（作者），帕特里克·诺巴斯（改编）,"科幻, 小说"
54,有声书虫,640,asyse,高考,远大前程 | 有声书虫（5级）,Great Expectations,查尔斯·狄更斯（作者），克莱尔·韦斯特（改编）,经典
55,有声书虫,643,bbzpii,高考,格列佛游记 | 有声书虫（4级）,Gulliver’s Travels,乔纳森·斯威夫特（作者），韦斯特（改编）,"经典, 小说"
56,有声书虫,649,efwol,高考,巴斯克维尔猎犬 | 有声书虫（4级）,Hounds of the Baskervilles,阿瑟·柯南·道尔（作者），帕特里克·诺巴斯（改编）,"小说, 推理悬疑"
57,有声书虫,658,lorkq,中考,小公主 | 有声书虫（1级）,A Little Princess,弗朗西丝·霍奇森·伯内特（作者），珍妮弗·巴西特（改编）,经典
58,有声书虫,661,ivqus,高考,小妇人 | 有声书虫（4级）,Little Women,露易莎·梅·奥尔科特（作者），约翰·埃斯科特（改编）,经典
59,有声书虫,664,rxrhp,中考,一个国王的爱情故事 | 有声书虫（2级）,The Love of a King,彼特·戴恩蒂,"经典, 小说"
60,有声书虫,667,btsbyz,中考,爱情与金钱 | 有声书虫（1级）,Love or Money,罗威娜·阿金耶米,小说
61,有声书虫,673,dqgsa,高考,雾都孤儿 | 有声书虫（6级）,Oliver Twist,查尔斯·狄更斯（作者）， 理查德·罗杰斯（改编）,经典
62,有声书虫,679,bugfbq,中考,歌剧院的幽灵 | 有声书虫（1级）,The Phantom of the Opera,勒鲁（作者），珍妮弗·巴西特（改编）,经典
63,有声书虫,685,jjfwp,高考,傲慢与偏见 | 有声书虫（6级）,Pride and Prejudice,简·奥斯汀（作者），克莱尔·韦斯特（改编）,经典
64,有声书虫,691,brmccc,中考,鲁滨逊漂流记 | 有声书虫（2级）,Robinson Crusoe,丹尼尔·笛福（作者），珍妮弗·巴西特（改编）,经典
65,有声书虫,694,wykmu,高考,红字 | 有声书虫（4级）,The Scarlet Letter,纳撒尼尔·霍桑（作者）， 约翰·埃斯科特（改编）,经典
66,有声书虫,697,gpcge,中考,秘密花园 | 有声书虫（3级）,The Secret Garden,弗朗西丝·霍奇森·伯内特（作者），克莱尔·韦斯特（改编）,经典
67,有声书虫,700,cekjz,中考,福尔摩斯和公爵的儿子 | 有声书虫（1级）,Sherlock and the Duke's Son,阿瑟·柯南·道尔（作者），珍妮弗·巴西特（改编）,"经典, 小说, 推理悬疑"
68,有声书虫,703,blcvdg,中考,福尔摩斯与赛马 | 有声书虫（1级）,Sherlock Holmes and the Sport of Kings,阿瑟·柯南·道尔（作者），珍妮弗·巴西特（改编）,"小说, 推理悬疑"
69,有声书虫,709,hlzpn,高考,双城记 | 有声书虫（4级）,A Tale of Two Cities,查尔斯·狄更斯（作者）， 拉尔夫·莫厄特（改编）,经典
70,有声书虫,712,qdetg,中考,神秘及幻想故事集 | 有声书虫（3级）,Tales of Mystery and Imagination,爱伦·坡,"经典, 小说, 推理悬疑"
71,有声书虫,715,bsvzaa,高考,三十九级台阶 | 有声书虫（4级）,The Thirty-Nine Steps,约翰·巴肯（作者），尼克·布拉德（改编）,"小说, 推理悬疑"
72,有声书虫,718,xodqi,高考,三怪客泛舟记 | 有声书虫（4级）,Three Men in a Boat,杰罗姆·K·杰罗姆（作者），戴安娜·莫厄特（改编）,小说
73,有声书虫,721,djtfz,中考,爱丽丝镜中奇遇记 | 有声书虫（3级）,Through the Looking-Glass,路易斯·卡洛尔（作者），珍妮弗·巴西特（改编）,经典
74,有声书虫,724,utuix,高考,金银岛 | 有声书虫（4级）,Treasure Island,罗伯特·路易斯·史蒂文森（作者），约翰·爱斯科特（改编）,经典
75,有声书虫,727,bvdsze,高考,名利场 | 有声书虫（6级）,Vanity Fair,威廉·梅克比斯·萨克雷（作者），黛安娜·莫厄特（改编）,经典
76,有声书虫,730,oquls,中考,威廉·莎士比亚 | 有声书虫（2级）,William Shakespeare,珍妮弗·巴西特,人物
77,有声书虫,733,bagtvu,中考,风语河岸柳 | 有声书虫（3级）,The Wind in the Willows,格拉姆（作者），珍妮弗·巴西特（改编）,"经典, 小说"
78,有声书虫,736,bbagn,中考,潘德尔的巫师 | 有声书虫（1级）,The Witches of Pendle,罗威娜·阿金耶米,"经典, 小说"
79,有声书虫,739,bqpixx,中考,绿野仙踪 | 有声书虫（1级）,The Wizard of Oz,莱曼·弗兰克·鲍姆（作者），罗斯玛丽·博德（改编）,经典
80,有声书虫,742,pejdp,高考,白衣女人 | 有声书虫（6级）,The Woman in White,威尔基·柯林斯（作者），刘易斯（改编）,"小说, 推理悬疑"
81,有声书虫,745,fyjtq,高考,呼啸山庄 | 有声书虫（5级）,Wuthering Heights,艾米莉·勃朗特（作者），克莱尔·韦斯特（改编）,经典
82,奇幻冒险​,796,crwzi,四级,奥兹玛公主,Ozma of Oz,莱曼·弗兰克·鲍姆,小说
83,奇幻冒险​,799,bkyooq,四级,桃乐茜与魔法师,Dorothy and the Wizard in Oz,莱曼·弗兰克·鲍姆,"经典, 小说"
84,奇幻冒险​,802,kgkqc,四级,通向奥兹国的路,The Road to Oz,莱曼·弗兰克·鲍姆,"经典, 小说"
85,奇幻冒险​,805,hxvjl,四级,翡翠城,The Emerald City of Oz,莱曼·弗兰克·鲍姆,"经典, 小说"
86,奇幻冒险​,808,qjkxe,四级,碎布姑娘（上）,The Patchwork Girl of Oz,莱曼·弗兰克·鲍姆,"经典, 小说"
87,奇幻冒险​,811,bsovli,四级,碎布姑娘（下）,The Patchwork Girl of Oz,莱曼·弗兰克·鲍姆,"经典, 小说"
88,奇幻冒险​,817,esfux,四级,稻草人,The Scarecrow of Oz,莱曼·弗兰克·鲍姆,"经典, 小说"
89,奇幻冒险​,820,ulgkp,四级,林基廷克国王,Rinkitink in Oz,莱曼·弗兰克·鲍姆,"经典, 小说"
90,奇幻冒险​,823,bvierz,四级,奥兹公主失踪记,The Lost Princess of Oz,莱曼·弗兰克·鲍姆,小说
91,奇幻冒险​,826,ovffq,四级,铁皮人,The Tin Woodman of Oz,莱曼·弗兰克·鲍姆,"经典, 小说"
92,奇幻冒险​,829,bbbezs,四级,奥兹国的魔法,The Magic of Oz,莱曼·弗兰克·鲍姆,"经典, 小说"
93,奇幻冒险​,832,aluwz,四级,奥兹国的格林达,Glinda of Oz,莱曼·弗兰克·鲍姆,"经典, 小说"
94,成长启示录​,919,bvowvg,高考,芒果街上的小屋,The House on Mango Street,桑德拉·希斯内罗丝,小说
95,奇幻冒险​,961,zhudq,高考,纳尼亚传奇：凯斯宾王子,The Chronicles of Narnia: Prince Caspian,C·S·刘易斯,小说
96,奇幻冒险​,964,trvga,高考,纳尼亚传奇：黎明踏浪号,The Chronicles of Narnia: The Voyage of the Dawn Treader,C·S·刘易斯,小说
