word,level
introduction,A2
throbbing,BEYOND
music,A1
emanate,BEYOND
brick,B2
wall,A1
concert,A1
hall,A2
merely,C1
noise,A2
ear,A1
uninterested,BEYOND
passersby,BEYOND
young,B1
enthusiast,C1
inside,A2
invigorating,BEYOND
provocative,BEYOND
heavy,A2
metal,A2
band,A1
onstage,BEYOND
blend,C1
electric,A2
guitar,A1
bass,C1
drum,B1
electronic,A2
keyboard,B1
produce,B2
unique,B2
drive,A2
sound,C1
metallic,BEYOND
precision,C1
tour,B1
force,B1
modern,A1
instrumentation,BEYOND
ramp,BEYOND
eardrum,BEYOND
pierce,BEYOND
decibel,BEYOND
vocalist,BEYOND
shrill,BEYOND
dark,A2
lyric,B2
morose,BEYOND
message,A1
romantic,B1
passion,B1
mingle,BEYOND
despair,BEYOND
city,A1
moment,A1
different,A1
have,A2
similarly,B1
sobering,BEYOND
effect,A2
listener,A2
symphony,BEYOND
orchestra,B2
set,B1
audience,A2
edge,B1
dramatic,B2
opening,B2
chord,BEYOND
dah,BEYOND
accord,BEYOND
secretary,A2
composer,B2
intention,B1
musically,BEYOND
depict,C1
fate,C1
knock,B1
door,A1
compose,B2
minor,B2
key,B1
dub,C1
death,A2
adapt,B2
musician,A2
rock,C1
disco,BEYOND
genre,B2
create,A1
ominous,BEYOND
mood,B1
know,A1
globe,B2
perform,A2
century,A1
ago,A1
caption,BEYOND
award,B1
ceremony,B1
researcher,BEYOND
find,A1
education,A2
improve,A1
people,A1
learning,A2
mathematic,BEYOND
half,A2
world,A1
away,A1
sing,A1
clap,A1
dance,A1
rhythm,B2
djembe,BEYOND
konkoni,BEYOND
tribal,C1
subject,B2
sinister,BEYOND
enliven,BEYOND
wedding,A2
celebration,B1
family,A1
friend,A1
gather,B1
child,A1
violin,BEYOND
recital,BEYOND
render,C1
increasingly,B2
complex,B1
composition,C1
seemingly,C1
effortless,BEYOND
confidence,B2
finale,BEYOND
unite,B2
smile,A2
sway,BEYOND
play,A1
grand,B2
waltz,BEYOND
performer,BEYOND
age,B1
professional,B2
quality,A2
presentation,B1
execution,C1
feeling,A1
demeanor,BEYOND
stunning,B2
street,A1
busk,BEYOND
sidewalk,BEYOND
donation,B2
master,B2
bouzouki,BEYOND
string,B1
variation,B2
ancient,A2
greek,BEYOND
instrument,A2
repertoire,BEYOND
diverse,B2
range,B1
wild,A2
east,A1
european,BEYOND
gypsy,BEYOND
scottish,BEYOND
reel,BEYOND
citizen,B2
tourist,A1
stop,A1
listen,A1
place,B1
handsome,BEYOND
tip,B1
case,A2
appreciation,C1
performance,B1
strikingly,BEYOND
share,B1
feature,B1
common,A1
form,A1
represent,B1
particular,A2
style,A1
certain,A2
type,B1
instance,B2
involve,A2
symphonic,BEYOND
wooden,A2
bow,C1
pluck,BEYOND
strum,BEYOND
voice,A2
primary,B1
combination,B2
technique,B1
arrangement,A2
define,B1
establish,B2
fascinating,B1
expand,B1
practice,A1
worldwide,B1
hear,A1
country,A1
