word,level
picture,B2
location,B1
distinguishing,BEYOND
geographic,BEYOND
cultural,B1
landmark,C1
instance,B2
frequently,B1
thing,A1
come,A1
mind,A2
apparent,B2
climate,A2
indispensable,BEYOND
understanding,A2
particular,A2
area,A1
play,A1
large,A1
craft,C1
land,A2
shape,B2
way,B2
life,A1
evolve,B2
place,B1
continue,A2
interaction,B2
landscape,B2
visit,A1
pyramid,BEYOND
example,A1
vastly,BEYOND
different,A1
experience,B1
arid,BEYOND
desert,B2
backdrop,C1
volume,B2
provide,A2
thorough,B2
introduction,A2
region,A2
world,A1
examine,B1
account,B1
global,B1
variation,B2
influence,B1
number,A2
factor,A2
simply,B1
determine,B1
glance,C1
weather,A1
forecast,B2
give,A1
day,A1
describe,A1
aggregate,BEYOND
period,A1
year,A1
govern,B2
control,A2
latitude,BEYOND
water,B1
distribution,B2
atmospheric,BEYOND
pressure,B1
altitude,BEYOND
ocean,A2
current,B1
common,A1
measure,B1
include,A1
mean,A1
average,B1
value,B1
temperature,A2
precipitation,BEYOND
rain,A1
snow,A1
compare,A1
like,B1
reveal,B2
incredible,A2
range,B1
condition,A2
affect,A2
planet,A2
true,A1
color,BEYOND
satellite,B2
image,A2
depict,C1
cover,B1
vegetation,BEYOND
green,A1
brown,A1
white,A1
blue,A1
largely,B2
central,B1
landmass,BEYOND
represent,B1
north,A1
american,BEYOND
continent,A2
contrast,B1
northern,B1
demonstrate,B2
vary,B2
subject,B2
diversity,B2
reflect,B1
system,A2
classify,B2
identify,A2
divide,B1
climatic,BEYOND
zone,BEYOND
base,B1
similarity,B1
help,A1
pattern,A2
disparate,BEYOND
classification,C1
scheme,B2
book,A2
take,A1
illustrate,B2
southern,B1
coast,A2
separate,B1
thousand,A1
mile,A1
share,B1
impact,B1
natural,A1
human,A2
wide,A2
generally,B1
directly,B1
soil,B1
turn,A1
settlement,C1
activity,A1
agriculture,B2
fundamental,B2
survival,B2
technological,B2
response,A2
heating,B1
air,A1
conditioning,BEYOND
irrigation,BEYOND
develop,A2
adaptation,C1
extreme,B2
aridity,BEYOND
inadequate,C1
deal,B1
phenomenon,B2
know,A1
warming,B2
long,A1
term,B2
view,B1
static,BEYOND
constant,B2
overall,B2
remain,B1
stable,B2
course,A1
history,A1
support,A2
go,B1
great,A1
change,A1
alternate,BEYOND
ice,A1
age,B1
warmth,BEYOND
rapid,B2
rise,B1
near,A1
surface,B1
past,A2
century,A1
scientist,A1
attribute,C1
cause,A2
threaten,B2
ecosystem,BEYOND
manage,A2
international,A2
level,B1
innovative,B2
strategy,A2
policy,B1
topic,A1
conversation,A1
discussion,A2
understand,A1
effect,A2
unique,B2
perspective,B2
development,B1
geographical,BEYOND
endanger,BEYOND
environment,A2
vital,B2
importance,B1
state,B1
atmosphere,B1
description,A1
yesterday,A1
get,A1
inch,B2
statement,A1
element,B1
humidity,BEYOND
wind,B2
cloudiness,BEYOND
study,A1
climatology,BEYOND
variety,A2
statistical,C1
introduce,A1
illuminate,BEYOND
usually,A1
compute,C1
fairly,B1
time,B2
calculate,B2
month,A1
maximum,B2
minimum,B2
figure,B2
convey,B2
degree,A2
variability,BEYOND
information,A1
frequency,B2
event,A1
thunderstorm,BEYOND
frost,BEYOND
typical,A2
winter,A1
important,A1
map,B2
show,A1
adjust,B2
indicate,B1
sea,A1
convert,B2
fahrenheit,BEYOND
celsius,BEYOND
subtract,BEYOND
daily,B1
hour,A1
entire,B2
normal,B1
date,B2
cite,B2
difference,A1
nighttime,BEYOND
low,B2
afternoon,A1
high,B2
cloudy,BEYOND
record,A2
site,A2
idea,A1
live,B1
lifetime,B2
datum,BEYOND
monthly,B2
amount,B2
liquid,B1
equivalent,B2
evaporation,BEYOND
speed,B2
prevail,C1
direction,A2
sunshine,BEYOND
complete,A1
annual,B2
equal,B1
precisely,B2
useful,A1
ancient,A2
devise,C1
simple,A2
note,B1
relationship,A2
broad,B2
east,A1
west,A1
klima,BEYOND
frigid,BEYOND
polar,BEYOND
temperate,BEYOND
midlatitude,BEYOND
torrid,BEYOND
tropical,B2
lie,B1
straddle,BEYOND
tropic,BEYOND
grouping,BEYOND
ignore,B1
subtropical,BEYOND
cyclonic,BEYOND
highland,BEYOND
widely,B2
today,A1
german,BEYOND
climatologist,BEYOND
correspond,C1
find,A1
boundary,C1
define,B1
precise,B2
letter,A1
major,A2
group,A1
rainy,BEYOND
dry,A2
humid,BEYOND
moderate,C1
subdivide,BEYOND
additional,B2
refer,A2
seasonal,BEYOND
role,A2
achievement,B1
greatly,B2
bear,B2
enter,A2
specialize,B2
botany,BEYOND
transfer,B2
relation,B1
plant,A2
growth,B1
name,A1
head,B1
meteorologist,BEYOND
produce,B2
belt,A2
reach,B2
mathematical,C1
type,B1
assign,B2
accord,BEYOND
rainfall,BEYOND
scholar,B2
work,A1
retire,B1
position,B2
observatory,BEYOND
move,B1
begin,A1
edit,B2
handbook,BEYOND
nearly,A2
die,A1
wet,A2
rainforest,BEYOND
forest,A2
subhumid,BEYOND
grassland,BEYOND
semiarid,BEYOND
steppe,BEYOND
taiga,BEYOND
tundra,BEYOND
use,A2
modification,C1
middle,A2
oceanic,BEYOND
discuss,A1
effectiveness,C1
total,C1
moisture,BEYOND
vapor,BEYOND
actually,A2
available,A2
order,A1
class,A1
rate,B2
coniferous,BEYOND
tree,A1
evergreen,BEYOND
spruce,BEYOND
fir,BEYOND
pine,BEYOND
cool,B1
shrub,BEYOND
warm,B1
call,A1
topography,BEYOND
cloud,A2
energy,A2
require,B1
massive,B2
movement,A2
exchange,B1
heat,A2
essence,C1
income,B2
solar,B2
radiation,B2
insolation,BEYOND
evenly,BEYOND
distribute,B2
receive,A2
pole,C1
mainly,B1
primary,B1
angle,B2
ray,C1
strike,B2
length,B1
daylight,BEYOND
appear,A2
overhead,BEYOND
reason,A1
vertically,BEYOND
decrease,B2
result,B1
spread,B1
absorb,B2
equinox,BEYOND
case,A2
round,B2
spin,C1
axis,BEYOND
tilt,BEYOND
increase,A2
summer,A1
solstice,BEYOND
likewise,B2
noon,C1
shift,B1
south,A1
orbit,BEYOND
swing,C1
forth,C1
concentrated,BEYOND
pass,B1
gain,B2
lose,A1
space,A1
unequal,BEYOND
cooling,BEYOND
continuous,B1
last,A2
percent,BEYOND
irregular,BEYOND
cold,A1
rapidly,B2
body,A1
tend,B1
nearby,B2
interior,C1
coastal,C1
small,A1
permanent,B2
away,A1
chill,BEYOND
surround,B2
intertropical,BEYOND
convergence,BEYOND
equatorial,BEYOND
hemisphere,BEYOND
center,BEYOND
hawaiian,BEYOND
blow,B2
moist,BEYOND
easterly,BEYOND
trade,B1
general,A2
circulation,C1
idealized,BEYOND
uniform,A2
actual,B2
horizontal,BEYOND
vertical,B2
diagram,B1
westerly,BEYOND
subpolar,BEYOND
aleutian,BEYOND
locate,B1
alignment,C1
modify,B2
arrangement,A2
notable,C1
intense,B2
southwestern,BEYOND
monsoon,BEYOND
follow,A1
circle,A2
clockwise,BEYOND
counterclockwise,BEYOND
flow,B1
western,B1
side,A2
carry,A1
eastern,B1
northward,BEYOND
eastward,BEYOND
similar,A1
indian,BEYOND
elevation,BEYOND
gradual,BEYOND
mountain,A1
basis,B1
summit,C1
somewhat,B2
oppose,B2
elevated,BEYOND
plateau,BEYOND
expose,B2
far,B1
lowland,BEYOND
little,A2
ground,A2
foot,A1
meter,BEYOND
effectively,B1
trap,B2
later,A2
consider,A2
relief,B2
windward,BEYOND
slope,B2
face,B1
lee,BEYOND
sheltered,BEYOND
expand,B1
reduce,A2
need,B1
saturation,BEYOND
condensation,BEYOND
compress,BEYOND
possible,A1
likelihood,C1
explain,A1
heavy,A2
serve,A2
barrier,B2
outbreak,C1
protect,A2
similarly,B1
city,A1
mild,B1
variable,C1
interesting,A1
certain,A2
characteristic,B2
southeastern,BEYOND
opposite,A1
section,A1
immediate,B1
partly,B2
allow,A2
maritime,BEYOND
hot,A1
poleward,BEYOND
rarely,B1
see,A1
expanse,BEYOND
open,A1
drop,B1
hand,B1
occasion,B1
soar,C1
arrive,A1
short,A1
monotonous,BEYOND
relatively,B2
potentially,B2
mere,C1
exert,C1
significant,B2
associate,B2
night,A1
fall,A2
radiate,BEYOND
travel,A1
frontal,BEYOND
wave,B1
cyclone,BEYOND
front,A1
form,A1
undulating,BEYOND
masse,BEYOND
strong,A1
dominate,B2
minor,B2
season,A2
distinguish,B2
typically,B1
mediterranean,BEYOND
occur,B1
close,B1
consist,B1
dense,C1
leaved,BEYOND
poorly,BEYOND
drain,C1
mangrove,BEYOND
swamp,BEYOND
thin,A2
sunlight,BEYOND
undergrowth,BEYOND
jungle,BEYOND
abundant,BEYOND
lush,BEYOND
mountainous,BEYOND
