word,level
introduction,A2
think,A1
naturally,B1
visualize,BEYOND
grand,B2
roman,BEYOND
building,A1
great,A1
government,A2
contribute,B2
build,A1
approach,B2
modern,A1
democracy,B2
image,A2
come,A1
mind,A2
aqueduct,BEYOND
system,A2
bring,A1
fresh,A2
clean,A1
water,B1
countryside,B1
people,A1
impress,B2
stay,A2
power,B2
republic,C1
year,A1
empire,B2
last,A2
long,A1
accomplish,B2
book,A2
treat,B1
ancient,A2
distinct,B2
chapter,B1
describe,A1
rise,B1
second,A2
fall,A2
transition,B2
kingdom,C1
discuss,A1
examine,B1
live,B1
experience,B1
world,A1
fourth,A1
final,A2
tell,A1
accomplishment,C1
continue,A2
influence,B1
today,A1
say,C1
reveal,B2
builder,BEYOND
day,A1
fact,A1
take,A1
seven,A1
progress,B2
small,A1
town,A1
straddle,BEYOND
entire,B2
mediterranean,BEYOND
mean,A1
island,A1
inland,BEYOND
sea,A1
myth,B2
legend,B2
feel,B2
special,A1
right,A1
beginning,A1
foundation,B2
story,A1
probably,A1
mythical,BEYOND
prince,B1
escape,B1
greek,BEYOND
destruction,B2
city,A1
wander,B2
found,B2
brother,A1
raise,A2
wolf,BEYOND
early,A1
roughly,B2
bce,BEYOND
develop,A2
complex,B1
religious,B1
belief,B1
base,B1
worship,C1
god,A2
goddess,BEYOND
jealous,BEYOND
envious,BEYOND
human,A2
like,B1
group,A1
fight,A2
frequently,B1
involve,A2
quarrel,BEYOND
believe,A1
founder,B2
father,A1
mark,A2
traditional,A2
date,B2
settler,B2
know,A1
area,A1
call,A1
conquer,C1
north,A1
rule,B1
series,A2
etruscan,BEYOND
king,A2
overthrow,BEYOND
monarch,BEYOND
start,A2
war,A2
virtually,BEYOND
lead,B1
politician,B1
general,A2
state,B1
show,A1
martial,B2
prowess,BEYOND
evolve,B2
finally,A2
body,A1
male,A2
citizen,B2
summon,BEYOND
major,A2
decision,A2
need,B1
time,B2
unworkable,BEYOND
population,A2
grow,A1
rapidly,B2
room,A1
gather,B1
place,B1
level,B1
reach,B2
representative,B2
vote,B1
man,A1
represent,B1
century,A1
clever,A2
combination,B2
monarchy,BEYOND
aristocracy,BEYOND
consul,BEYOND
elect,B2
military,B2
centuriate,BEYOND
comitia,BEYOND
centuriata,BEYOND
chief,B2
executive,B2
have,A2
injure,B1
disable,BEYOND
fill,A1
shoe,A1
imagine,A1
president,A2
country,A1
coequal,BEYOND
shadow,B2
servant,B1
carry,A1
fasces,BEYOND
symbol,A2
authority,B1
senator,C1
tribune,BEYOND
sacrosanct,BEYOND
physically,BEYOND
harm,B2
pain,A2
death,A2
choose,A1
family,A1
descent,C1
act,B1
legislature,C1
write,A1
law,A2
obvious,B1
wealthy,B2
upper,B2
class,A1
win,B1
election,B1
seat,B2
hereditary,BEYOND
official,B1
yearly,BEYOND
basis,B1
common,A1
plebeian,BEYOND
pleb,BEYOND
sit,A1
observe,B2
debate,B2
issue,B1
veto,BEYOND
deem,C1
