word,level
gentle,B1
breeze,BEYOND
blow,B2
hair,A1
golden,B2
red,A1
sun,A1
set,B1
beach,A1
look,A2
fiery,BEYOND
ball,A1
amazed,B1
color,BEYOND
deep,B1
middle,A2
softly,BEYOND
fade,C1
yellow,A1
hear,A1
wave,B1
seagull,BEYOND
fly,A2
sky,A2
atmosphere,B1
relax,A1
need,B1
get,A1
late,A1
think,A1
home,A2
parent,A1
wonder,B1
react,A2
day,A1
miss,BEYOND
keep,A1
walk,A1
direct,B1
bungalow,BEYOND
spend,A1
summer,A1
holiday,A1
road,A1
deserted,BEYOND
slowly,A2
silently,BEYOND
meter,BEYOND
safe,A2
house,B2
dark,A2
minute,C1
cold,A1
wish,A2
favorite,BEYOND
jumper,BEYOND
warm,B1
imagine,A1
have,A2
thought,A2
dissipate,BEYOND
finally,A2
see,A1
door,A1
different,A1
take,A1
care,A2
outside,A2
garden,A1
shock,B2
father,A1
usually,A1
strict,B2
clean,A1
tidy,A2
understand,A1
go,B1
enter,A2
kitchen,A1
note,B1
write,A1
say,C1
dear,A2
coffee,A1
ready,A1
mother,A1
right,A1
hallway,BEYOND
room,A1
lie,B1
bed,A1
sleep,A2
face,B1
tired,A1
pale,B1
want,A1
wake,A1
force,B1
fall,A2
asleep,A2
wear,A1
old,A1
clothe,BEYOND
run,A2
away,A1
cozy,BEYOND
pajama,BEYOND
feel,B2
good,A2
suddenly,A2
voice,A2
well,C1
know,A1
scared,A2
young,B1
flower,A1
desert,B2
dry,A2
sad,A1
looking,BEYOND
grow,A1
enjoy,A1
shall,A2
patient,B2
time,B2
touch,B1
little,A2
pleased,A2
chance,A2
bring,A1
beauty,B1
corner,A2
sand,B1
bit,A2
world,A1
hunter,BEYOND
come,A1
step,B2
die,A1
listen,A1
live,B1
reach,B2
give,A1
life,A1
beautiful,A1
thing,A1
farth,BEYOND
make,B2
worthwhile,C1
cost,A1
pleasant,B1
smile,A2
bubble,B1
heart,A2
love,A1
fellow,B2
man,A1
drive,A2
cloud,A2
gloom,BEYOND
coax,BEYOND
worth,B1
goodness,B2
manly,BEYOND
kindness,BEYOND
blent,BEYOND
million,A1
dollar,A1
cent,A1
sadness,BEYOND
cheery,BEYOND
style,A1
nerve,B2
try,B2
failure,B2
blue,A1
dimple,BEYOND
encouragement,C1
pay,A2
high,B2
interest,A1
merely,C1
lend,A2
easy,A1
wrinkle,BEYOND
cheer,B2
squeeze,C1
salty,BEYOND
tear,B2
ripple,BEYOND
heartstring,BEYOND
tug,BEYOND
leave,B2
echo,C1
like,B1
hug,BEYOND
folk,B1
mean,A1
winter,A1
couple,A2
luxury,B1
villa,BEYOND
bankruptcy,BEYOND
husband,A1
work,A1
night,A1
support,A2
family,A1
wife,A1
business,A1
begin,A1
bath,A1
stop,A1
let,A1
okay,BEYOND
shower,A1
ask,A1
sweetie,BEYOND
later,A2
totally,B1
depressed,B2
morose,BEYOND
find,A1
turn,A1
computer,A1
word,A1
blur,BEYOND
eye,A1
diary,A2
today,A1
exhausted,BEYOND
unhappy,A2
mind,A2
treat,B1
usual,A2
rich,A1
move,B1
small,A1
apartment,A1
bathroom,A1
freezing,BEYOND
person,A1
rush,B2
comfortable,A2
restaurant,A1
buy,A1
expensive,A1
dress,A1
seriously,B1
ill,A2
occupy,B2
hospital,A1
allow,A2
sit,A1
hour,A1
afternoon,A1
help,A1
drain,C1
fluid,C1
lung,B2
window,A1
flat,A2
talk,A2
end,A1
speak,A1
job,A1
involvement,C1
military,B2
service,A2
vacation,A1
pass,B1
describe,A1
roommate,BEYOND
period,A1
broaden,BEYOND
enliven,BEYOND
activity,A1
overlook,C1
park,A1
lovely,A2
lake,A2
duck,A1
swan,BEYOND
play,A1
water,B1
child,A1
sail,B1
model,B2
boat,A1
lover,BEYOND
arm,C1
amidst,BEYOND
rainbow,BEYOND
grand,B2
tree,A1
grace,C1
landscape,B2
fine,C1
view,B1
city,A1
skyline,BEYOND
distance,A2
exquisite,BEYOND
detail,B2
close,B1
picturesque,BEYOND
scene,A2
parade,B2
band,A1
gentleman,B1
portray,C1
descriptive,BEYOND
week,A1
morning,A1
nurse,A1
arrive,A1
lifeless,BEYOND
body,A1
peacefully,BEYOND
sadden,BEYOND
call,A1
attendant,BEYOND
soon,A1
appropriate,B2
happy,A1
switch,B1
sure,A2
painfully,BEYOND
prop,BEYOND
elbow,B2
joy,B2
strain,C1
blank,A2
wall,A1
compel,C1
decease,BEYOND
wonderful,A1
respond,A2
blind,B2
spontaneity,BEYOND
forte,BEYOND
year,A1
refuse,A2
block,B1
friend,A1
schoolwork,BEYOND
fun,A2
tell,A1
unlike,B1
teenager,A1
unused,BEYOND
upstairs,A2
sprawl,BEYOND
book,A2
paper,A1
large,A1
round,B2
table,A1
inordinate,BEYOND
continuously,BEYOND
worry,B1
lure,BEYOND
watch,A1
yell,C1
downstairs,A2
neighbor,BEYOND
kind,B1
enticement,BEYOND
swimming,A1
pool,A1
ice,A1
cream,B1
stray,BEYOND
cat,A1
turtle,BEYOND
dislodge,BEYOND
study,A1
college,A1
pattern,A2
continue,A2
library,A1
dorm,BEYOND
