word,level
introduction,A2
important,A1
branch,B1
mathematic,BEYOND
algebra,BEYOND
study,A1
high,B2
school,A1
college,A1
low,B2
grade,B1
dread,BEYOND
student,A1
enjoyable,B2
subject,B2
practical,B1
useful,A1
career,A1
engineering,B1
science,A1
knowledge,A2
indispensable,BEYOND
read,A1
chapter,B1
long,A1
intimidating,BEYOND
fact,A1
surprised,A2
use,A2
daily,B1
basis,B1
easy,A1
hung,BEYOND
symbol,A2
complicated,B2
story,A1
problem,A1
famous,A1
mathematical,C1
concept,B2
mysterious,B2
regular,A2
conversation,A1
trick,B1
learn,A1
translate,B1
math,BEYOND
example,A1
suppose,A2
year,A1
old,A1
boy,A1
ask,A1
father,A1
instead,A2
answer,A1
directly,B1
attempt,B2
experiment,B1
reply,A2
son,A1
interested,A1
solve,A2
quickly,A1
perform,A2
addition,B1
find,A1
age,B1
mother,A1
point,B1
present,A2
challenging,B2
add,A1
result,B1
equal,B1
excellent,A2
opportunity,A2
help,A1
understand,A1
algebraic,BEYOND
equation,C1
difficult,A1
people,A1
think,A1
write,A1
slip,B2
paper,A1
turn,A1
numeral,BEYOND
lay,B1
blank,A2
tablet,A2
take,A1
moment,A1
guess,A1
correct,A1
lesson,A1
essentially,B2
letter,A1
stand,B2
number,A2
tell,A1
rule,B1
change,A1
sign,A2
evolve,B2
natural,A1
way,B2
arithmetic,BEYOND
relationship,A2
fundamental,B2
teach,A1
explain,A1
follow,A1
develop,A2
basic,B1
principle,B2
variable,C1
generalization,BEYOND
pattern,A2
need,B1
know,A1
real,A1
apply,A2
time,B2
cease,C1
mystery,B1
describe,A1
unlike,B1
deal,B1
specific,A2
introduce,A1
greatly,B2
extend,B2
generality,BEYOND
scope,C1
book,A2
focus,A2
middle,A2
refer,A2
elementary,B2
general,A2
property,B1
relation,B1
quantity,A2
principal,C1
distinguish,B2
characteristic,B2
represent,B1
numerical,BEYOND
simple,A2
operation,B1
system,A2
originate,C1
century,A1
french,BEYOND
thinker,BEYOND
especially,A2
unknown,B2
indicate,B1
subtraction,BEYOND
multiplication,BEYOND
simply,B1
adjacent,C1
product,A1
expression,A2
interpret,B2
interest,A1
earn,A2
sum,B2
dollar,A1
invest,B1
annual,B2
rate,B2
distance,A2
travel,A1
hour,A1
car,A1
move,B1
mile,A1
flexibility,C1
representation,C1
give,A1
great,A1
utility,C1
beginning,A1
ago,A1
name,A1
collect,A2
set,B1
solution,A2
greek,BEYOND
mathematician,BEYOND
start,A2
religious,B1
brotherhood,BEYOND
intensely,BEYOND
geometry,BEYOND
classify,B2
accord,BEYOND
geometrical,BEYOND
geometer,BEYOND
discover,A2
early,A1
call,A1
treat,B1
purely,B2
view,B1
special,A1
certain,A2
type,B1
today,A1
modern,A1
word,A1
come,A1
arabic,BEYOND
appear,A2
title,B2
text,A2
arab,BEYOND
astronomer,BEYOND
algorithm,BEYOND
derive,B2
recent,A2
recognition,B2
importance,B1
lead,B1
development,B1
abstract,B2
